Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Expenditure Description,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,06/01/2012,Current Grants to Arms Length Bodies,Supporting Children and Young People Group 2,OFFICE OF THE CHILDRENS COMMISSIONER,Public Sector,Funding to arms length bodies for DfE's contribution to fund activity,2000515,201384.92
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000070083,8.28
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000070083,207
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,CAPITA EDUCATION RESOURCING,Commercial,Costs related to staff expenses including membership fees to professional bodies and CRB checks,4000069488,87680.2
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE MEDIA GROUP TMG TV LTD,Commercial,Costs related to staff expenses including membership fees to professional bodies and CRB checks,4000069533,140597.6
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,CRIMINAL RECORDS BUREAU,Public Sector,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,1000533,164076
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,CONTACT A FAMILY,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069490,46580.4
Department for Education,DEPARTMENT FOR EDUCATION,03/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE FAMILY FUND TRUST,VCS,Current grant to third sector organisation / not for profit organisation,4000068767,2257000
Department for Education,DEPARTMENT FOR EDUCATION,24/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE FAMILY FUND TRUST,VCS,Current grant to third sector organisation / not for profit organisation,4000070191,2257000
Department for Education,DEPARTMENT FOR EDUCATION,30/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE UNIVERSITY OF WARWICK,Public Sector,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
For speech, language and communication needs cost effectiveness research",4000070616,75000
Department for Education,DEPARTMENT FOR EDUCATION,12/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,MOTT MACDONALD LTD,Commercial,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
Support and challenge to 30 Local Authority pathfinders; co-ordination of expert advice from various sources and co-ordination of national policy views from DfE and DH.",4000069266,207144.36
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,SQW LTD,Commercial,"Costs related to research, survey data analysis and/or evaluation activity that will inform policy decision making.",1000537,105000
Department for Education,DEPARTMENT FOR EDUCATION,30/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,NDTI,VCS,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
To act as the lead SEN and Disability delivery partner for preparation for Adulthood National support ",4000070585,63621.13
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,NDTI,VCS,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
To act as the lead SEN and Disability delivery partner for preparation for Adulthood National support ",4000070724,46219.82
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,AUTISM EDUCATION TRUST,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",1000540,326142
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,KENT COUNTY COUNCIL,Public Sector,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000069991,65000
Department for Education,DEPARTMENT FOR EDUCATION,19/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,KIDS,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",1000535,140499
Department for Education,DEPARTMENT FOR EDUCATION,16/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,MEATH SCHOOL,Public Sector,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000069421,239124.86
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NATIONAL DEAF CHILDRENS SOCIETY,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000069995,56537.01
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SCOPE,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",4000069526,31380
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,SHARED CARE NETWORK,VCS,"Current grant to third sector organisation / not for profit organisation.
Part of the VCS £60m grant",1000543,29518.25
Department for Education,DEPARTMENT FOR EDUCATION,13/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,MACINTYRE,VCS,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
To work directly with 750 families of children with SEN to develop an understanding of how Personal Centred Approach (PCA) can help improve outcomes for their child",4000069329,124422.17
Department for Education,DEPARTMENT FOR EDUCATION,30/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,PRICE WATERHOUSE COOPERS LLP,Commercial,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
For the supply of Services to Deliver the Achievement for All (AFA) Programme.",4000070595,356615
Department for Education,DEPARTMENT FOR EDUCATION,27/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE UNIVERSITY OF MANCHESTER,Public Sector,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
For the supply of services to deliver the Achievement for All (AFA) Programme.",4000070478,130420
Department for Education,DEPARTMENT FOR EDUCATION,20/01/2012,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NCB,VCS,Current grant to third sector organisation / not for profit organisation,4000069996,99911
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,EUROPEAN AGENCY FOR DEVELOPMENT IN SPECIAL NEEDS EDUCATION,VCS,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
2012 memebership fee",3000068,65388.41
Department for Education,DEPARTMENT FOR EDUCATION,09/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,SQW LTD,Commercial,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069109,67653.6
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000070083,5827.28
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000070083,91.56
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,I CAN CHARITY,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000070702,59055
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,WELSH ASSEMBLY GOVERNMENT,Public Sector,Publications and related services,4000070777,38996.12
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Children Young People and Families Early Years Extended Schools and Special Needs Group,PROLOG,Commercial,Publications and related services,4000070083,4730.66
Department for Education,DEPARTMENT FOR EDUCATION,09/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,NATIONAL CHILDRENS BUREAU,VCS,Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,4000069097,638800.54
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,SERCO LTD,Commercial,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
To act as the SEN and Disability delivery partner for the delivery of short breaks for disabled children and their families",4000069527,241531.2
Department for Education,DEPARTMENT FOR EDUCATION,12/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,CAPITA BUSINESS SERVICES LTD,Commercial,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
SEN and Disability Professional Adviser",4000069250,33001.2
Department for Education,DEPARTMENT FOR EDUCATION,25/01/2012,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,YOUNG MINDS,VCS,"Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract.
For building capacity of Voluntary and Community Sector in providing mental health support for children and young people",4000070289,74749.2
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000070083,390.48
Department for Education,DEPARTMENT FOR EDUCATION,23/01/2012,Marketing and Media,Families Group,PROLOG,Commercial,Publications and related services,4000070083,194.14
Department for Education,DEPARTMENT FOR EDUCATION,18/01/2012,Current Grants,Families Group,CATCH 22,VCS,Current grant to third sector organisation / not for profit organisation,4000069757,80446.73
Department for Education,DEPARTMENT FOR EDUCATION,30/01/2012,Current Grants,Families Group,CATCH 22,VCS,Current grant to third sector organisation / not for profit organisation,4000070541,96570.78
Department for Education,DEPARTMENT FOR EDUCATION,30/01/2012,Current Grants,Families Group,NATIONAL CHILDRENS BUREAU,VCS,Current grant to third sector organisation / not for profit organisation,4000070584,64729.2
Department for Education,DEPARTMENT FOR EDUCATION,31/01/2012,Current Grants,Families Group,VOICE,VCS,Current grant to third sector organisation / not for profit organisation,4000070775,25635.29
Department for Education,DEPARTMENT FOR EDUCATION,17/01/2012,Current Grants,Families Group,MEDWAY COUNCIL,Public Sector,"Current grant paid to local authorities within the aggregate external funding total.
In partnership with Department of Health and Youth Justice Board a range of pilots of intensive interventions for looked after children and children on the edge of care or custody with complex emotional and behavioural needs. Including Multi Systemic Therapy (MST). ",4000069512,27500
