Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,33488,68.72,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,33488,75.28,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/09/2014,Hire of Conference Facilities,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),39912,3148.05,IGPF: China and Indonesia-Hire of Conference Facilities,MK10 1PX,WGA ONLY
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/09/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,41411,10929.60,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/09/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,44633,3912.34,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/09/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,45460,4564.39,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/09/2014,Hire of Agency Staff,Enterprise & Skills Group - Better Regulation Executive (BRE),CAPITA BUSINESS SERVICES LTD,49053,2639.62,BRE Communications Programme-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50433,88.76,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50433,97.24,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50742,76.83,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50742,84.17,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50744,134.10,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50744,146.90,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50746,268.20,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/09/2014,HR Training Educat Consultcy,People & Strategy - Human Resources,CAPITA BUSINESS SERVICES LTD,50746,293.80,P&S Devolved Admin-HR Training Educat Consultcy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,52713,24.00,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,52713,6808.80,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,52713,6934.50,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",29/09/2014,Other IT Consultancy,Finance & Commercial Group - Information and Technology Directorate,CAPITA RESOURCING LTD,52713,7295.10,F&C Devolved Admin-Other IT Consultancy,DL1 9HN,VENDOR
