Departmental Family,Entity,Date,Expence Type,Expense Area,Suplier,Transaction Number, Amount ,PO Line Description,Post Code,Project Code,Expenditure Type,Supplier Type,Contract Number
,,01/02/2016,Delivery of NHS Transaction related operational efficiency,DG: Central Technical,CAMBRIDGESHIRE AND PETERBOROUGH NHS FOUNDATION TRUST,9900016659," £500,000.00 ",Cambridgeshire & Peterborough NHS Foundation Trust,CB1 5EE,,,PUBLIC,
,,01/02/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-20519," £15,000,000.00 ",,,,,PUBLIC,
,,01/02/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-20520," £17,000,000.00 ",,WF3 1WE,,,PUBLIC,
,,01/02/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-20521," £445,000,000.00 ",,LS1 4PL,,,PUBLIC,
,,01/02/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-20522," £1,725,000.00 ",,SE1 6LH,,,PUBLIC,
,,01/02/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,HUMAN TISSUE AUTHORITY (HTA033),HAFS-20524," £184,000.00 ",,,,,PUBLIC,
,,01/02/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-20525," £2,500,000.00 ",,,,,PUBLIC,
,,01/02/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-20526," £4,000,000.00 ",,SE1 7NT,,,PUBLIC,
,,01/02/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-20527," £4,000,000.00 ",,NE1 6SN,,,PUBLIC,
,,01/02/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-20528," £3,161,727,000.00 ",,LS2 7UE,,,PUBLIC,
,,01/02/2016,ENDPBs Admin Revenue Grant in Aid,DG: Central Technical,NHS ENGLAND CBA033,HAFS-20529," £4,956,369,000.00 ",,LS2 7UE,,,PUBLIC,
,,01/02/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS LITIGATION AUTHORITY,HAFS-20530," £20,000,000.00 ",,LS1 4AD,,,PUBLIC,
,,01/02/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-20531," £3,814,000.00 ",,SW1E 6QT,,,PUBLIC,
,,01/02/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-20532," £88,000,000.00 ",,SP4 0JG,,,PUBLIC,
