Feb 2011 Over œ25k Payments Summary,,,,,,,
,,,,,,,
,,,,,,,
Department family,Entity,Accounting Date,Level 2 Category,Manager Code Description,Vendor Name,Check Number,Amount
DEFRA,The Environment Agency,15-Feb-11,Managed/Outsource Services,Corporate Information Systems,Capgemini UK Plc,2249347,"4,801,811.33"
DEFRA,The Environment Agency,03-Feb-11,Main Contractors,Thames - Construction Work in Progress,Interserve Project Services Ltd,2248355,"2,092,711.86"
DEFRA,The Environment Agency,15-Feb-11,Construction Service Providers,Contruction Work in Progress ,Halcrow Group Ltd,2249452,"1,419,426.54"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,Contruction Work in Progress ,Morrison Construction Ltd,2249885,"1,247,217.27"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,Contruction Work in Progress ,Interserve Project Services Ltd,2249828,"936,003.81"
DEFRA,The Environment Agency,15-Feb-11,Construction Service Providers,North East - Construction Work in Progress,Wakefield Metropolitan District Council,2249635,"900,000.00"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,Contruction Work in Progress ,Jackson Civil Engineering Ltd,2249833,"869,136.66"
DEFRA,The Environment Agency,10-Feb-11,Operational Services,Corporate Information Systems,Capgemini UK Plc,2248936,"857,127.25"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Thames - Construction Work in Progress,Thames Water Utilities Ltd,2250625,"748,429.69"
DEFRA,The Environment Agency,22-Feb-11,Building Management,National Facilities Manager,Equitable Life Assurance Society,2250122,"550,000.00"
DEFRA,The Environment Agency,03-Feb-11,Main Contractors,Contruction Work in Progress ,Volkerstevin Ltd,2248533,"549,760.22"
DEFRA,The Environment Agency,17-Feb-11,Main Contractors,Southern - Construction Work in Progress,Birse Civils Ltd,2249704,"532,121.51"
DEFRA,The Environment Agency,17-Feb-11,Construction Service Providers,"Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2249685,"527,087.98"
DEFRA,The Environment Agency,22-Feb-11,Construction Service Providers,Contruction Work in Progress ,Jacobs Engineering UK Ltd,2250182,"481,363.04"
DEFRA,The Environment Agency,22-Feb-11,Leasing,Head Office - Fleet Ops,Hitachi Capital Vehicle Solutions Ltd,2250162,"468,746.78"
DEFRA,The Environment Agency,08-Feb-11,Main Contractors,North West - Construction Work in Progress,Bedford Pumps Ltd,2248586,"467,222.17"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,Contruction Work in Progress ,Jackson Civil Engineering Ltd,2249480,"461,624.61"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,North East - Construction Work in Progress,Interserve Project Services Ltd,2249474,"460,705.37"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Contruction Work in Progress ,Morrison Construction Ltd,2250553,"439,616.76"
DEFRA,The Environment Agency,15-Feb-11,Main Contractors,Contruction Work in Progress ,Morrison Construction Ltd,2249530,"434,466.53"
DEFRA,The Environment Agency,24-Feb-11,Construction Service Providers,North East - Construction Work in Progress,East Riding Of Yorkshire Council,2250432,"413,000.00"
DEFRA,The Environment Agency,15-Feb-11,Construction Service Providers,Contruction Work in Progress ,Haskoning UK Ltd,2249456,"397,452.95"
DEFRA,The Environment Agency,10-Feb-11,Construction Service Providers,Contruction Work in Progress ,Black & Veatch Ltd,2248918,"391,919.50"
DEFRA,The Environment Agency,17-Feb-11,Leasing,Head Office - Fleet Ops,Hewden Stuart Plc,2249817,"386,431.65"
DEFRA,The Environment Agency,22-Feb-11,Main Contractors,South West - Construction Work in Progress,Team Van Oord,2250298,"370,445.97"
DEFRA,The Environment Agency,24-Feb-11,Construction Service Providers,Contruction Work in Progress ,Volkerstevin Ltd,2250640,"365,650.45"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Contruction Work in Progress ,Birse Civils Ltd,2250372,"351,928.37"
DEFRA,The Environment Agency,22-Feb-11,Main Contractors,Contruction Work in Progress ,Morrison Construction Ltd,2250225,"343,726.84"
DEFRA,The Environment Agency,15-Feb-11,"Marine, Coastal & Inland Waterways Services","Various - Contruction, Flood Risk Management, Water Management",Atkins Ltd,2249316,"319,435.38"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,Contruction Work in Progress ,Jackson Civil Engineering Ltd,2248037,"312,011.90"
DEFRA,The Environment Agency,22-Feb-11,Building Management & Software,National Facilites & Corporate Information Systems,DEFRA,2250099,"311,690.87"
DEFRA,The Environment Agency,10-Feb-11,Engineering Services,Head Office - Fleet Ops,Fraikin Ltd,2249015,"292,207.15"
DEFRA,The Environment Agency,08-Feb-11,"Marine, Coastal & Inland Waterways Services",Contruction Work in Progress ,ECS Engineering Services Ltd,2248637,"283,572.42"
DEFRA,The Environment Agency,24-Feb-11,Main Contractors,Contruction Work in Progress ,Dean & Dyball Civil Engineering Ltd,2250426,"271,589.11"
DEFRA,The Environment Agency,01-Feb-11,Main Contractors,South West - Construction Work in Progress,Interserve Project Services Ltd,2248032,"257,112.97"
DEFRA,The Environment Agency,10-Feb-11,Fuels,Head Office - Fleet Ops,Arval Phh,2248901,"255,982.26"
DEFRA,The Environment Agency,15-Feb-11,Rail,Rail Travel,Redfern Travel Ltd,2249570,"250,565.25"
