Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description
Cabinet Office,Cabinet Office,17/05/2010,Accomodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000010167,"26,675.12",Facilities management 
Cabinet Office,Cabinet Office,17/05/2010,Accomodation and Utilities,PRIME MINISTERS OFFICE,BT,3000010162,"50,320.82",Telecoms line rentals
Cabinet Office,Cabinet Office,17/05/2010,IT Costs,PRIME MINISTERS OFFICE,CABLE & WIRELESS PLC,3000010163,"26,894.10",Quarterly rental charge for Government Secure Intranet link and services
Cabinet Office,Cabinet Office,18/05/2010,Consultancy,ERG - CIVIL SERVICE CAPABILITY GROUP,ORC INTERNATIONAL LTD,3000010217,"281,434.00",Civil Service staff survey
Cabinet Office,Cabinet Office,18/05/2010,Supplies and Services,ERG - GOVERNMENT CIO,CSC COMPUTER SCIENCES LTD,3000010201,"33,840.00",1/03/10 - 28/12/11 Subscription leading EDGE Forum
Cabinet Office,Cabinet Office,18/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,INNOVATION UNIT LTD,3000010208,"50,000.00",1st Instalment of 10/11 Green Next Practice Project Grant
Cabinet Office,Cabinet Office,18/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,NCVO,3000010216,"363,420.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,18/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,SOCIAL ENTERPRISE LONDON,3000010223,"30,000.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Cabinet Office,18/05/2010,CESP Capability Building Prof.Serv Recov,ERG - OGC,A. T. KEARNEY LIMITED,84347,"30,386.00",Design and development of a solution to assess the sustainability of supply chains utilised by government suppliers. This solution will be available for use by all government departments.
Cabinet Office,Cabinet Office,18/05/2010,Accomodation and Utilities,ESTATE MANAGEMENT,MITIE BUSINESS SERVICES,3000010215,"26,029.11",Facilites Property and Asset Managment
Cabinet Office,Cabinet Office,19/05/2010,Supplies and Services,PARLIAMENTARY COUNSEL OFFICE ,LEXISNEXIS,3000010246,"36,364.86",Halsburys Statutes of England & Wales 4ED : Cumulative Supplement
Cabinet Office,Buying Solutions,19/05/2010,WDHS Maint & Rep,WDHS,COFELY,PINDOH 29416,"60,245.07",Whitehall heating systems management
Cabinet Office,Buying Solutions,19/05/2010,WSDS Maint & Rep,WSDS,COFELY,PINDOH 29415,"37,589.81",Whitehall heating systems management
Cabinet Office,Cabinet Office,20/05/2010,Resource Grants to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,V,3000010276,"1,101,394.00",v match fund grant
Cabinet Office,Cabinet Office,20/05/2010,Accomodation and Utilities,ESTATE MANAGEMENT,WESTMINSTER CITY COUNCIL,3000010277,"928,263.31",Cabinet Office Estate Business rates - April 10 to March 11
Cabinet Office,Cabinet Office,20/05/2010,"Travel, Subsistence and Hospitality",INTELLIGENCE SECURITY AND RESILIENCE,OECD ,3000031,"64,106.00",Conference costs
Cabinet Office,Cabinet Office,20/05/2010,Consultancy,IT AND TELECOMS BRANCH,ATKINS LTD,1000225,"32,175.00",Information Communication Technolgy Consultancy 
Cabinet Office,Cabinet Office,21/05/2010,Consultancy - Legal -  Contracted out services,ERG - OGC,THE TREASURY SOLICITOR,84486,"44,674.64",Cost of internal legal team staffed by Treasury Solicitor personnel
Cabinet Office,Cabinet Office,21/05/2010,IT support and maintenance recoverable,ERG - OGC,CORPORATE DOCUMENT SERVICES LIMITED,84483,"78,459.00",Development of electronic tool to create an online database to record Government supplier performance
Cabinet Office,Cabinet Office,21/05/2010,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES LTD,3000010296,"51,170.08",Electronic Records Managment system (Meridio) support & maintenance renewal
Cabinet Office,Cabinet Office,24/05/2010,Grants -in-Aid to Private Sector,ERG - OFFICE FOR CIVIL SOCIETY,COMMUNITY FOUNDATION NETWORK,3000010314,"70,033.00",1st Instalment 2010/11 Strategic Grant 
Cabinet Office,Buying Solutions,24/05/2010,GSI COS,Network Services,CESG,PINDOH 29536,"37,961.00",Security costs for government secure intranet
Cabinet Office,Cabinet Office,25/05/2010,Nat West Corporate Card,ERG -  OGC,NATIONAL WESTMINSTER BANK PLC (4715059005000009),84517,"63,977.02",Monthly settlement of Government Procurement Card transactions
Cabinet Office,Cabinet Office,25/05/2010,Grants-in-Aid to NDPB's,ERG - OFFICE FOR CIVIL SOCIETY,COMMISSION FOR THE COMPACT,3000010341,"150,000.00",Grant-in-aid payment to the Commission for the Compact
Cabinet Office,Buying Solutions,25/05/2010,SAP Rental,Network Services,GLOBAL CROSSING,PCROHD 706,"-655,086.00",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,25/05/2010,TIF Costs,Network Services,CABINET OFFICE VOTES,PINDOH 29338,"300,000.00",Public Sector Network funding
Cabinet Office,Buying Solutions,25/05/2010,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 17470,"475,732.28",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,25/05/2010,Handsets,Network Services,GLOBAL CROSSING,PINMTS 17470,"27,822.50",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,25/05/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 17471,"145,146.43",Government Managed Telecoms Contract
Cabinet Office,Cabinet Office,26/05/2010,Consultancy,ERG - OFFICE FOR CIVIL SOCIETY,BIG LOTTERY FUND,3000010350,"96,142.00",Community Assets Fund Management fee - final payment for 2009-10
Cabinet Office,Buying Solutions,26/05/2010,Bravo Licence Costs,IT,BRAVOSOLUTION UK LTD,PINDOH 29165,"83,397.88",Procurement evaluation system
Cabinet Office,Buying Solutions,26/05/2010,Bravo Licence Costs,IT,BRAVOSOLUTION UK LTD,PINDOH 29599,"45,840.00",Health procurement evaluation system
Cabinet Office,Cabinet Office,27/05/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000010373,"81,434.79",Facilities Management - Utilities - Standing charges 
Cabinet Office,Cabinet Office,27/05/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000010373,"67,452.40",Facilities Management - Utilities - Standing charges 
Cabinet Office,Buying Solutions,27/05/2010,Customer Events,Marketing & Comms,Central Office of Information,PINDOH 29593,"39,635.00",Training
Cabinet Office,Buying Solutions,27/05/2010,SAP Rental,Network Services,GLOBAL CROSSING,PINMTS 17478,"193,864.18",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,27/05/2010,Handsets,Network Services,GLOBAL CROSSING,PINMTS 17478,"47,847.00",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,27/05/2010,WDHS Cost of Heat,WDHS,COFELY,PINDOH 29605,"75,470.80",Whitehall heating systems management
Cabinet Office,Cabinet Office,21/05/2010,IT support and maintenance recoverable,ERG - OGC,CORPORATE DOCUMENT SERVICES LIMITED,84544,"77,598.02","Monthly payment for contract for support, maintenance and development of e-PIMS, the government property database  "
Cabinet Office,Cabinet Office,28/05/2010,Property and Estates Benchmarking,ERG -  OGC,INVESTMENT PROPERTY DATABANK,84673,"53,250.00","Monthly payment for contract for analysis, benchmarking and reporting the performance of central government offices "
Cabinet Office,Cabinet Office,28/05/2010,Other Staff Related Costs,ERG - CIVIL SERVICE CAPABILITY GROUP,PARITY SOLUTIONS LTD,3000010409,"87,715.00",Faststream recruitment
Cabinet Office,Cabinet Office,28/05/2010,Consultants - Mgt - Non Advisory,ERG - OGC ,PA CONSULTING SERVICES LTD,84551,98230.13,Expert advice for OGC's Centre for e-Auctions
Cabinet Office,Cabinet Office,28/05/2010,Accomodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000010402,"78,895.36",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2
Cabinet Office,Cabinet Office,28/05/2010,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000010402,"48,696.58",Facilities Management : 70 Whitehall Refurbishment Project Phrase 2
Cabinet Office,Buying Solutions,28/05/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 17491,"46,030.34",Government Managed Telecoms Contract
Cabinet Office,Buying Solutions,28/05/2010,Call Charges Std,Network Services,GLOBAL CROSSING,PINMTS 17535,"71,366.58",Government Managed Telecoms Contract
Cabinet Office,Cabinet Office,28/05/2010,IT Hardware,PRIME MINISTERS OFFICE,BT,3000010399,"130,670.72",Conference bridge upgrade
