Department Family,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transactions Number, Amount (£) 
FCO,FCO,31-Dec-12,General Information Services,DG CHANGE & DELIVERY,BULLET MARKETING LTD,1063433,"26,666.00"
FCO,FCO,31-Dec-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,BULLET MARKETING LTD,1063433,"5,333.20"
FCO,FCO,28-Dec-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1063401,"12,479.50"
FCO,FCO,28-Dec-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1063401,"59,237.50"
FCO,FCO,28-Dec-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1063401,"53,012.00"
FCO,FCO,28-Dec-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1063401,"34,042.00"
FCO,FCO,28-Dec-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1063401,"2,495.90"
FCO,FCO,28-Dec-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1063401,"11,847.50"
FCO,FCO,28-Dec-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1063401,"10,602.40"
FCO,FCO,28-Dec-12,Rental Payments - non residential,DG CHANGE & DELIVERY,GRAHAM DACRE AKA DACRE PROPERTY HOLDINGS,1063401,"6,808.40"
FCO,FCO,04-Dec-12,Programme Spend (Oracle Projects Control Account),DG POLITICAL,GO GROUP NLE,1001206,"30,000.00"
FCO,FCO,19-Dec-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1062850,"37,401.50"
FCO,FCO,19-Dec-12,Nursery Childcare Subsidy,DG CHANGE & DELIVERY,EDENRED,1062850,752.9
FCO,FCO,19-Dec-12,VAT (Input) (Oracle Sub-Ledger Control Account),NON CASH & UNALLOCATED COSTS,EDENRED,1062850,150.58
FCO,FCO,19-Dec-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,TIRATH RAM AHUJA PVT LTD,41000005400,"4,728.36"
FCO,FCO,19-Dec-12,Assets Under Construction (Oracle PA Control Account),NON CASH & UNALLOCATED COSTS,TIRATH RAM AHUJA PVT LTD,41000005400,"70,877.70"
FCO,FCO,13-Dec-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,41.44
FCO,FCO,13-Dec-12,Gas Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,"1,183.87"
FCO,FCO,13-Dec-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,"2,367.73"
FCO,FCO,13-Dec-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,17.76
FCO,FCO,13-Dec-12,Telephone Call Charges,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,65.11
FCO,FCO,13-Dec-12,Electricity Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,"2,841.28"
FCO,FCO,13-Dec-12,Rental Payments - non residential,DG CHANGE & DELIVERY,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,"58,790.83"
FCO,FCO,13-Dec-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,"2,687.85"
FCO,FCO,13-Dec-12,Waste Disposal,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,260.45
FCO,FCO,13-Dec-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,"3,478.82"
FCO,FCO,13-Dec-12,Water Non-Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,769.51
FCO,FCO,13-Dec-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,"4,822.89"
FCO,FCO,13-Dec-12,Electricity Residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,313.73
FCO,FCO,13-Dec-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,"5,092.46"
FCO,FCO,13-Dec-12,Rental Payments - residential,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,"1,980.51"
FCO,FCO,13-Dec-12,Overseas Reclaimable Taxes,#N/A,ISS FACILITY SERVICES LTD FCO OP - POE,9000366,4.14
