Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2015,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,BROOK STREET (UK) LTD,50068,527.04,F&C Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2015,Taxi Services,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",ADDISON LEE plc,57989,43.20,PSHE Devolved Admin-Taxi Services,NW1 3ER,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",24/04/2015,Taxi Services UK,"People, Strategy and Higher Education -  Ministerial and Parliamentary Support Team",ADDISON LEE plc,57989,76.50,MPST Devolved Admin-Taxi Services UK,NW1 3ER,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/04/2015,Water,Finance & Commercial Group - Estates,THAMES WATER UTILITIES LTD,58152,3572.11,F&C Devolved Admin-Water,LS14 3WP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2015,Hire of Agency Staff,Business & Local Growth - Regional Growth,BROOK STREET (UK) LTD,61191,106.04,BLG Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2015,Hire of Agency Staff,Business & Local Growth - Regional Growth,BROOK STREET (UK) LTD,61191,597.12,BLG Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/04/2015,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,61541,856.86,LSC Properties-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/04/2015,Professional Training,Economics & Markets - Analysis Directorate,UNIVERSITY OF SOUTHAMPTON,64156,550.00,E&M Devolved Admin-Professional Training,SO17 1BJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2015,Professional Training,Enterprise & Skills Group - Vocational Education Directorate,CAPITA BUSINESS SERVICES LTD,64170,47.56,E&S Devolved Admin-Professional Training,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2015,Hire of Agency Staff,Business & Local Growth - Regional Growth,CAPITA RESOURCING LTD,65346,2868.78,BLG Devolved Admin-Hire of Agency Staff,DL1 PHN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2015,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,BROOK STREET (UK) LTD,65929,744.28,F&C Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/04/2015,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,BROOK STREET (UK) LTD,65930,135.54,F&C Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2015,Hire of Agency Staff,Business & Local Growth - Advanced Manufacturing Services,BROOK STREET (UK) LTD,67166,-729.64,BLG Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2015,Hire of Agency Staff,Business & Local Growth - Advanced Manufacturing Services,BROOK STREET (UK) LTD,67166,-532.06,BLG Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/04/2015,Hire of Agency Staff,Business & Local Growth - Advanced Manufacturing Services,BROOK STREET (UK) LTD,67166,875.57,BLG Devolved Admin-Hire of Agency Staff,AL1 4ZX,VENDOR,,,
