Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,16-Oct-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1144727,"29,750.00",Payment for accepted deliverables relating to Headquarters & Arms Length Bodies Technical Delivery Assurance
Ministry of Justice,MoJ HQ,16-Oct-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1144727,"5,950.00",Payment for accepted deliverables relating to Headquarters & Arms Length Bodies Technical Delivery Assurance
Ministry of Justice,MoJ HQ,27-Oct-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1145633,"34,850.00",Business Service Review 
Ministry of Justice,MoJ HQ,27-Oct-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1145633,"6,970.00",Business Service Review 
Ministry of Justice,MoJ HQ,23-Oct-14,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1145301,"31,450.00",HMCTS -  Common Platrorm Programme
Ministry of Justice,MoJ HQ,23-Oct-14,512000-Intangible GBV - Additions,NZ900-Finance & Corporate Services,ACTICA CONSULTING LTD,1145301,"6,290.00",HMCTS -  Common Platrorm Programme
Ministry of Justice,MoJ HQ,13-Oct-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1144430,"377,470.00",Fees for September 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,13-Oct-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1144430,"75,494.00",Fees for September 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,13-Oct-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1144430,"584,730.00",Fees for September 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,13-Oct-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1144430,"116,946.00",Fees for September 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,13-Oct-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1144430,"439,780.00",Fees for September 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,13-Oct-14,223000-Other Expenditure,NZ401-Finance Group Feeder,ALLEN LANE CONSULTANCY LTD,1144430,"87,956.00",Fees for September 2014 Managed Accounting Service core contract and call off charges
Ministry of Justice,MoJ HQ,13-Oct-14,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1144431,-0.45,Provision of lease cars and related costs
Ministry of Justice,MoJ HQ,13-Oct-14,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1144431,"21,560.34",Provision of lease cars and related costs
Ministry of Justice,MoJ HQ,13-Oct-14,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1144431,"4,312.07",Provision of lease cars and related costs
Ministry of Justice,MoJ HQ,16-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1144733,316.24,HQ TFM Contract - Soft Fixed Services - Catering; Vending
Ministry of Justice,MoJ HQ,16-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1144733,"64,258.12",HQ TFM Contract - Hard Fixed Services - Cleaning
Ministry of Justice,MoJ HQ,16-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1144733,"5,248.30",HQ TFM Contract - Soft Fixed Services - Waste Disposal
Ministry of Justice,MoJ HQ,16-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1144733,"32,430.65",HQ TFM Contract - Hard Fixed Services - Management
Ministry of Justice,MoJ HQ,16-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1144733,"7,465.17",HQ TFM Contract - Soft Fixed Services - Management
Ministry of Justice,MoJ HQ,16-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1144733,"47,612.04",HQ TFM Contract - Hard Fixed Services - M&E Repair & Maintenance
Ministry of Justice,MoJ HQ,16-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1144733,"12,866.99",HQ TFM Contract - Hard Fixed Services - Internal Repair & Maintenance
Ministry of Justice,MoJ HQ,16-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1144733,208.67,HQ TFM Contract - Hard Fixed Services - Grounds Maintenance
Ministry of Justice,MoJ HQ,16-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1144733,385.88,HQ TFM Contract - Soft Fixed Services - Pest & Vermin Control - Building Operation
Ministry of Justice,MoJ HQ,06-Oct-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1143765,"25,405.87",Repairs to external front main doors
Ministry of Justice,MoJ HQ,06-Oct-14,222001-Maintenance,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1143765,"46,618.99",Switch to LED lights in atrium (HQ-14-15-1040) 
Ministry of Justice,MoJ HQ,30-Oct-14,222003-CIS Labour TFM Estates,NZ406-Strategic Estates Feeder,AMEY COMMUNITY LTD,1145897,"21,679.52","Install microwave sensors in basement, carpark and plant rooms to achieve 90% energy savings in those areas."
Ministry of Justice,MoJ HQ,16-Oct-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ARK DATA CENTRES LTD,1144735,"178,945.72",Data Centre Racking and Storage Charges Sept 2014
Ministry of Justice,MoJ HQ,09-Oct-14,246000-Current Grants,RB999-JPG - CJRD,ASSIST TRAUMA CARE#RB31110832,1144281,"30,000.00",Payment of Q3 2014/15 budget
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,164,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,164,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,25.78,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,25.78,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,25.78,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,103.12,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,11.62,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,156.52,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,11.62,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,100.92,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,82.78,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,78.26,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,34.86,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,34.86,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1143449,258.33,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1143449,51.56,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1143449,66.86,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,QZ600-CPG Other,ATOS IT SERVICES UK LTD,1143449,78.26,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1143449,11.62,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1143449,66.86,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RB999-JPG - CJRD,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,56.92,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,150,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,5,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,150.12,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,21.38,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,328,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,92,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,11.62,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,78.26,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,165.56,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,66.86,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,25.23,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,164,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,46,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,46,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,46,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,46,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,297.12,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,297.12,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,46.22,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,"RD999-CJG - DGs Office, BDSU, Inspectorates & Ombudsman",ATOS IT SERVICES UK LTD,1143449,381.33,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RC999-Criminal Justice Group - OMS,ATOS IT SERVICES UK LTD,1143449,305.09,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RC999-Criminal Justice Group - OMS,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RC999-Criminal Justice Group - OMS,ATOS IT SERVICES UK LTD,1143449,11.62,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,RC999-Criminal Justice Group - OMS,ATOS IT SERVICES UK LTD,1143449,11.62,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1143449,11.62,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1143449,847.86,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1143449,"3,641.40",IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ900-Finance & Corporate Services,ATOS IT SERVICES UK LTD,1143449,66.86,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,164,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,46,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,82.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,164,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,164,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,17.16,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,164,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,46,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,46,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,82.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,82.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,82.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,82.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,416.16,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,12.76,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,11.17,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,50.9,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,25.78,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,46,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,46,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,11.62,IT peripherals/individual ordered software and equipment
Ministry of Justice,MoJ HQ,02-Oct-14,265000-IT & Telecommunications,NZ406-Strategic Estates Feeder,ATOS IT SERVICES UK LTD,1143449,55.8,IT peripherals/individual ordered software and equipment
