Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
Defra,Seafish,08/01/2013,Professional Fee,Overhead,National Audit Office,4302,"35,000.00",Audit of the 2011-12 Accounts,SW1W 9SP,,,,,417 6324 57
Defra,NE,29/01/2013,Asset purchases,Corporate Services,Atos IT Services UK Ltd,5584122907,"256,808.33",Application development costs for the Genesis IT System,WV10 6UH,,24716,,Supplier,882014
Defra,NE,29/01/2013,"IT services, equipment & consumables",Corporate Services,Atos IT Services UK Ltd,5584122904,"80,627.03",Application development costs for the Genesis IT System,WV10 6UH,,24718,,Supplier,881957
Defra,NE,11/01/2013,Science & Evidence Studies,"People, Landscape & Biodiversity",British Trust For Ornithology,ACCS1206,"59,982.06",An assessment of risks & opportunities for species in England as a result of climate change,IP24 2PU,,24800,,Public Body,881621
Defra,NE,21/01/2013,Legal costs,Corporate Services,Browne Jacobson,229546,"35,938.45",Legal services,NG1 7BJ,,,,Supplier,
Defra,NE,29/01/2013,Legal costs,Corporate Services,Browne Jacobson,229638,"69,095.22",Legal services,NG1 7BJ,,,,Supplier,
Defra,NE,25/01/2013,Land Management payments,Customers & Land Management,Canal & River Trust,CRT0057,"50,000.00",Kilby-Foxton Canal Site of Special Scientific Interest Restoration Project grant,MK9 1BB,,,,Public Body,881638
Defra,NE,17/01/2013,Land Management payments,"People, Landscape & Biodiversity",Charles Blois,ERS-981618-42290,"89,466.58",Minsmere & Walberswick National Nature Reserve Heathland Land Lease 2012-2014,IP17 3RJ,SME,,,Supplier,877444
Defra,NE,04/01/2013,Grants & contributions,"People, Landscape & Biodiversity",Cotswold Aonb Conservation Board,ERS-981533-42249,"101,853.00",Cotswolds Way grant under National trails scheme,GL54 3JH,SME,,,Supplier,882030
Defra,NE,09/01/2013,Grants & contributions,"People, Landscape & Biodiversity",Cumbria Wildlife Trust,SIN000532,"122,375.00",Foulshaw Moss Site of Special Scientific Interest restoration grant - peat bunding work,LA8 8LX,SME,24976,,Supplier,882024
Defra,NE,11/01/2013,"Rent, management & utility charges",Corporate Services,D T Z,40001,"41,886.24",Rates for the Guildford Office,B4 6HT,,,,Supplier,
Defra,NE,11/01/2013,"Monitoring, Evaluation & Surveillance costs","People, Landscape & Biodiversity",Ecosulis Ltd,7293,"29,247.60",Invertebrate Common Standard Monitoring,BA2 9BT,SME,24284/A/G/H/N/O,,Supplier,876619
Defra,NE,29/01/2013,Grants & contributions,Customers & Land Management,Environment Agency,1150004,"25,000.00",Test and Itchen river restoration plans,PE2 8YD,,24939,,Defra NDPB,881698
Defra,NE,25/01/2013,"IT services, equipment & consumables",Corporate Services,IBM United Kingdom Ltd,5801130262,"55,859.99",Application development costs,PO6 3AE,,FRW10040-00,,Supplier,881546
Defra,NE,25/01/2013,"IT services, equipment & consumables",Corporate Services,IBM United Kingdom Ltd,5801130584,"25,181.93",Application development costs,PO6 3AE,,FRW10040-00,,Supplier,882007
Defra,NE,25/01/2013,"IT services, equipment & consumables",Corporate Services,IBM United Kingdom Ltd,5801130525,"31,803.60",Application development costs,PO6 3AE,,FRW10040-00,,Supplier,882120
Defra,NE,31/01/2013,"IT services, equipment & consumables",Corporate Services,IBM United Kingdom Ltd,5811121175,"54,575.09",Application development costs,GU1 2LD,,FRW10040-00,,Supplier,879687
Defra,NE,07/01/2013,"Monitoring, Evaluation & Surveillance costs","People, Landscape & Biodiversity",Icarus Collective Limited,6135207,"35,503.09",Access to Nature Evaluation contract,,SME,20376,,Supplier,877575
Defra,NE,09/01/2013,Asset purchases,"People, Landscape & Biodiversity",Land Rover,L1803001,"26,162.63",Purchase of a Land Rover for use by Natural England reserve management staff for site work around the National Nature Reserves.,CV35 0RG,SME,23825A,,Supplier,877921
Defra,NE,09/01/2013,Asset purchases,"People, Landscape & Biodiversity",Land Rover,L1808000,"31,714.11",Purchase of a Land Rover for use by Natural England reserve management staff for site work around the National Nature Reserves.,CV35 0RG,SME,23825A,,Supplier,877925
Defra,NE,09/01/2013,Asset purchases,"People, Landscape & Biodiversity",Land Rover,L1808002,"28,961.20",Purchase of a Land Rover for use by Natural England reserve management staff for site work around the National Nature Reserves.,CV35 0RG,SME,23825A,,Supplier,877935
Defra,NE,09/01/2013,Asset purchases,"People, Landscape & Biodiversity",Land Rover,LT807998,"25,214.33",Purchase of a Land Rover for use by Natural England reserve management staff for site work around the National Nature Reserves.,CV35 0RG,SME,23825A,,Supplier,877924
Defra,NE,15/01/2013,Asset purchases,"People, Landscape & Biodiversity",Land Rover,L1808003,"28,766.20",Purchase of a Land Rover for use by Natural England reserve management staff for site work around the National Nature Reserves.,CV35 0RG,SME,23825A,,Supplier,877922
Defra,NE,04/01/2013,Grants & contributions,"People, Landscape & Biodiversity",Leeds City Council,ERS-981540-42247,"27,030.92",Access to Nature Grant,LS2 BB,,,,Local Authority,876566
