Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP076535,27934.45,2013-14 Improving the sustainability of phosphorus use in arable farming - Quarter 4,WV9 5AP,,Exempt,SFFS0006,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP076630,58020.00,"2013-14 Sustainable Crop and Environment Protection, Targeted Research for Edibles - Quarter 4",WV9 5AP,,exempt,SFFS0006,Expense
DEFRA,Defra,06/05/2014,Other Current Payments E,Policy Delivery DG,Acre.,6076,25180.80,2014-15 Provision and Management of the Rural Community Building Loan Fund ,GL7 2QY,,20372,00000000,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539773-48737,47253.00,2014-15 Host immune responses to Classical Swine Fever infection and investigation of improved intervention tools ,KT15 3NB,SME,DFP,00000000,Expense
DEFRA,Defra,06/05/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000042091,40231.15,Project Costs for work on Sheep Database - January-March 2014,YO1 7PX,SME,IDS FUNDING,00000000,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539770-48736,32516.00,"2014-15 Lyssavirus Heterogeneity and Evolution: Preparedness for an outbreak, risks of adaption and cross-species transmission",KT15 3NB,SME,SE0427,00000000,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539746-48729,28297.00,2014-15 Inoculation of Born after Reinforced Bans (BARBs) into transgenic mice to examine differences to BSE cases born before and after feed bans,KT15 3NB,SME,IGS,00000000,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539702-48724,61168.66,"Antigen mining, Differentiation of Infected and Vaccinated Animals (DIVA) assays and other diagnostic approaches - May 2014",KT15 3NB,SME,Exempt,00000000,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539787-48743,47928.00,2012-13 Improving the immunodiagnosis of bovine and porcine brucellosis,KT15 3NB,SME,,00000000,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539786-48742,113150.00,2014-15 Control measures for Salmonella on pig farms and their effect on endemic disease and productivity,KT15 3NB,SME,DFP,00000000,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539698-48751,75180.00,2014-15 Development of an oral Bacille Calmette Guerin vaccine for badgers - research component ,KT15 3NB,SME,,00000000,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539699-48723,104703.00,2014-15 Continued vaccine development: Improving Bacille Calmette Guerin and developing non-sensitising vaccines for cattle,KT15 3NB,SME,SE3266,00000000,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539697-48750,98370.00,2013-14 Development of an oral Bacille Calmette Guerin vaccine for badgers - regulatory component,KT15 3NB,SME,IGS,00000000,Expense
DEFRA,Defra,28/05/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000043259,129260.00,2013-14 Badger control advice and support - Quarter 4,YO1 7PX,SME,DFP,BCP00001,Expense
DEFRA,Defra,23/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,ERS-539780-48740,31204.00,2014-15 Research and development towards novel field-based approaches to the diagnosis of bovine tuberculosis in badgers ,KT15 3NB,SME,SE3281,00000000,Expense
DEFRA,Defra,28/05/2014,Application Services/Applications On-Boarding,Chief Operating Officer DG,Animal Health and Veterinary Laboratories Agency,5000043561,940662.00,IT outsource costs related to the transfer of the Wildlife unit from Food and Environment Research Agency to Animal Health and Veterinary Laboratories Agency,YO1 7PX,SME,DFP,00000000,Expense
DEFRA,Defra,15/05/2014,Prog - Admin Costs - FLS Office Services Consultancy,Policy Delivery DG,Ashurst LLP,367087,112575.05,Provision of commercial legal advice in respect of the Thames Tideway Tunnel project - 26 April-30 May 2014,EC2A 2HA,,20238,00000000,Expense
DEFRA,Defra,21/05/2014,Consultancy Non-Scheme,Policy Delivery DG,Axion Recycling Ltd,697,36240.00,Small Business Research Initiative project on biogradable plastic carrier bags solutions through innovation,SK7 2DG,SME,WE0109,00000000,Expense
DEFRA,Defra,28/05/2014,Computer & IT Services,Chief Operating Officer DG,British Geological Survey,NERC12798,247311.60,2014-15 British Geological Survey Data Licence ,NG12 5GG,,21148,00000000,Expense
DEFRA,Defra,06/05/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Brunel University,FI156968,36000.00,Intelligent ecotoxicology - Investigate the anti-inflammatory and anti reproductive effects at different doses of glucocorticoids which are known to have undesirable side effects when blood levels are chronically elevated.,UB8 3PH,,CB0481,00000000,Expense
DEFRA,Defra,19/05/2014,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",BTO Services Limited,14ACCS0323,42691.00,2013-14 The influence of street lighting on British moth communities,IP24 2PU,SME,WC1057,00000000,Expense
DEFRA,Defra,28/05/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8003885,26180.16,Provision of Research Programme Management Services - May 2014,NR33 0HT,SME,Exempt,00000000,Expense
DEFRA,Defra,06/05/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8003823,26180.16,Provision of Research Programme Management Services - April 2014,NR33 0HT,SME,Exempt,00000000,Expense
DEFRA,Defra,28/05/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,C E F A S,8003722,46679.75,2013-14 UK-Japanese Research collaboration on Endocrine Disrupters in the Aquatic Environment,NR33 0HT,SME,exempt,00000000,Expense
DEFRA,Defra,28/05/2014,Evidence Non R&D,Policy Delivery DG,C E F A S,8003882,1750139.24,Response of ecosystems and fisheries to management in a changing environment - Non-Research and Development - May 2014,NR33 0HT,SME,DFP,00000000,Expense
DEFRA,Defra,13/05/2014,Current Grants E,"Strategy, International and Biosecurity DG",C E F A S,230414,45410.25,2014-15 Darwin Initiative Payment - Quarter 1,NR33 0HT,SME,20598/DFP/GRANT,DARWPLUS,Expense
DEFRA,Defra,19/05/2014,Evidence Non R&D,Policy Delivery DG,Cabi Bioscience (Egham),SI5890,40000.00,2013-14 Provision of evidence and analysis on the Natural Control of Japanese Knotweed ,TW20 9TY,SME,WC1119,BIODECOS,Expense
DEFRA,Defra,06/05/2014,Publicity Campaigns,"Strategy, International and Biosecurity DG",Cabinet Office RM Shared Services,250009927,54000.00,2014-15 Media monitoring services,CF14 3UW,,IGS,00000000,Expense
DEFRA,Defra,29/05/2014,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR013,469974.40,"Payment of rent, rates and service charges for various properties within the Defra Network for the month of May 2014",WC2H 8AD,,,00000000,Expense
DEFRA,Defra,02/05/2014,Property Lease Costs,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR010,81612.11,"Payment of rent, rates and service charges for various properties within the Defra Network for the month of April 2014",WC2H 8AD,,,00000000,Expense
DEFRA,Defra,22/05/2014,Business Rates,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR012,2274110.85,"Payment of rent, rates and service charges for various properties within the Defra Network for the month of May 2014",WC2H 8AD,,,00000000,Expense
DEFRA,Defra,09/05/2014,Property Lease Costs,Chief Operating Officer DG,Capita Property & Infrastructure Ltd,CAPFR011,465628.58,"Payment of rent, rates and service charges for various properties within the Defra Network for the month of May 2014",WC2H 8AD,,,00000000,Expense
DEFRA,Defra,19/05/2014,Clearing Scientific & Research,Policy Delivery DG,Centre For Ecology & Hydrology,7060006326,87600.00,2013-14 Operation of the UK Eutrophying and Acidifying Atmospheric Pollutants (UKEAP),SN2 1EU,SME,AQ0647,00000000,Asset
DEFRA,Defra,19/05/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,Centre For Ecology & Hydrology,7060005678,141724.00,2013-14 Mapping and Modelling of Critical Loads and Critical Levels Exceedance,SN2 1EU,SME,AQ0826,00000000,Expense
DEFRA,Defra,06/05/2014,IT Software,Chief Operating Officer DG,Computacenter (UK) Ltd,3880095613,44805.43,Spatial management suite licences - 19 April 2014-19 January 2015,AL10 9TW,,CAP205,CAPDFA02,Expense
DEFRA,Defra,06/05/2014,IT Software,Chief Operating Officer DG,Computacenter (UK) Ltd,3880103527,172800.00,Informatica power centre bundle - Annual IT Support and Maintenance for first three years and licence fees,AL10 9TW,,CAP207,CAPDFA06,Expense
DEFRA,Defra,21/05/2014,Gas,Chief Operating Officer DG,Corona Energy,9242746,91158.40,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - 1 April-1 May 2014",WD17 1JW,,,B2810000,Expense
DEFRA,Defra,28/05/2014,Gas,Chief Operating Officer DG,Corona Energy,09242617,128083.51,"Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - 1 April-1 May 2014",WD17 1JW,,,B0870000,Expense
DEFRA,Defra,08/05/2014,Gas,Chief Operating Officer DG,Corona Energy,8486862,78526.27,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - 1 October-1 November 2012",WD17 1JW,,,B2810000,Expense
DEFRA,Defra,08/05/2014,Gas,Chief Operating Officer DG,Corona Energy,08486864,87678.97,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - period to 1 December 2012",WD17 1JW,,,B2810000,Expense
DEFRA,Defra,08/05/2014,Gas,Chief Operating Officer DG,Corona Energy,08486870,130558.60,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - period to 1 March 2013",WD17 1JW,,,B2810000,Expense
DEFRA,Defra,08/05/2014,Gas,Chief Operating Officer DG,Corona Energy,08486866,87190.02,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - period to 1 January 2013",WD17 1JW,,,B2810000,Expense
DEFRA,Defra,28/05/2014,Gas,Chief Operating Officer DG,Corona Energy,09242972,26496.68,"Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - 1 April-1 May 2014",WD17 1JW,,,B0870000,Expense
DEFRA,Defra,08/05/2014,Gas,Chief Operating Officer DG,Corona Energy,08486868,100666.26,"Gas bill - Food and Environment Research Agency, Sand Hutton, York - period to 1 February 2013",WD17 1JW,,,B2810000,Expense
DEFRA,Defra,28/05/2014,Gas,Chief Operating Officer DG,Corona Energy,09242821,87444.05,"Gas bill - Animal Health and Veterinary Laboratory Agency, Weybridge - 1 April-1 May 2014",WD17 1JW,,,B0870000,Expense
DEFRA,Defra,01/05/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Creative Choice CIC,1405,100931.60,Editorial support for the Smarter Environmental Regulation Review (SERR) Guidance Project - March 2014,KT1 2SZ,SME,17825,BREXPERT,Expense
DEFRA,Defra,28/05/2014,Consultancy Non-Scheme,Chief Operating Officer DG,Deloitte & Touche,1111052462,186624.00,Programme Delivery Priorities (PDP) support on Work Common Agricultural Policy Work Package - 31 March-6 May 2014 ,MK9 1FD,,CAP221,CAPDFA03,Expense
DEFRA,Defra,28/05/2014,IT Consultancy Non-Scheme,Chief Operating Officer DG,Deloitte & Touche,1111043948,193728.00,Product and project management support services rendered under the Engagement Management Plan - March 2014,MK9 1FD,,CAP159,00000000,Expense
DEFRA,Defra,06/05/2014,Current Grants - Local Authorities,Policy Delivery DG,Dept For Communities & Local Gov,020514,1250000.00,Local Services Support Grant - May 2014,HP2 4XN,,Grant,00000000,Expense
DEFRA,Defra,06/05/2014,Other Current Payments (GB),Policy Delivery DG,Dept For Communities & Local Gov,010514,250000.00,2014-15 Local Services Support Grant Services,HP2 4XN,,Funding,00000000,Expense
DEFRA,Defra,23/05/2014,Electricity,Chief Operating Officer DG,E D F Energy,153010514,82930.43,"Electricity bill - Animal Health and Veterinary Laboratory Agency, Weybridge - April 2014",PL3 5XQ,,,B0870000,Expense
DEFRA,Defra,23/05/2014,Electricity,Chief Operating Officer DG,E D F Energy,153120514,143160.73,"Electricity bill - Food and Environment Research Agency, Sand Hutton, York - April 2014",PL3 5XQ,,,B2810000,Expense
DEFRA,Defra,23/05/2014,Electricity,Chief Operating Officer DG,E D F Energy,172,32804.38,"Electricity bill - Animal Health and Veterinary Laboratory Agency, Weybridge - April 2014",PL3 5XQ,,,B0870000,Expense
DEFRA,Defra,06/05/2014,Electricity,Chief Operating Officer DG,E D F Energy,156,25455.10,Electricity bill - Fisheries Laboratory Lowestoft - March 2014,PL3 5XQ,,,B0940000,Expense
DEFRA,Defra,28/05/2014,Electricity,Chief Operating Officer DG,E D F Energy,157010514,26048.76,"Electricity bill - Northgate House, Reading - April 2014",PL3 5XQ,,,B6420000,Expense
DEFRA,Defra,06/05/2014,Electricity,Chief Operating Officer DG,E D F Energy,150,137696.01,"Electricity bill - Food and Environment Research Agency, Sand Hutton, York - March 2014",PL3 5XQ,,,B2810000,Expense
DEFRA,Defra,13/05/2014,Clearing Scientific & Research,Policy Delivery DG,Enviro Technology Services,19216,143576.15,Air Quality Monitoring housing and Gaseous analysers to meet the requirements of EU legislation,GL5 2BY,SME,20320,00000000,Asset
DEFRA,Defra,06/05/2014,Payments to Agencies UK,"Strategy, International and Biosecurity DG",Environment Agency,1162697,100000.00,2013-14 Development activity on some of the key user stories in the Better Regulation Program including the development of the payments system for charges and the need for convictions checks,SE7 8LX,,FUNDING,00000000,Expense
DEFRA,Defra,06/05/2014,Grant-in Aid Payments,Policy Delivery DG,Environment Agency,EAGIAMAY14,30000000.00,2014-15 Grant in aid - May 2014,BS1 5AH,,DFP,00000000,Expense
DEFRA,Defra,21/05/2014,Consultancy Non-Scheme,Policy Delivery DG,Ernst & Young LLP,GB10700022935,48369.00,Financial Advice in relation to the Thames Tideway Tunnel - 3 March-28 March 2014,SE1 2AF,,Omnicom OM18274/Bravo Ecm 4225,00000000,Expense
DEFRA,Defra,23/05/2014,Consultancy Non-Scheme,Policy Delivery DG,Ernst & Young LLP,GB10700022973,35439.00,Financial Advice in relation to the Thames Tideway Tunnel - 31 March-25 April 2014,SE1 2AF,,Omnicom OM18274/Bravo Ecm 4225,00000000,Expense
DEFRA,Defra,12/05/2014,Reimbursement to EU,Chief Operating Officer DG,European Commission,010514,65696.53,Recovery of Funding Instrument for Fisheries Guidance (FIFG) funds - 1994-1999,B-1049,,,FIFG1994,Expense
DEFRA,Defra,09/05/2014,Current Grants E,"Strategy, International and Biosecurity DG",Fauna & Flora International,230414,25367.50,2014-15 Darwin Plus Initiative Payment - Quarter 1,CB1 2JD,SME,exempt,DARWDFID,Expense
DEFRA,Defra,20/05/2014,Other Current Payments (Evidence R&D) (Agency),"Strategy, International and Biosecurity DG",Food & Environment Research Agency,90514,96050.59,2014 Annual subscription for UK membership of EU co-ordinating body for plant health research,YO41 1LZ,,,00000000,Expense
