Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/05/2015,Outsourcing Contract,DG: SFNHS,ACEVO Solutions,570,"63,000.00",Professional services - support for the NHS in winter planning and links with the voluntary sector,N1 9RL,LARGE,,,Programme
Department of Health,Department of Health,01/05/2015,Travel & subsistence non staff,DG: SFNHS,ACEVO Solutions,570,0,Expenses,N1 9RL,LARGE,,,Programme
Department of Health,Department of Health,01/05/2015,Policy Payments,DG: ERD,HOME OFFICE,1124537,"100,000.00",DH contribution to Hillsborough inquest legal costs,NP20 9BB,PUBLIC,,,Programme
Department of Health,Department of Health,01/05/2015,Policy Payments,DG: ERD,HOME OFFICE,1124537,"5,400,000.00","DH contribution to Hillsborough inquest legal costs', 2014-15",NP20 9BB,PUBLIC,,,Programme
Department of Health,Department of Health,01/05/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,35690,"15,697.50",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Application Developer 1,E1 6DU,LARGE,,,Programme
Department of Health,Department of Health,01/05/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,35690,"1,820.00",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Application Developer 2,E1 6DU,LARGE,,,Programme
Department of Health,Department of Health,01/05/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,35690,"4,550.00",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Application Developer 3,E1 6DU,LARGE,,,Programme
Department of Health,Department of Health,01/05/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,35690,"5,460.00",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Application Developer 4 (Site Developer),E1 6DU,LARGE,,,Programme
Department of Health,Department of Health,01/05/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,35690,"1,025.00",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Program Manager,E1 6DU,LARGE,,,Programme
Department of Health,Department of Health,01/05/2015,Outsourcing Contract,DG: PHD,SAPIENT LTD,35690,"13,400.00",Sapient OHT IT System Phase 2. Payment contract period 08/12/14 to 07/12/15.  Project Manager,E1 6DU,LARGE,,,Programme
