Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,02/06/2014,RESOURCE GRANTS PRIVATE SECTOR,TECHNICAL ASSISTANCE,SOCIAL INVESTMENT BUSINESS,3000049305,1033247,Grant to build the capacity of social ventures so they are better equipped  to access social investment and compete for and deliver public service contracts  ,WC1H8AG,SME,Grants
Cabinet Office,CABINET OFFICE,02/06/2014,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,THE SOCIAL INVESTMENT BUSINESS,3000049288,2643952,"Funding to support youth social action, rehabilitation, vulnerable & disengaged young people and community energy programmes",ERS WC1H8AG,SME,Grants
Cabinet Office,CABINET OFFICE,03/06/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,ADVALUS LTD,3000049314,25074,Managed services to support the Public Services Network,SN130RP,SME,Programme
Cabinet Office,CABINET OFFICE,03/06/2014,RESOURCE GRANTS PRIVATE SECTOR,UNALLOCATED BUDGETS,TASKHUB LTD,3000049332,29000,Maintainance and developmment of organisation connecting with local volunteer services to support clean-up activity following severe winter floods,ERS W1B5AN,Large,Programme
Cabinet Office,CABINET OFFICE,03/06/2014,Research and Development (VAT recoverable),MANAGEMENT AND CENTRAL SUPPORT,CITY OF WESTMINSTER,3000049325,37481.33,Polling and communications services ,SW1E6QP,Large,Admin
Cabinet Office,CABINET OFFICE,03/06/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA BUSINESS SERVICES LTD,3000049340,91913.12,Payment for interim IT specialists,DL19HN,Large,Programme
Cabinet Office,CABINET OFFICE,03/06/2014,TELECOM RENTALS,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000049320,93113.62,High Integrity Telecoms System project costs,L23YL,Government Department,Programme
Cabinet Office,CABINET OFFICE,03/06/2014,OTHER IS IT COSTS VAT RECOV,CISP,SUREVINE LTD,3000049353,97967.35,Software engineering costs for the Cyber Security Information Sharing Partnership,GU19ND,SME,Programme
Cabinet Office,CABINET OFFICE,03/06/2014,LEGAL ADVICE FROM TSOL,CABINET OFFICE LEGAL ADVISORS,TREASURY SOLICITOR TSOL,3000049372,126466,Legal services,WC2B4TS,Government Department,Admin
Cabinet Office,CABINET OFFICE,03/06/2014,OTHER LEGAL FEES,GDS ID ASSURANCE,SLAUGHTER & MAY,3000049374,131113.53,Legal services,EC1Y8YY,Large,Programme
Cabinet Office,CABINET OFFICE,03/06/2014,ADDITIONS IT HARDWARE,PUBLIC SERVICES NETWORK,TRUSTIS,3000049348,177902.52,Identity Assurance Programme sotware development ,RG196HN,Large,Programme
Cabinet Office,CABINET OFFICE,03/06/2014,PENSIONER PAYROLL CONTRACTOR,ROYAL MAIL SERVICE PENSIONS,ROYAL MAIL GROUP LTD,3000049342,394963.75,Pension management fee,EC4Y0HQ,Large,Admin
Cabinet Office,CABINET OFFICE,03/06/2014,OTHER IS IT COSTS VAT RECOV,ICT SERVICES,HM TREASURY,3000049367,424190.86,ICT support charges,NR70HS,Government Department,Admin
Cabinet Office,CABINET OFFICE,03/06/2014,NON PRIME PROPERTY COSTS,GDS BUSINESS TECHNOLOGY,FOOD STANDARDS AGENCY,3000049364,503603.76,Rent for accommodation ,YO17PX,Large,Programme
Cabinet Office,CABINET OFFICE,03/06/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA,3000049349,1791114.37,Payment for interim IT specialists,SW1H0XA,Large,Programme
Cabinet Office,CABINET OFFICE,03/06/2014,PENSIONER PAYROLL CONTRACTOR,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000049352,2944547.41,Pension administration services,LS27UA,Large,Admin
Cabinet Office,CABINET OFFICE,04/06/2014,CONSULTANCY SERVICES  'NOT' RECOVERABLE,CENTRE FOR SOCIAL ACTION,ATQ CONSULTANTS UK LTD,3000049389,31500,Business support for charities,PE292AQ,SME,Grants
Cabinet Office,CABINET OFFICE,04/06/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,STEPPING OUT,3000049384,37000,Support under the Mutuals Support Programme,IP326BB,Large,Programme
Cabinet Office,CABINET OFFICE,04/06/2014,BRIDGES SOCIAL ENTREPRENEURS FUND ADDITIONS,SE EQUITY FUND,BRIDGES VENTURES LTD,3000049407,89186.13,Investment in the risk capital fund for social enterprise,W23EN,Large,Programme
Cabinet Office,CABINET OFFICE,04/06/2014,PUBLICITY ADVERTISING MEDIA,OCS NATIONAL CITIZEN SERVICE,M4C,3000049405,93066.46,Publicity/Advertising/Media for the National Citizenship Service,WC1X8RX,SME,Programme
Cabinet Office,CABINET OFFICE,04/06/2014,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,CAPITA RESOURCING LTD,3000049397,103129.46,Payment for interim IT specialists,SL61DP,Large,Programme
Cabinet Office,CABINET OFFICE,04/06/2014,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000049394,129490.62,Facilities Management Services,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,05/06/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,EPPING FOREST DISTRICT COUNCIL,3000049423,30912.4,Payment to fund IT and hardware requirements as a result of the introduction of Individual Electoral Registration in 2014-15,ERS CM164BZ,Large,Programme
Cabinet Office,CABINET OFFICE,05/06/2014,CAPITAL GRANTS LOCAL AUTH-CDEL,ERTP ERO DIGITAL,LONDON BOROUGH OF HARROW,3000049463,32370.37,Payment to fund IT and hardware requirements as a result of the introduction of Individual Electoral Registration in 2014-15,ERS HA12XY,Large,Programme
Cabinet Office,CABINET OFFICE,05/06/2014,CONSULTANTS VAT RECOVERABLE,HEAD OF SME,TOWERS WATSON UK LTD,3000049426,38500,Actuarial work,WC1V6TP,SME,Admin
Cabinet Office,CABINET OFFICE,05/06/2014,OTHER IS IT COSTS VAT RECOV,GDS PUBLISHING PLATFORM TECHNOLOGY,FREE REIN LTD,3000049431,40607.6,Support for Cabinet Office IT projects,IP76RJ,SME,Programme
