Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Transaction Description,Amount
HM Treasury,HM Treasury,03-Oct-11,UKFI Management Fee,Corporate Centre Group,UK FINANCIAL INVESTMENTS LTD,94762,UKFI MANAGEMENT FEE OCTOBER 2011,116700
HM Treasury,HM Treasury,06-Oct-11,Electricity,Corporate Centre Group,EDF ENERGY,94771,ELECTRICITY SEPTEMBER 2011,46294.28
HM Treasury,HM Treasury,06-Oct-11,Facilities Service Charges Non-recoverable,Corporate Centre Group,EXCHEQUER PARTNERSHIP PLC,94755,"POST, GOODS AND PORTERAGE COSTS FOR OCTOBER 2011",33736.46
HM Treasury,HM Treasury,06-Oct-11,IT Software services and maintenance  Rec,Corporate Centre Group,FUJITSU SERVICES LIMITED,94752,HMT CONFIDENTIAL FLEX SERVICE APRIL 2011,158693.56
HM Treasury,HM Treasury,06-Oct-11,IT Software services and maintenance  Rec,Corporate Centre Group,FUJITSU SERVICES LIMITED,94753,HMT CONFIDENTIAL FLEX SERVICE JULY 2011,181726.85
HM Treasury,HM Treasury,06-Oct-11,IT Software services and maintenance  Rec,Corporate Centre Group,FUJITSU SERVICES LIMITED,94751,HMT CONFIDENTIAL FLEX SERVICE MAY 2011,182658.94
HM Treasury,HM Treasury,06-Oct-11,IT Software services and maintenance  Rec,Corporate Centre Group,FUJITSU SERVICES LIMITED,94750,HMT CONFIDENTIAL FLEX SERVICE JUNE 2011,182777.59
HM Treasury,DMO,06-Oct-11,Consultancy - Financial,DMO,NATIONAL AUDIT OFFICE,94783,AUDIT OF ACCOUNTS 2010/11 ,26092
HM Treasury,HM Treasury,10-Oct-11,Assets Under Construction Tangible - over £5k,Corporate Centre Group,EXCHEQUER PARTNERSHIP PLC,94814,BUILDING AND ELECTRICAL WORKS TO PREPARE SPACE FOR RE-ORGANISED WORKSTATIONS IN 1HGR BUILDING,817689.4
HM Treasury,DMO,10-Oct-11,DMO Market Data Services - 587067,DMO,REUTERS LIMITED,94850,MARKET DATA SYSTEMS AND SERVICES 01/10/11 - 31/12/11,100942.34
HM Treasury,HM Treasury,10-Oct-11,Consultancy - Legal,Corporate Centre Group,THE TREASURY SOLICITOR,94822,TSOL TREASURY LEGAL ADVISORS - SALARY COST RECHARGED FROM TSOL,240808
HM Treasury,HM Treasury,12-Oct-11,Facilities Service Charges Non-recoverable,Corporate Centre Group,EXCHEQUER PARTNERSHIP PLC,94754,UNITARY PAYMENT FOR OCTOBER 2011 ,2040424.86
HM Treasury,HM Treasury,12-Oct-11,Consultancy - Financial,Financial Group,PRICEWATERHOUSECOOPERS ,92665,INDEPENDENT VALUER OF BRADFORD & BINGLEY - 15TH MARCH 2011 - 31ST MARCH 2011,32291.94
HM Treasury,HM Treasury,12-Oct-11,Consultancy - Financial,Financial Group,PRICEWATERHOUSECOOPERS ,92663,INDEPENDENT VALUER OF BRADFORD & BINGLEY - APRIL 2011 - RECHARGABLE TO BRADFORD & BINGLEY,111009.75
HM Treasury,HM Treasury,12-Oct-11,Consultancy - Financial,Financial Group,PRICEWATERHOUSECOOPERS ,93388,INDEPENDENT VALUER OF BRADFORD & BINGLEY - MAY & JUNE 2011 - RECHARGABLE TO BRADFORD & BINGLEY,197491.21
HM Treasury,HM Treasury,12-Oct-11,UK Coinage Manufacturing Cost,Corporate Centre Group,ROYAL MINT,94758,PAYMENT FOR METAL AND COINAGE - SEPTEMBER 2011,7182984.41
HM Treasury,HM Treasury,17-Oct-11,Equitable Life Enquiry VAT non - recoverable,Business & International Tax Group,NATIONAL SAVINGS AND INVESTMENTS,94944,OPERATIONAL COSTS FOR THE EQUITABLE LIFE PAYMENT SCHEME FOR AUGUST 2011,280000
HM Treasury,HM Treasury,17-Oct-11,Equitable Life Enquiry VAT non - recoverable,Business & International Tax Group,NATIONAL SAVINGS AND INVESTMENTS,94943,DEVELOPMENT AND IMPLEMENTATION OF THE PAYMENT SCHEME FOR AUGUST 2011,2011298
HM Treasury,HM Treasury,19-Oct-11,Equitable Life Enquiry VAT recoverable,Business & International Tax Group,TOWERS WATSON,94985,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME,171986.87
HM Treasury,UKFI,21-Oct-11,Operating leases (rent),UKFI,"DEPARTMENT FOR CULTURE, MEDIA AND SPORT",95019,RENT & RATES OCTOBER - DECEMBER  2011  OCEANIC HOUSE,34341.62
HM Treasury,HM Treasury,21-Oct-11,Childcare Vouchers,Corporate Centre Group,EDENRED (FORMERLY ACCOR SERVICES),95011,CHILDCARE VOUCHERS COST - NOVEMBER 2011 - JANUARY 2011,54304
HM Treasury,HM Treasury,21-Oct-11,Other Utility expenses,Corporate Centre Group,GOVERNMENT PROCUREMENT SERVICE,94871,1HGR WHITEHALL HEATING SYSTEM - WHS STANDING CHARGES JULY - SEPEMBER 2011,39054.95
HM Treasury,HM Treasury,21-Oct-11,IT Hardware Services & Maintenance VAT Recoverable,Corporate Centre Group,LINE COMMUNICATIONS,95030,HMT LEARNING MANAGEMENT SYSTEM USER PERPETUAL LICENCE FEE,44561
HM Treasury,DMO,25-Oct-11,DMO - Banking Costs,DMO,BANK OF ENGLAND ,95051,DMO BANKING CHARGES SEPTEMBER 11,121183.65
HM Treasury,HM Treasury,25-Oct-11,Procurement Card Suspense,Corporate Centre Group,NATWEST BANK PLC ,95081,VARIOUS COSTS SETTLED THROUGH GOVERNMENT PROCUREMENT CARD - OCTOBER 2011,76151.78
HM Treasury,HM Treasury,25-Oct-11,RBS LODGE CARD (TRAVEL),Corporate Centre Group,RBS LODGE ,95082,VARIOUS COSTS SETTLED THROUGH THE LODGE CARD - OCTOBER 2011,57926.06
HM Treasury,HM Treasury,27-Oct-11,IT Software services and maintenance  Rec,Corporate Centre Group,FUJITSU SERVICES LIMITED,94068,FINAL MILESTONE PAYMENT FOR THE FLEX TRANSFORMATION PROJECT M5.2,81346.08
HM Treasury,HM Treasury,27-Oct-11,UK Coinage Manufacturing Cost,International & EU Group,ROYAL MINT,94875,UK COINAGE CONTRACT CHARGES QUARTER 3 2011/12,92785.73
HM Treasury,DMO,31-Oct-11,Stock Exchange Listing,DMO,LONDON STOCK EXCHANGE,95128,UK GILTS REGISTRATION FEE,150000
