Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,VAT registration number
Defra,Fera,01/02/2011,Ibm (Ciod) Recharge,External Affairs Directorate,'D E F R A,40086,40000,
Defra,Fera,04/02/2011,Direct Subcontractors,Operations Directorate,University of Cambridge,42138,27906.5,
Defra,Fera,04/02/2011,Direct Subcontractors,Operations Directorate,University of Cambridge,42139,27906.5,
Defra,Fera,04/02/2011,Purchase Of Publications,External Affairs Directorate,John Wiley & Sons Ltd,42147,32820.06,
Defra,Fera,08/02/2011,Buildings: Capital At Cost,Finance And Corporate Services,'D E F R A,30976,227257.95,
Defra,Fera,08/02/2011,Buildings: Capital At Cost,Finance And Corporate Services,'D E F R A,40332,-119835.27,
Defra,Fera,09/02/2011,Direct Subcontractors,External Affairs Directorate,IP Pragmatics Limited,42293,29575.58,
Defra,Fera,09/02/2011,Scientific Eq: Capital At Cost,Operations Directorate,*Millipore UK Ltd,42391,25130,
Defra,Fera,09/02/2011,Conference Attendance Fees,Operations Directorate,Carden Park Hotel,42638,28864.61,
Defra,Fera,15/02/2011,Buildings: Capital At Cost,Finance And Corporate Services,'D E F R A,41479,1467646.26,
Defra,Fera,16/02/2011,Prepayment Postal Visa Card,Finance And Corporate Services,National Westminster Bank plc,43159,139349.24,
Defra,Fera,17/02/2011,Scientific Eq: Capital At Cost,Operations Directorate,*Thermo Fisher Scientific,42622,100000,
Defra,Fera,18/02/2011,Direct Subcontractors,Operations Directorate,Askham Bryan College Company Ltd,43005,40329,
Defra,Fera,21/02/2011,Direct Subcontractors,Operations Directorate,Forestry Commission,42753,131610.82,
Defra,Fera,21/02/2011,Direct Subcontractors,Operations Directorate,Forestry Commission,42754,300960,
Defra,Fera,22/02/2011,Direct Subcontractors,Policy & Regulation,NIAB,42038,44906.29,
