EA >£25k Oct 11 Payments report FINAL,,,,,,,,,,,,,
,,,,,,,,,,,,,
Department ,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure type
Defra,EA,25-Oct-11,Building Management,National Estates Manager,Leeds City Council,945474,"£186,190.00", Rates - Phoenix Hse,LS2 8JR,,,,Administration
Defra,EA,25-Oct-11,Building Management,National Estates Manager,Leeds City Council,945479,"£130,235.19", Rates - Park Sq Leeds,LS2 8JR,,,,Administration
Defra,EA,25-Oct-11,Building Management,NLS Support Leeds,Leeds City Council,945483,"£117,992.50", Rates - Olympia House,LS2 8JR,,,,Administration
Defra,EA,25-Oct-11,Building Management,National Estates Manager,Leeds City Council,945486,"£35,939.00", Rates Stockdale Hse,LS2 8JR,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,945495,"£119,075.00", Rates - Olton Court,B91 3RR,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,945496,"£153,774.28", Rates - Sapphire East,B91 3RR,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South West,Taunton Deane Borough Council,945505,"£36,710.21", Rates - Crown Ind est Taunton,TA1 2BB,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Rushmoor Borough Council,945510,"£159,386.48",Rates - Frimley,GU14 7JU,,,,Administration
Defra,EA,25-Oct-11,Building Management,National Estates Manager,City Of York Council,945520,"£93,095.00", Rates - Aviator court,YO1 7DU,,,,Administration
Defra,EA,25-Oct-11,Building Management,National Estates Manager,Rotherham Metropolitan Borough Council,945523,"£40,485.50", Rates - Templeborough,S65 1EU,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Northern,Lincoln City Council,945525,"£94,305.96",899255 Waterside House,LN1 1DB,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Worthing Borough Council,945538,"£149,162.02", Rates - Worthing,BN11 1HB,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South West,North Dorset District Council,946150,"£55,424.00", Rates Rivers House,DT11 7LL,,,,Administration
Defra,EA,25-Oct-11,Building Management,TH South East-Tidal Defence Mgr,London Borough Of Greenwich,946157,"£28,992.00", Rates - Herringham Road,SE18 6RA,,,,Administration
Defra,EA,25-Oct-11,Building Management,TH South East-Tidal Defence Mgr,Greenwich Council,946159,"£26,047.50", Rates Thames barrier visitors center,SE1 6RS,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South West,Cornwall Council,946165,"£31,043.43", Rates - Bodmin,TR1 1YL,,,,Administration
Defra,EA,25-Oct-11,Building Management,National Facilities Manager,Sedgemoor District Council,946176,"£124,487.50",Rates 3 Rivers House,TA6 3AR,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South West,Wyre Forest District Council,946200,"£32,070.29", Rates Hoo Farm,DY10 2BL,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Welwyn Hatfield Council,946213,"£181,835.28", Rates - Hatfield,AL8 6AE,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South West,East Devon District Council,946238,"£26,990.02", Rates Clyst Honiton,EX10 8HL,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Sevenoaks District Council,946244,"£44,035.45", Rates Leigh,TN13 1HG,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South West,Teignbridge District Council,946248,"£119,435.53", Rates Exminster,TQ12 4XX,,,,Administration
Defra,EA,25-Oct-11,Building Management,NLS Support Starcross,Teignbridge District Council,946253,"£78,302.12", Rates Starcross Labs Exeter,TQ12 4XX,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Northern,Kettering Borough Council,946279,"£38,110.46", Rates Nene Hse,NN16 8PP,,,,Administration
Defra,EA,25-Oct-11,Building Management,NW Regional Facilities,South Ribble Borough Council,946301,"£75,792.94",3 Rates Bamber Bridge,PR25 1DH,,,,Administration
Defra,EA,25-Oct-11,Building Management,National Estates Manager,Stockton On Tees Borough Council,948434,"£33,341.00", rates Thornaby,TS23 2YS,,,,Administration
Defra,EA,25-Oct-11,Building Management,NLS Support Nottingham,Nottingham City Council,948437,"£37,633.48", Rates Nottingham Labs,NG1 4XX,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Tonbridge & Malling Borough Council,948470,"£91,472.10", Rates Orchard hse,ME19 4LZ,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Chelmsford Borough Council,948476,"£33,225.69", Rivers hse - Rates,CM1 2JE,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Ipswich Borough Council,948479,"£71,445.00", Rates Cobham Road,IP1 2EE,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Havant Borough Council,949412,"£29,011.00", Rates- Waterlooville,PO9 2ER,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Winchester City Council,949426,"£80,815.68", Rates - Colvedene Court,SO23 9LJ,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Reading Borough Council,949454,"£38,180.46", Rates - Fobney Mead,RG1 7TD,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Reading Borough Council,949460,"£138,560.00", Rates - KMH,RG1 7TD,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South West,Exeter City Council,949485,"£191,602.50", Rates - Manley Hse,EX1 1JW,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,City Of Westminster,949493,"£57,055.24", Rates - Millbank,SW1E 6QP,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,City Of Westminster,949496,"£117,243.89", Rates Millbank,SW1E 6QP,,,,Administration
Defra,EA,25-Oct-11,Building Management,NW Regional Facilities,Warrington Borough Council,949513,"£199,724.32", Rates Richard Fairclough House,WA1 1BN,,,,Administration
Defra,EA,25-Oct-11,Building Management,NW Regional Facilities,Warrington Borough Council,949521,"£194,164.62", Rates - Appleton Hse,WA1 1BN,,,,Administration
Defra,EA,25-Oct-11,Building Management,NW Regional Facilities,Trafford Metropolitan Borough Council,949530,"£38,753.50", Rates - Sale,M33 7ZF,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,East Cambridgeshire District Council,949549,"£25,591.64", Rates - prickwillow,CB7 4XP,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Bedford Borough Council,949570,"£30,093.50",  Rates - st john street,MK40 1SH,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Braintree District Council,949585,"£30,093.50", Rates - Feering,CM7 9HB,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Peterborough City Council,949593,"£71,479.26", Rates - Aqua Hse,PE1 1AY,,,,Administration
Defra,EA,25-Oct-11,Building Management,FM Operating Unit - Central and South East,Peterborough City Council,949596,"£200,262.50", Rates - King Fisher House,PE1 1AY,,,,Administration
