Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
DEFRA,Cefas,27/07/2012,Data Collection Services,Monitoring and Programme Management,THE UNIVERSITY OF HULL,20034880," £34,560.00 ",Sample processing,HU6 7RX,University,,C5650,programme,,,
DEFRA,EA,02/07/2012,Construction,SE Capital WiP,FM Conway Ltd,1082879," £28,845.42 ",External refurbishment and decoration 3 Lock Cottages in South East Region,DA1 3QY,,IMSE100057,Project,,,,
DEFRA,EA,05/07/2012,Construction,HO NCPMS National,Turner & Townsend Project Management,1081924," £28,020.49 ",Midlands Co-located cost manager ,LS18 4CH,30314194,,Project,,,,
DEFRA,EA,10/07/2012,Construction,HO NCPMS Manager,Turner & Townsend Project Management,1090506," £47,151.74 ","Work stream A Data Harvesting, B design verification and process update and C site support. ",LS18 4CH,30314194,HOOP000172,Project,,,,
DEFRA,EA,02/07/2012,Construction,SE Kent & South London - AEM South,Land & Water Services Ltd,1085851," £26,401.80 ",River Medway Navigation Dredging Contract,GU5 9AF,30334183,,Project,,,,
DEFRA,EA,24/07/2012,Construction,SE Kent & South London - AEM South,Land & Water Services Ltd,1094201," £37,989.22 ",River Medway Navigation Dredging Contract,GU5 9AF,30334183,,Project,,,,
DEFRA,EA,02/07/2012,Construction,MI Capital WiP,Whitehouse Construction Co Ltd,1085697," £50,743.26 ",Charlton property level flood protection scheme,DE6 1JU,,IMMI001090,Project,,,,
DEFRA,EA,24/07/2012,Construction,MI Central- FCRM Ops,Birmingham City Council,1093194," £26,618.87 ",Birmingham City Council routine river maintenance works,B1 1BB,30189274,FRA06S807 | FRA06S833 | FRA06S830 | FRA06S832 | FRA06S808 | FRA06S836 | FRA06S834,Project,,,,
DEFRA,EA,02/07/2012,Construction,SE KSL - FCRM Ops North,JT Mackley & Co Ltd,1051753," £35,802.71 ",Thames Maintenance and Minor Works Framework - Valuation work,BN5 9XQ,30134439,RESE100033,Project,,,,
DEFRA,EA,02/07/2012,Construction,NE Capital WiP,Esh Construction Ltd,1084486," £43,482.49 ",Minor works Hull Tidal barrier,DH6 5PF,30204740,IMNE790335,Project,,,,
DEFRA,EA,02/07/2012,Construction,SE Capital WiP,UK Flood Barriers Ltd,1084869," £61,574.40 ",Lower Thames Flood Resistance Measures on Individual Properties,WR9 0NX,30295946,IMTH001763,Project,,,,
DEFRA,EA,02/07/2012,Construction,MI Capital WiP,Birch Brothers Kidderminster Ltd,1086402," £97,022.98 ",Midland minor works at Dakyn Road,DY13 9QB,30224314,IMMI001262,Project,,,,
