,,,,,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,
DEFRA,DEFRA,12/09/2012,GPC Card,Central Finance Group,Barclaycard Business Issuing,4715320649042975050912," Ł61,961.71 ",Government Procurement Card payments across core Defra for period September 2012,TS17 6YG,,,00000000,Asset,,
DEFRA,DEFRA,20/09/2012,Business Rates,Chief Operating Officer DG,D T Z,DEFRA153," Ł8,040,377.42 ",DTZ Funding:property related costs - rent and service charges and insurance,B3 2ED,,,00000000,Expense,,
DEFRA,DEFRA,20/09/2012,Electricity,Chief Operating Officer DG,E D F Energy,0133010912," Ł85,324.96 ","Electricity bill for period 1-31 August 2012 - Animal Health and Veterinary Laboratories Agency, Woodham Lane, New Haw, WEYBRIDGE, Surrey, KT15 3NB: includes Grange, Holme, Appstree, Old Rectory, Halls  and Coombelands  Farms",PL3 5XQ,,,B0870000,Expense,,
DEFRA,DEFRA,20/09/2012,Electricity,Chief Operating Officer DG,E D F Energy,0131010912," Ł147,997.66 ","Electricity bill for period 1-31 August 2012 - Food and Environment Research Agency, Sand Hutton, YORK, North Yorkshire",PL3 5XQ,,,B2810000,Expense,,
DEFRA,DEFRA,27/09/2012,Business Rates,Chief Operating Officer DG,D T Z,DEFRA154," Ł40,745.89 ",DTZ Funding:property related costs - rent and service charges and insurance,B3 2ED,,,00000000,Expense,,
DEFRA,DEFRA,24/09/2012,Electricity,Chief Operating Officer DG,E D F Energy,0136010912," Ł40,220.77 ","Electricity bill for period 1-31 August 2012 - Animal Health and Veterinary Laboratories Agency, Woodham Lane, New Haw, WEYBRIDGE, Surrey, KT15 3NB: includes Grange, Holme, Appstree, Old Rectory, Halls  and Coombelands  Farms",PL3 5XQ,,,B0870000,Expense,,
DEFRA,DEFRA,06/09/2012,Gas,Chief Operating Officer DG,Corona Energy,07474223," Ł62,758.69 ","Gas bill for period 1-31 July 2012 for Food and Environment Research Agency, Sand Hutton, YORK, North Yorkshire",WD17 1JW,,,B2810000,Expense,,
DEFRA,DEFRA,28/09/2012,Estates Professional Fees & Services,Chief Operating Officer DG,D T Z,194516," Ł38,828.60 ",DTZ Annual Management fee for 2012/13.,EH3 9QG,,16148,DTZ00000,Expense,,
DEFRA,DEFRA,13/09/2012,Business Rates,Chief Operating Officer DG,D T Z,DEFRA152," Ł154,315.52 ",DTZ Funding:property related costs - rent and service charges and insurance,B3 2ED,,,00000000,Expense,,
DEFRA,DEFRA,06/09/2012,Gas,Chief Operating Officer DG,Corona Energy,07422313," Ł53,110.76 ","Gas bill for period 1-31 July 2012 for Animal Health and Veterinary Laboratories Agency, Woodham Lane, New Haw, WEYBRIDGE, Surrey, KT15 3NB: includes Grange, Holme, Appstree, Old Rectory, Halls  and Coombelands  Farms
",WD17 1JW,,,B0870000,Expense,,
DEFRA,DEFRA,04/09/2012,Estates Professional Fees & Services,Chief Operating Officer DG,D T Z,193093," Ł38,613.60 ",DTZ Annual Management fee ,EH3 9QG,,16148,DTZ00000,Expense,,
DEFRA,DEFRA,10/09/2012,Electricity,Chief Operating Officer DG,E D F Energy,01327842948," Ł78,429.48 ","Electricity bill for period of July 2012- Cntre for Environment, Fisheries and Aquaculture Science, The Nothe, Barrack Road, WEYMOUTH, Dorset
",PL3 5XQ,,,B0820000,Expense,,
DEFRA,DEFRA,12/09/2012,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019590," Ł69,457.50 ",Nobel House - pre-contract move management planning and detailed discussion and reporting of meetings with the directorates.,BS32 4NH,,16989,B196P010,Asset,,
DEFRA,DEFRA,06/09/2012,Clearing Leasehold Property,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00018798270712," Ł45,095.38 ",Nobel House - Initial stage works required to facilitate ongoing rationalisation to include; The dismantling and removal of Coley Park storage and remaining roller racking at Pontin Road.,BS32 4NH,,16649,EXITLOND,Asset,,
DEFRA,DEFRA,12/09/2012,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019593," Ł102,250.01 ","Nobel House - Works are to Include but not restricted to; replacement of existing ceilings, partial decoration and renew of partitioning within Nobel House consolidation Project. ",BS32 4NH,,16986,B196P010,Asset,,
DEFRA,DEFRA,12/09/2012,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019586," Ł92,576.20 ",Lancaster House - Works are to enable the consolidation of Rural Payment Agency to enable space for Natural England to move in to the building July.,BS32 4NH,,16894,EXITNEWC,Asset,,
DEFRA,DEFRA,14/09/2012,Clearing Plant & Machinery,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00019587," Ł37,028.70 ",Nobel House - To facilitate the engagement of a specialist company to carry out spraying and associated works concerned with the treatment of building surfaces and recesses against Moth re-infestation,BS32 4NH,,16813,EXITLOND,Asset,,
DEFRA,DEFRA,06/09/2012,Clearing Leasehold Property,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00018800270712," Ł38,076.10 ",Nobel House - To facilitate data gathering and analytical processing of resultant answers from staff at Millbank and Egon House.,BS32 4NH,,16651,EXITLOND,Asset,,
DEFRA,DEFRA,10/09/2012,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00017367," Ł41,469.55 ",Bury St Edmonds - The relocation of Animal Health Veterinary Laboratory Agency premises in Bury St Edmonds,BS32 4NH,,15686,VLABCP10,Asset,,
DEFRA,DEFRA,26/09/2012,Estates Reactive Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00018790," Ł111,394.38 ",Contract Fire and Security to attend site at Scarborough - to carry out the Fire Risk Assessment.,BS32 4NH,,14277,B0610000,Asset,,
