,,,"Spend over £25,000 - Publication template",,,,
,,,,,,,
,,,,,,,
Procurement led,,,,,,,
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount 
DEFRA,Environment Agency,23-Dec-10,Vehicle Maintenance,HO Fleet Operations,Briggs Marine Contractors Ltd,2244919,"164,141.18"
DEFRA,Environment Agency,23-Dec-10,Telecoms,NW South-Ops Delivery,MM Teleperformance Ltd,2245173,"26,526.80"
DEFRA,Environment Agency,23-Dec-10,Pathology,NLS Operations Starcross,Metlab Supplies Ltd,2245164,"31,896.49"
DEFRA,Environment Agency,23-Dec-10,"Marine, Coastal & Inland Waterways Services",TH Capital WiP,London Borough Of Harrow,2245144,"36,836.25"
DEFRA,Environment Agency,23-Dec-10,"Marine, Coastal & Inland Waterways Services",Capital Work in Progress,Mott Macdonald Ltd,2245176,"27,725.99"
DEFRA,Environment Agency,23-Dec-10,"Marine, Coastal & Inland Waterways Services",NW Capital WiP,Jeremy Benn Associates Ltd,2245098,"25,259.00"
DEFRA,Environment Agency,23-Dec-10,Managed/Outsource Services,CI SD Management MRA,Capgemini UK Plc,2244935,"3,504,859.25"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,Capital Work in Progress,Jackson Civil Engineering Ltd,2245094,"515,778.44"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,TH Capital WiP,Birse Civils Ltd,2244907,"408,756.72"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,Capital Work in Progress,Volkerstevin Ltd,2245356,"385,276.00"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,Capital Work in Progress,Morrison Construction Ltd,2245174,"234,556.97"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,Capital Work in Progress,Team Van Oord,2245318,"194,905.52"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,SO Capital WiP,JT Mackley & Co Ltd,2245106,"118,858.75"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,WA Capital WiP,Birse Civils Ltd,2033978,"101,864.15"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,SO Capital WiP,Graham Attrill Civil Engineering Ltd,2245051,"82,397.87"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,Capital Work in Progress,Jacobs LES Ltd,2245095,"53,462.50"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,Capital Work in Progress,J Breheny Contractors Ltd,2245093,"52,188.20"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,TH Capital WiP,Dyer & Butler Ltd,2244998,"47,835.93"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,Capital Work in Progress,Barhale Construction Plc,2244893,"41,476.04"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,WA South West-Ops Delivery,Spencer Environmental Care Associates Ltd,2034014,"36,264.77"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,WA Capital WiP,Alun Griffiths Contractors Ltd,2033976,"33,576.29"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,Capital Work in Progress,Carillion Planned Maintenance,2244939,"31,175.57"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,Capital Work in Progress,Rampling Plant Hire Ltd,2245240,"28,021.41"
DEFRA,Environment Agency,23-Dec-10,Main Contractors,AN Eastern-Ops Delivery (Essex),Deangate Ltd,2244987,"25,085.55"
DEFRA,Environment Agency,23-Dec-10,Leasing,Fleet Operations,Hitachi Capital Vehicle Solutions Ltd,2245069,"53,151.83"
DEFRA,Environment Agency,23-Dec-10,Environmental Services,National Monitoring,Met Office,2245163,"88,879.35"
DEFRA,Environment Agency,23-Dec-10,Environmental Services,SO SSD - AEM Solent,Land & Water Services Ltd,2245123,"57,067.00"
DEFRA,Environment Agency,23-Dec-10,Environmental Services,"Research, Monitoring and Innovation",CEH,2244946,"30,000.00"
DEFRA,Environment Agency,23-Dec-10,Construction Service Providers,Capital Work in Progress,Interserve Project Services Ltd,2245083,"1,442,726.99"
DEFRA,Environment Agency,23-Dec-10,Construction Service Providers,Capital Work in Progress,Atkins Ltd,2244889,"256,784.55"
DEFRA,Environment Agency,23-Dec-10,Construction Service Providers,TH Capital WiP,Dean & Dyball Civil Engineering Ltd,2244986,"155,734.76"
DEFRA,Environment Agency,23-Dec-10,Construction Service Providers,HO NCPMS National,Arcadis AYH,2244882,"129,426.94"
DEFRA,Environment Agency,23-Dec-10,Construction Service Providers,"E and B Water, Land & Air",Waste & Resources Action Programme Ltd,2245361,"91,497.41"
DEFRA,Environment Agency,23-Dec-10,Construction Service Providers,TH Capital WiP,Ove Arup & Partners Ltd,2245203,"72,622.72"
DEFRA,Environment Agency,23-Dec-10,Construction Service Providers,Capital Work in Progress,Faithful & Gould Ltd,2245030,"46,380.01"
DEFRA,Environment Agency,23-Dec-10,Construction Service Providers,Capital Work in Progress,Haskoning UK Ltd,2245059,"43,079.28"
DEFRA,Environment Agency,23-Dec-10,Construction Service Providers,SW Wessex-Ops Delivery,Alun Griffiths Contractors Ltd,2244869,"31,856.60"
DEFRA,Environment Agency,23-Dec-10,Building Repair & Maintenance,National Facilities Manager,Inviron Ltd,2245084,"29,631.29"
DEFRA,Environment Agency,23-Dec-10,Building Repair & Maintenance,NW North-AEM-Morecambe Bay,Boulting Technology,2244912,"28,934.04"
DEFRA,Environment Agency,23-Dec-10,Building Management,FM Operating Unit - Central and South East,Jones Lang Le Salle,2245104,"181,978.13"
