"Spend over £25,000 - Publication template",,,,,,,,,,,,,,,,,,,Large,Administration
,,,,,,,,,,,,,,,,,,,SME,Programme
Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,,,,,,VSO,Grant
Defra,Fera,01/01/2012,Computers: Capital At Cost,External Affairs Directorate,Insight Direct (UK) Ltd,62926,75151.30,Edge Network Ref:S003153,UB8 1PH,,N/A,!,Administration,,,,,,,
Defra,Fera,09/01/2012,Scientific Eq: Capital At Cost,Operations Directorate,PerkinElmer LAS (UK) Ltd,63414,32091.43,Tricarb 2910 ,HP9 2FX,,N/A,!,Administration,,,,,,,
Defra,Fera,11/01/2012,Prepayment Postal Visa Card,Finance And Corporate Services,National Westminster Bank plc,63575,66610.51,National Westminster Bank Plc,SS1 9AJ,,N/A,!,Administration,,,,,,,
Defra,Fera,12/01/2012,Direct Subcontractors,External Affairs Directorate,NI-CO,1075,46604.52,Work From Serbia Food Laboratory,BT2 8DS,,N/A,N6JK1110,Administration,,,,,,,
Defra,Fera,13/01/2012,Direct Subcontractors,Operations Directorate,University of Cambridge,63695,29130.75,Modelling Work Completed Quarter 3 20,CB2 1SB,,N/A,T5JA7000,Administration,,,,,,,
Defra,Fera,16/01/2012,Direct Subcontractors,Policy & Regulation,NIAB,63525,81000.00,"Ukcpvs Project 1st, 2nd And 3rd",CB3 0LE,,N/A,W8CA1080,Administration,,,,,,,
Defra,Fera,18/01/2012,Direct Subcontractors,Operations Directorate,ADAS UK Ltd,63592,35842.80,Adas Subcontract,WV6 8TQ,,N/A,W8GD1020,Administration,,,,,,,
Defra,Fera,26/01/2012,Purchase Of Publications,External Affairs Directorate,*Elsevier BV,1363,-56116.26,2011-10 *Elsevier Bv,.,,N/A,!,Administration,,,,,,,
Defra,Fera,26/01/2012,Purchase Of Publications,External Affairs Directorate,*Elsevier BV,1364,-31677.82,2011-10 *Elsevier Bv,.,,N/A,!,Administration,,,,,,,
Defra,Fera,31/01/2012,Scientific Eq: Capital At Cost,Operations Directorate,Waters Ltd,62938,609093.96,Xevo Tqs Lc-Ms/Ms Systems (3 O,WD6 3SZ,,N/A,!,Administration,,,,,,,
Defra,Fera,31/01/2012,Notional Estates Charges (Swm),Finance And Corporate Services,DTZ,64929,1034859.35,Property related costs - Rent and Service Charges and Insurance,B4 6AJ,,N/A,!,Administration,,,,,,,
Defra,Fera,31/01/2012,Notional Estates Charges (Swm),Policy & Regulation,DTZ,64929,41266.75,Property related costs - Rent and Service Charges and Insurance,B4 6AJ,,N/A,!,Administration,,,,,,,
Defra,Fera,31/01/2012,Notional Estates Chgs (Policy),Operations Directorate,DTZ,64929,36831.86,Property related costs - Rent and Service Charges and Insurance,B4 6AJ,,N/A,!,Administration,,,,,,,
Defra,Fera,31/01/2012,Notional Estates Chgs (Phsi),Operations Directorate,DTZ,64929,101896.73,Property related costs - Rent and Service Charges and Insurance,B4 6AJ,,N/A,!,Administration,,,,,,,
