Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number,  Amount  ,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/02/2013,Secondees in invoiced costs,NHS Medical,LEEDS TEACHING HOSPITAL NHS TRUST,PUBLIC,LS9 7TF,394227,"68,167.88","NCD for Pathology, 01 Nov 2012-31 Dec 2012",Admin,
Department of Health,Department of Health,01/02/2013,Secondees in invoiced costs,NHS Finance Operations & Performance,NORTH EAST SHA,PUBLIC,NE15 8NY,504662,"65,710.62",SCS3 Equivalent Grade - NORTH EAST SHA SECONDMENT Q3 ADD (Including travel),Admin,
Department of Health,Department of Health,01/02/2013,Travel & subsistence non staff,NHS Finance Operations & Performance,NORTH EAST SHA,PUBLIC,NE15 8NY,504662,"1,853.00",SCS3 Equivalent Grade - NORTH EAST SHA SECONDMENT Q3 ADD (Including travel),Admin,
Department of Health,Department of Health,01/02/2013,Secondees in invoiced costs,NHS Finance Operations & Performance,NORTH EAST SHA,PUBLIC,NE15 8NY,504663,"20,986.49",Grade 7 Equivalent /North East SHA 2012 - 13 secondee re-charge Q2&Q3 ,Admin,
Department of Health,Department of Health,01/02/2013,Travel & subsistence non staff,NHS Finance Operations & Performance,NORTH EAST SHA,PUBLIC,NE15 8NY,504663,"5,959.51",Grade 7 Equivalent /North East SHA 2012 - 13 secondee re-charge Q2&Q3 ,Admin,
Department of Health,Department of Health,01/02/2013,ENDPBs Admin Revenue Grant in Aid,Strategy Finance & NHS,CARE QUALITY COMMISSION (CQC),PUBLIC,NE1 4PA,CQC CASH DRAWDOWN FEBRUARY 2013,"9,000,000.00",CQC revenue payments 2012/13,Admin,
Department of Health,Department of Health,01/02/2013,ENDPBs Admin Capital Grant in Aid,Strategy Finance & NHS,CARE QUALITY COMMISSION (CQC),PUBLIC,NE1 4PA,CQC CASHDRAWDOWN FEBRUARY 2013,"1,000,000.00",CQC Capital payments 2012/13,Programme,
Department of Health,Department of Health,01/02/2013,ENDPBs Admin Revenue Grant in Aid,Strategy Finance & NHS,CARE QUALITY COMMISSION (CQC),PUBLIC,NE1 4PA,CQC CASHDRAWDOWN FEBRUARY 2013,"500,000.00",CQC Revenue payments (Healthwatch) 2012/13,Admin,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,PORTSMOUTH CITY TEACHING PCT,PUBLIC,PO4 8LD,HAFS-15074,"25,000,000.00",,Other,
Department of Health,Department of Health,01/02/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,REDBRIDGE PCT,PUBLIC,WF3 1WE,HAFS-15075,"31,500,000.00",,Other,
