Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,
DEFRA,DEFRA,07/11/2014,Other Current Payments (Evidence R&D),Policy Delivery DG,A D A S UK Ltd,RIRP079907,35071.64,Improving the sustainability of phosphorus use in arable farming - July-September 2014,WV9 5AP,,Exempt,SFFS0006,Expense,,,,
DEFRA,DEFRA,07/11/2014,Porters & Joiners (C),Chief Operating Officer DG,Amaryllis Ltd,OP0403102,26458.85,Collection of 363 desks from the vacated Northallerton office,CM2 6TE,SME,20615,B5160000,Expense,,,,
DEFRA,DEFRA,25/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048802,2164846.50,Recharge for the running costs for former Veterinary Laboratories Agency estate - August 2014,YO1 7PX,SME,DFP,00000000,Expense,,,,
DEFRA,DEFRA,25/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048630,2164846.50,Recharge for the running costs for former Veterinary Laboratories Agency estate - July 2014,YO1 7PX,SME,DFP,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044723,299929.54,England Animal By-Product Requirements Plan - 2013-14 Final Invoice,YO1 7PX,SME,DFP,00000000,Expense,,,,
DEFRA,DEFRA,11/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044731,74595.13,Transmissible Spongiform Encephalopathy (TSE) Laboratory Surveillance - 2013-14 Final Invoice,YO1 7PX,SME,DFP,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044730,8976499.72,Programme Service Level Agreement 2013-14 Policy Outcome Based Requirement Plan to gain officially Bovine Tuberculosis Free status for England by 2038 - Final Invoice,KT15 3NB,SME,DFP Funding,AHVLA001,Expense,,,,
DEFRA,DEFRA,11/11/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049708,5677557.38,Programme Service Level Agreement 2014-15 Policy Outcome Based Requirement Plan to gain officially Bovine Tuberculosis Free status for England by 2038 - September 2014,KT15 3NB,SME,DFP,AHVLA001,Expense,,,,
DEFRA,DEFRA,11/11/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044724,170812.63,Work undertaken by Animal and Plant Health Agency (APHA) through the Agreement on Animal Identification - 2013-14 Final Invoice,KT15 3NB,SME,Funding/DFP,00000000,Expense,,,,
DEFRA,DEFRA,11/11/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048443,36767.00,Badger Vaccine Deployment Project: Research and Development - 2014-15 Quarter 1,YO1 7PX,SME,,FERA0001,Expense,,,,
DEFRA,DEFRA,11/11/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048445,67239.00,Badger Vaccine Deployment Project: Research and Development - 2014-15 Quarter 1,YO1 7PX,SME,,FERA0001,Expense,,,,
DEFRA,DEFRA,03/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044725,448283.26,Inspections of live animal consignments at Border controls - 2013-14 Final Invoice,KT15 3NB,SME,IGS,00000000,Expense,,,,
DEFRA,DEFRA,11/11/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044814,62225.00,International Trade Surveillance New and Emerging Evidence Plan - March 2014,KT15 3NB,SME,DFP,00000000,Expense,,,,
DEFRA,DEFRA,11/11/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000044733,52693.15,Wildlife Licensing - 2013-14 Final Invoice,KT15 3NB,SME,DFP/FUNDING,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049541,42348.09,Fallen stock sampling fee - October 2014,YO1 7PX,SME,DFP Funding,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049542,48111.48,Fallen stock sampling fee - July 2014,YO1 7PX,SME,DFP Funding,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Evidence Non R&D,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000050034,47132.17,Fallen stock sampling fee - September 2014,YO1 7PX,SME,DFP Funding,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049709,47073.66,Transmissible Spongiform Encephalopathy Field Services - September 2014,KT15 3NB,SME,IGS,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049699,212763.96,Animal by-products - September 2014,KT15 3NB,SME,IGS,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049701,157352.82,Inspections of live animal consignments at Border controls - September 2014,KT15 3NB,SME,Funding DFP,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049707,143552.38,Field services - Reportable Diseases and Zoonoses - September 2014,KT15 3NB,SME,DFP FUNDING,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049710,308129.70,Animal welfare inspections - 2014-15 September 2014,KT15 3NB,SME,DFP,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Other Current Payments (GB),"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049612,279331.75,Laboratory Surveillance Exotics 2014-15 - September 2014,YO1 7PX,SME,Funding,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048635,518371.98,Providing effective services to minimise risk of exotic disease incursion - August 2014,YO1 7PX,SME,Funding,00000000,Expense,,,,
DEFRA,DEFRA,03/11/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049705,477658.29,Providing effective services to minimise risk of exotic disease incursion - September 2014,YO1 7PX,SME,Funding,00000000,Expense,,,,
DEFRA,DEFRA,25/11/2014,Payments to Agencies GB,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049581,2164846.00,Recharge for the running costs for former Veterinary Laboratories Agency estate - September 2014,YO1 7PX,SME,DFP,00000000,Expense,,,,
DEFRA,DEFRA,11/11/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000048632,79009.98,Work undertaken by Animal and Plant Health Agency (APHA) through the Agreement on Animal Identification - 2014-15 August 2014,KT15 3NB,SME,DFP,00000000,Expense,,,,
DEFRA,DEFRA,11/11/2014,Other Current Payments E,"Strategy, International and Biosecurity DG",Animal Health and Veterinary Laboratories Agency,5000049700,210809.65,Work undertaken by Animal and Plant Health Agency (APHA) through the Agreement on Animal Identification - 2014-15 September 2014,KT15 3NB,SME,DFP,00000000,Expense,,,,
