"TRANSPARENCY - DFE TEMPLATE FOR SUBMISSION OF SPEND OVER £25,000. To be submitted to:richard.barlow@education.gsi.gov.uk.",,,,,,,
Organisation -,School Food Trust,,,,,,
Submitted by -,Clare Bateman,,,,,,
Month - ,September,,,,,,
Department family,Entity,Date (payment not invoice date),Expense type (Account Code Name),Expense area (Division within SFT e.g. Corp Services),Supplier,Transaction number (SFT Invoice No.),Amount (including VAT)
Department for Education,School Food Trust,17/09/2010,Events Resources,Lets Get Cooking,Proportion Marketing Limited,PI013254,3106.72
Department for Education,School Food Trust,17/09/2010,Start Up Packs,Lets Get Cooking,Proportion Marketing Limited,PI013255,6071.81
Department for Education,School Food Trust,17/09/2010,Let's Get Cooking comms stationery,Lets Get Cooking,Proportion Marketing Limited,PI013255,846
Department for Education,School Food Trust,17/09/2010,Let's Get Cooking E-bulletin,Lets Get Cooking,Proportion Marketing Limited,PI013255,3247.52
Department for Education,School Food Trust,17/09/2010,Cookathon,Lets Get Cooking,Proportion Marketing Limited,PI013255,1147.98
Department for Education,School Food Trust,17/09/2010,Accreditation Certificate Mailmerge,Lets Get Cooking,Proportion Marketing Limited,PI013255,2731.88
Department for Education,School Food Trust,17/09/2010,Let's Get Cooking E-bulletin,Lets Get Cooking,Proportion Marketing Limited,PI013256,756.72
Department for Education,School Food Trust,17/09/2010,Let's Get Cooking comms stationery,Lets Get Cooking,Proportion Marketing Limited,PI013256,1086.88
Department for Education,School Food Trust,17/09/2010,Start Up Packs,Lets Get Cooking,Proportion Marketing Limited,PI013256,1414.12
Department for Education,School Food Trust,17/09/2010,Activity Packs,Lets Get Cooking,Proportion Marketing Limited,PI013256,9586.83
Department for Education,School Food Trust,17/09/2010,Newsletters,Lets Get Cooking,Proportion Marketing Limited,PI013256,1586.25
Department for Education,School Food Trust,17/09/2010,Activity Packs,Lets Get Cooking,Proportion Marketing Limited,PI013299,1293.75
