Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
Defra,EA,21/06/12,Construction,AN Capital WiP,Birse Civils Ltd,1083997," £3,502,635.71 ","Lincshore Project 2010 to 2015, beach nourishment operations involving dredging sand from a licensed offshore location and then pumping the sand onto beaches. ",DN18 5BW,,30142670,IMAN001844,Project,,,
Defra,EA,19/06/12,Construction,NE Capital WiP,Birse Civils Ltd,1085139," £1,531,241.26 ",Redcar Flood alleviation scheme - Construction of sea defence works including pre-cast concrete revetement and promenade works at Redcar.,DN18 5BW,,30142670,IMNE000524,Project,,,
Defra,EA,01/06/12,Construction,SE Capital WiP,Team Van Oord,1078675," £1,506,052.37 ",Medmerry Managed Realignment,RG14 5QS,,30142735,IMSO001023,Project,,,
Defra,EA,01/06/12,Construction,NE Capital WiP,Birse Civils Ltd,1078426," £1,373,586.72 ",Construction of sea defence works including pre-cast concrete revetement and promenade works at Redcar.,DN18 5BW,,30142670,IMNE000524,Project,,,
Defra,EA,21/06/12,Fleet,Balance Sheet Codes,Hitachi Capital Vehicle Solutions Ltd,1084054," £1,176,907.32 ",Supply of lease cars June 2012,RG14 2NU,,,,Administration,,,
Defra,EA,21/06/12,Construction,AN Capital WiP,Birse Civils Ltd,1084891," £1,030,132.96 ",Programme of repairs and maintenance works to various fish passes and flood defence assets across the Region,DN18 5BW,,30142670,IMAN002370,Project,,,
Defra,EA,19/06/12,Construction,AN Capital WiP,Interserve Construction Ltd,1078574," £964,380.54 ",Programme of repairs and maintenance works to various fish passes and flood defence assets across the Region,TQ14 0HP,,30142730,IMAN002372 | IMAN002370,Project,,,
Defra,EA,21/06/12,Construction,AN Capital WiP,Interserve Construction Ltd,1085379," £726,702.95 ",Programme of repairs and maintenance works to various fish passes and flood defence assets across the Region,TQ14 0HP,,30142730,IMAN002370,Project,,,
Defra,EA,19/06/12,Professional Services Other,AN Capital WiP,Broadland Environmental Services Ltd,1084085," £589,544.52 ",Broadland Flood Alleviation Project,GU15 3XW,,30014973,IMAN000753,Project,,,
Defra,EA,12/06/12,Construction,NE Capital WiP,Volkerstevin Ltd,1080774," £565,546.10 ",Todmorden Flood alleviation scheme,EN11 9BX,,30142737,IMNE000616,Project,,,
Defra,EA,01/06/12,Construction,SW Capital WiP,Team Van Oord,1078677," £507,964.73 ",Steart Coastal Management,RG14 5QS,,30142735,IMSW001389,Project,,,
Defra,EA,12/06/12,Professional Services Other,Balance Sheet Codes,Food Standards Agency,1083663," £472,781.40 ",Payment of income collected on behalf of Food Standards Agency (FSA) in as part of joint billing to nuclear sites for work performed by both parties,YO1 7PR,,,,Administration,,,
Defra,EA,19/06/12,Construction,NE Capital WiP,Volkerstevin Ltd,1084362," £433,077.08 ",Todmorden Flood alleviation scheme,EN11 9BX,,30142737,IMNE000616,Project,,,
Defra,EA,21/06/12,Construction,MI Capital WiP,Jackson Civil Engineering Ltd,1085178," £374,586.77 ",Nottingham Leftbank Flood alleviation scheme  Attenborough,IP1 5LT,,30142731,IMMI000642,Project,,,
Defra,EA,21/06/12,Construction,SE Capital WiP,Galliford Try Infrastructure Ltd,1084721," £362,964.42 ",Infrastructure on Upper Mole Flood alleviation scheme - Worth Farm ,LE10 3JF,,30142734,IMTH000956,Project,,,
Defra,EA,14/06/12,Energy and Fuels,NW Regional Director,United Utilities,1087003," £332,373.00 ",Reimbursement of costs in relation to low flow alleviation,WA5 3UZ,,,,Administration,,,
Defra,EA,01/06/12,Construction,NE Capital WiP,Jackson Civil Engineering Ltd,1078972," £317,546.75 ",Northallerton Culvert works,IP1 5LT,,30142731,IMNE000844,Project,,,
Defra,EA,07/06/12,Travel,Head Office,Redfern Travel Ltd,1078477," £316,178.75 ",Staff Business related travel - Rail Tickets for May 2012,BD1 1PL,,30127631 | 30342649,,Administration,,,
Defra,EA,12/06/12,Energy and Fuels,Customer Refund,Portsmouth Water,1083656," £311,082.13 ",Refund due to changes to water abstraction licence which generated Credit Notes.,PO9 1LD,,,,Administration,,,
Defra,EA,21/06/12,Fleet,HO Fleet Operations,Hewden Stuart Plc,1083394," £307,796.95 ",Plant Hire (Non Operated) 2012/13 Consolidated Charges - May,M32 0HW,,30184689,,Administration,,,
Defra,EA,21/06/12,Construction,SE Capital WiP,Team Van Oord,1085258," £304,979.11 ",Pevensey Coastal Outfalls Reconstruction – for continuing refurbishment of 4 coastal outfalls,RG14 5QS,,30142735,IMSO000737,Project,,,
Defra,EA,07/06/12,Engineering Goods,HO Fleet Operations,Allstar Business Solutions Ltd,1080496," £295,394.72 ",Fuel for commercial fleet 2012/13,SN5 6PQ,,30341204,,Administration,,,
