Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/31/2013,Other Travel,Business & Skills Group - Enterprise Directorate,"Personal Expense, Name Witheld",39,4.20,B&S Devolved Admin-Other Travel,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/31/2013,Taxi Services UK,"Strategy, Analysis and Better Regulation - SABR - Analysis Directorate","Personal Expense, Name Witheld",71,9.40,SABR Devolved Admin-Taxi Services UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/31/2013,Subsistence UK,"Strategy, Analysis and Better Regulation - SABR - Analysis Directorate","Personal Expense, Name Witheld",71,10.00,SABR Devolved Admin-Subsistence UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/31/2013,Other Travel,"Strategy, Analysis and Better Regulation - SABR - Analysis Directorate","Personal Expense, Name Witheld",71,3.00,SABR Devolved Admin-Other Travel,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/31/2013,Taxi Services UK,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",111,8.00,MLG Devolved Admin-Taxi Services UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/31/2013,Subsistence UK,Knowledge & Innovation Group - KIG - Research Base,"Personal Expense, Name Witheld",142,15.00,K&I Devolved Admin-Subsistence UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/23/2013,Rail Travel UK,Markets and Local Growth - MLG - BIS Local,"Personal Expense, Name Witheld",147,901.20,MLG Devolved Admin-Rail Travel UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/20/2013,Rail Travel UK,Government Office for Science - GOS - Government Office for Science,"Personal Expense, Name Witheld",790,15.20,ShEx Devolved Admin-Rail Travel UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1289,484.58,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1298,782.10,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1299,888.78,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1301,844.43,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/11/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1302,913.94,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/3/2013,Hire of Agency Staff,Shareholder Executive - Shareholder Executive,ADECCO UK LTD,1305,919.72,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/31/2013,Taxi Services UK,Finance & Commercial Group - F&C - Finance Group,"Personal Expense, Name Witheld",1513,14.00,F&C Devolved Admin-Taxi Services UK,SW1H 0ET,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/31/2013,Clearing Account   - Cost - Computer Equipment,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1596,25614.96,BIS Infrastructure Maintenanc-Clearing Account   - Cost - Computer Equipment,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/31/2013,Clearing Account   - Cost - Computer Equipment,Finance & Commercial Group - F&C - Commercial Directorate,FUJITSU SERVICES LTD,1596,2415.07,BIS Infrastructure Maintenanc-Clearing Account   - Cost - Computer Equipment,WA3 9BD,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/5/2013,On-Line Databases,Business & Skills Group - Further Education & Skills Investment,QUALITAS PARTNERING LTD T/A CREATIVE CHOICE CIC,1620,19023.26,FE Loan Development Costs-On-Line Databases,KT1 2SZ,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/23/2013,Current Grants To Private Sector - NPISH,Markets and Local Growth - MLG - Consumer and Competition Policy,CITIZENS ADVICE BUREAU,1801,107638.87,CiTA: England & Wales-Current Grants To Private Sector - NPISH,N1 9LZ,GRANT
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/9/2013,Professional Subscriptions,"People, Comminications and Effectiveness Group - PCE - Human Resources",GOVERNMENT PROCUREMENT SERVICE (BUYING SOLUTIONS),1859,5680.42,PCCE Non Devolved Admin-Professional Subscriptions,L3 9PP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/19/2013,Advertising,Business & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),1896,7640.99,SABR Devolved Admin-Advertising,WC1X 8RX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/19/2013,Advertising,Business & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),1896,7.64,SABR Devolved Admin-Advertising,WC1X 8RX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/19/2013,Outsourced Programme Management,Business & Skills Group - Advanced Manufacturing Services,GRANT THORNTON UK LLP,1898,889383.00,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NW1 2EP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/19/2013,Outsourced Programme Management,Business & Skills Group - Advanced Manufacturing Services,GRANT THORNTON UK LLP,1898,384961.00,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NW1 2EP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/19/2013,Outsourced Programme Management,Business & Skills Group - Advanced Manufacturing Services,GRANT THORNTON UK LLP,1898,13855.20,MSET: Manufacturing Advisory Service-Outsourced Programme Management,NW1 2EP,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/19/2013,Advertising,Business & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),1945,27.76,ShEx Devolved Admin-Advertising,WC1X 8RX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/19/2013,Advertising,Business & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),1945,27759.86,SABR Devolved Admin-Advertising,WC1X 8RX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/4/2013,PR & Marketing Advice & Services,Business & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),1954,1000.00,Start Up Loans-PR & Marketing Advice & Services,WC1X 8RX,VENDOR
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",12/4/2013,PR & Marketing Advice & Services,Business & Skills Group - Enterprise Directorate,M4C (A DIVISION OF GROUPM UK LTD),1954,35252.00,Start Up Loans-PR & Marketing Advice & Services,WC1X 8RX,VENDOR
