Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Narrative
HM Treasury,HM Treasury,06/07/2010,Consultants - Legal - Advisory only,Financial Stability,SLAUGHTER AND MAY,85487,30010.82,
HM Treasury,HM Treasury,06/07/2010,Consultancy - Other prof svcs framwrk agrmts,Infrastructure UK,PARTNERSHIPS UK PLC,85578,1244504.74,call off fees
HM Treasury,HM Treasury,06/07/2010,Contracted Out Services Other,Corporate Services,REUTERS LTD,85690,35996.74,IT services
HM Treasury,HM Treasury,06/07/2010,Electricity,Corporate Services,EDF ENERGY,85716,45512.18,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,08/07/2010,Consultants - Mgt - Non Advisory,Public Services & Growth,CAPGEMINI UK PLC,85720,26226.00,Development of COINS replacement
HM Treasury,HM Treasury,08/07/2010,It Equipment  - Current,Corporate Services,CABLE & WIRELESS PLC,85732,74156.31,IT services
HM Treasury,HM Treasury,08/07/2010,Budget Documentation,"Budget, Tax & Welfare",STATIONERY OFFICE LTD (BCP SITE),85760,41035.17,
HM Treasury,UKFI,09/07/2010,Recruitment Expenses,UKFI,STONEHAVEN ASSOCIATES LLP,85435,25000.00,external recruitment costs UKFI 
HM Treasury,UKFI,09/07/2010,Consultants - Legal - Advisory only,UKFI,SLAUGHTER AND MAY,85601,32336.77,advice as to Government's investments in financial institutions
HM Treasury,UKFI,09/07/2010,Consultants - Legal - Advisory only,UKFI,SLAUGHTER AND MAY,85614,27820.27,advice as to Government's investments in financial institutions
HM Treasury,HM Treasury,12/07/2010,Software Licences,Corporate Services,REUTERS LTD,85688,26363.48,IT services
HM Treasury,HM Treasury,12/07/2010,Capital payment on PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,85771,127767.96,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,12/07/2010,Rent on PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,85771,360938.03,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,12/07/2010,Interest Payable on PFI,Corporate Services,EXCHEQUER PARTNERSHIP PLC,85771,811824.76,Estates 1 Horse Guards Road
HM Treasury,HM Treasury,12/07/2010,Service Charges,Corporate Services,EXCHEQUER PARTNERSHIP PLC,85771,2308.83,Estates 1 Horse Guards Road
