Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,21/09/2015,Rent and rates,DEFENCE INFRASTRUCTURE ORGANISATION,ANNINGTON RECEIVABLES LTD,W1U 1DR,55698,Rent UK married quarters - operating lease payments,"£41,276,951.86"
Ministry of Defence,Ministry of Defence,03/09/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,ASPIRE DEFENCE LIMITED,SP9 7QD,50622,Property dwellings private finance initiative - service concession arrangement service charge,"£23,821,482.16"
Ministry of Defence,Ministry of Defence,14/09/2015,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,GU14 6YU,53440,Intangible single use military equipment asset  - in year capital addition,"£18,609,219.38"
Ministry of Defence,Ministry of Defence,03/09/2015,Energy conservation and environmental charges.,DEFENCE INFRASTRUCTURE ORGANISATION,ENVIRONMENT AGENCY,PE2 8YD,300000545,Energy conservation and environmental charges,"£18,046,560.00"
Ministry of Defence,Ministry of Defence,24/09/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,G14 0XN,56839,Single use military equipment asset under construction - capital in year addition,"£15,519,428.00"
Ministry of Defence,Ministry of Defence,09/09/2015,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,52241,Equipment support non-project costs,"£11,226,592.95"
Ministry of Defence,Ministry of Defence,24/09/2015,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,56924,Utilities consumed - electricity,"£9,579,648.48"
Ministry of Defence,Ministry of Defence,17/09/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11621,Monthly GPC Payment,"£8,579,103.37"
Ministry of Defence,Ministry of Defence,09/09/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,MODUS SERVICES LIMITED,SW1A 2HB,52397,Property non dwellings private finance initiative - service concession arrangement service charge,"£8,371,827.87"
Ministry of Defence,Ministry of Defence,23/09/2015,Purchase of buildings and military equipment ,Defence Equipment + Support,BAE SYSTEMS MARINE LTD,LA14 1AF,56469,Single use military equipment asset under construction - capital in year addition,"£7,920,000.00"
Ministry of Defence,Ministry of Defence,16/09/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11618,Monthly GPC Payment,"£7,176,198.74"
Ministry of Defence,Ministry of Defence,24/09/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,56868,Estate core services charge,"£6,304,962.25"
Ministry of Defence,Ministry of Defence,18/09/2015,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,55573,Property dwellings private finance initiative - service concession arrangement service charge,"£6,255,276.03"
Ministry of Defence,Ministry of Defence,17/09/2015,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,54960,Estate + facilities management services - accommodation inventory + service,"£5,321,463.41"
Ministry of Defence,Ministry of Defence,18/09/2015,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,55466,Estate core services charge,"£5,069,461.23"
Ministry of Defence,Ministry of Defence,17/09/2015,Government Procurement Card,Ministry of Defence,BARCLAYS BANK PLC,TS17 6YG,11622,Monthly GPC Payment,"£4,846,331.39"
Ministry of Defence,Ministry of Defence,10/09/2015,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,52642,Fees for professional services excluding legal fees,"£4,749,347.75"
Ministry of Defence,Ministry of Defence,08/09/2015,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE ORGANISATION,INTERSERVE (DEFENCE) LTD,B70 1DA,52066,Fiscal asset under construction - capital in year addition,"£4,295,320.31"
Ministry of Defence,Ministry of Defence,25/09/2015,Purchase of buildings - Non Dwellings,Defence Equipment + Support,"LEIDOS EUROPE, LIMITED",CB25 9QE,57485,Property building non dwelling asset - in year capital addition,"£3,979,980.00"
Ministry of Defence,Ministry of Defence,10/09/2015,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,52675,Fees for professional services excluding legal fees,"£3,861,201.55"
