Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Expenditure Type,,
Cabinet Office,Cabinet Office,01/11/11,Supplies and Services,CENTRAL BUDGETS,TREASURY SOLICITOR TSOL,3000020303,"89,653.67",Treasury Solicitor Capitation costs.,WC2B 4TS,Large,Administration,,
Cabinet Office,Cabinet Office,01/11/11,Supplies and Services,POLICY COMMUNICATIONS,COI CENTRAL OFFICE OF INFORMATION,3000020269,"80,000.00",Media Monitoring Unit 2011/2012 Subscription,SE1 7DU,Large,Administration,,
Cabinet Office,Government Procurement Service,01/11/11,MOTO Charges RC,Estates Management,Cabinet Office Votes,PINDOH 33589,"110,363.22",Rent for accommodation,CF14 3UW,Gov Dept,Administration,,
Cabinet Office,Cabinet Office,02/11/11,Resource Grants to NDPB's,HONOURS AND APPOINTMENTS,TREASURER TO THE QUEEN,3000020334,"68,230.00",Central Chancery charges for administration of Honours,SW1A 1AA,Large,Programme,,
Cabinet Office,Government Procurement Service,02/11/11,Conferencing Audio,Network Services,Global Crossing,PINMTS 21020,"55,290.59",Government managed telecoms contract,RG24 8NA,Large,Programme,,
Cabinet Office,Cabinet Office,03/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,LOCALITY,3000020357,"165,333.33",Strategic partners transition grant ,N1 6DR,SME,Programme,,
Cabinet Office,Cabinet Office,03/11/11,Supplies and Services,INTELLIGENCE SECURITY AND RESILIENCE,ENDURANCE LTD,1000450,"100,000.00",Get Safe Online Campaign,SW1V 1BZ,SME,Administration,,
Cabinet Office,Cabinet Office,03/11/11,IT Costs,GOVERNMENT DIGITAL SERVICE,CIMEX MEDIA LTD,3000020346,"37,343.86",October payment for hosting and maintenance of the Directgov mobile service,EC2A 4PJ,SME,Programme,,
Cabinet Office,Cabinet Office,03/11/11,"Travel, Subsistence and Hospitality",OFFICE FOR CIVIL SOCIETY,EXPOTEL,3000020353,"26,538.28","Venue Fee for the London Stage of the European Year of Volunteering 2011 Tour Event. Coin Street Neighbourhood Centre, 26 October – 4 November",NW6 4HG,Large,Programme,,
Cabinet Office,Cabinet Office,07/11/11,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000020420,"800,895.44",Flex Service Charge,SW1A 2WH,Large,Administration,,
Cabinet Office,Cabinet Office,07/11/11,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000020426,"734,604.65",October payment for Implementation services to further develop the Directgov site and Managed Service to host and maintain the Directgov site.,HP2 7AH,Large,Programme,,
Cabinet Office,Cabinet Office,07/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,CHANGEMAKERS,3000020413,"72,830.00",National Citizen Service project grant,N7 7QT,SME,Programme,,
Cabinet Office,Cabinet Office,08/11/11,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES,3000020457,"804,751.97",Flex Service Charge,SW1A 2WH,Large,Administration,,
Cabinet Office,Cabinet Office,08/11/11,Assets Under Construction,ESTATE MANAGEMENT,ECOVERT FM LTD,3000020455,"146,284.80",Refurbishment of 70 Whitehall,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,08/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,SCHOOL FOR SOCIAL ENTREPRENEURS,3000020477,"105,000.00",Strategic partners transition grant ,E2 9PF,SME,Programme,,
Cabinet Office,Cabinet Office,08/11/11,Resource Grants to Private Sector,OFFICE FOR CIVIL SOCIETY,ENVISION,3000020456,"93,888.00",National Citizen Service project grant,EC1V 3RS ,SME,Programme,,
Cabinet Office,Cabinet Office,08/11/11,Accommodation and Utilities,ESTATE MANAGEMENT,ECOVERT FM LTD,3000020455,"88,702.85",Facilities Management Services,BN1 1HQ,Large,Administration,,
Cabinet Office,Cabinet Office,08/11/11,IT Costs,GOVERNMENT DIGITAL SERVICE,STERIA LTD,3000020480,"75,640.00",October payment for Web site monitoring and usage analysis,HP2 7AH,Large,Programme,,
Cabinet Office,Cabinet Office,08/11/11,Supplies and Services,POLITICAL AND CONSTITUTIONAL REFORM,LAW COMMISSION,3000020467,"62,500.00",Quarter 1 and 2 payment to Law Commission for review to overhaul and consolidate electoral law,SW1H 9LJ,Large,Administration,,
