Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Latest Contract Number,Project Code,Expenditure Type
,,01/03/2016,Outsourcing Contract,"DG: Finance, Commercial & NHS",ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0040984,"-£46,528.00",3 year national clinical programme across 10 categories - March 15 to October 15 - (up to 8 month review gateway).,HA7 4LP,PUBLIC,,,
,,01/03/2016,Outsourcing Contract,"DG: Finance, Commercial & NHS",ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0040984,"£46,528.00",3 year national clinical programme across 10 categories - November 15 to February 17 - (up to 2 year review gateway).,HA7 4LP,PUBLIC,,,
,,01/03/2016,Outsourcing Contract,"DG: Finance, Commercial & NHS",ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0041442,"£29,059.27",3 year national clinical programme across 10 categories - March 15 to October 15 - (up to 8 month review gateway).,HA7 4LP,PUBLIC,,,
,,01/03/2016,Outsourcing Contract,"DG: Finance, Commercial & NHS",ROYAL NATIONAL ORTHOPAEDIC HOSPITAL NHS TRUST,E0041442,"-£29,059.27",3 year national clinical programme across 10 categories - November 15 to February 17 - (up to 2 year review gateway).,HA7 4LP,PUBLIC,,,
,,01/03/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-20680,"£13,900,000.00",,,PUBLIC,,,
,,01/03/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-20681,"£11,100,000.00",,,PUBLIC,,,
,,01/03/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-20682,"£6,390,000.00",,WF3 1WE,PUBLIC,,,
,,01/03/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-20683,"£455,000,000.00",,LS1 4PL,PUBLIC,,,
,,01/03/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-20684,"£2,339,000.00",,SE1 6LH,PUBLIC,,,
,,01/03/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-20685,"£5,200,000.00",,,PUBLIC,,,
,,01/03/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-20686,"£13,500,000.00",,SE1 7NT,PUBLIC,,,
,,01/03/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-20687,"£29,990,000.00",,NE1 6SN,PUBLIC,,,
,,01/03/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-20688,"£1,384,524,000.00",,LS2 7UE,PUBLIC,,,
,,01/03/2016,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-20689,"£5,327,729,000.00",,LS2 7UE,PUBLIC,,,
,,01/03/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-20690,"£11,882,000.00",,SW1E 6QT,PUBLIC,,,
,,01/03/2016,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-20691,"£41,157,000.00",,SP4 0JG,PUBLIC,,,
