Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Vat Registration Num
Department of Health,Department of Health,01/11/2010,Revenue Grants to Other Bodies,HEALTH PROTECTION & IMPROVEMENT,RURAL PAYMENTS AGENCY (RPA),327751,"60,504.66",
Department of Health,Department of Health,01/11/2010,Phone Rental and Calls,INFORMATICS,BT PLC,11871729,"27,671.58",
Department of Health,Department of Health,01/11/2010,SYS VAT Non recoverable,INFORMATICS,BT PLC,11871729,-0.01,
Department of Health,Department of Health,01/11/2010,External Consultancy Fees,INFORMATICS,CAPGEMINI UK PLC,11824494,"18,396.00",
Department of Health,Department of Health,01/11/2010,External Consultancy Fees,INFORMATICS,CAPGEMINI UK PLC,11824494,"14,296.78",
Department of Health,Department of Health,01/11/2010,Staff Consultancy & Support,INFORMATICS,CAPGEMINI UK PLC,11824494,"5,350.00",
Department of Health,Department of Health,01/11/2010,Staff Consultancy & Support,INFORMATICS,CAPGEMINI UK PLC,11824494,"10,700.00",
Department of Health,Department of Health,01/11/2010,Staff Consultancy & Support,INFORMATICS,CAPGEMINI UK PLC,11824494,"4,837.00",
Department of Health,Department of Health,01/11/2010,Staff Consultancy & Support,INFORMATICS,CAPGEMINI UK PLC,11824494,"134,490.50",
Department of Health,Department of Health,01/11/2010,External Data Contracts,INFORMATICS,CENTRAL OFFICE OF INFORMATION (COI),11543352,"203,655.84",
Department of Health,Department of Health,01/11/2010,Printing Costs,INFORMATICS,CENTRAL OFFICE OF INFORMATION (COI),11462375,"-56,776.73",
Department of Health,Department of Health,01/11/2010,Printing Costs,INFORMATICS,CENTRAL OFFICE OF INFORMATION (COI),11784071,"75,602.00",
Department of Health,Department of Health,01/11/2010,Printing Costs,INFORMATICS,CENTRAL OFFICE OF INFORMATION (COI),11784089,"93,896.00",
Department of Health,Department of Health,01/11/2010,Rent,INFORMATICS,LONDON SHA,11792539,"37,500.00",
Department of Health,Department of Health,01/11/2010,Travel & Subsistence,INFORMATICS,UNIVERSITY HOSPITALS OF MORECAMBE BAY NHS TRUST,11816931,"30,000.00",
Department of Health,Department of Health,01/11/2010,Expense clearing Government Procurement Card (Short Term),MORE THAN ONE DIRECTORATE,BARCLAYCARD BUSINESS,1605004-19-NOV-10,"80,380.34",
Department of Health,Department of Health,01/11/2010,Other programme expenditure,NHS FINANCE PERFORMANCE & OPERATIONS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,1060015498,"654,143.46",
Department of Health,Department of Health,01/11/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,FRESENIUS MEDICAL CARE RENAL SERVICES LTD,1060015498,"-654,143.46",
Department of Health,Department of Health,01/11/2010,Other programme expenditure,NHS FINANCE PERFORMANCE & OPERATIONS,INHEALTH MOLECULAR IMAGING LTD,SIM000046,"938,641.80",
Department of Health,Department of Health,01/11/2010,Outsourcing Contract,NHS FINANCE PERFORMANCE & OPERATIONS,INHEALTH MOLECULAR IMAGING LTD,SIM000046,"-938,641.80",
Department of Health,Department of Health,01/11/2010,Storage costs,NHS MEDICAL DIRECTOR,MYLAN,1800000419,"85,242.83",
Department of Health,Department of Health,01/11/2010,Grants to non profit institutions (Current),NHS MEDICAL DIRECTOR,THE NATIONAL COUNCIL FOR PALLIATIVE CARE,ERS-409571-36881,"33,470.00",
Department of Health,Department of Health,01/11/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,POLICY STRATEGY & FINANCE,"ASHTON, LEIGH & WIGAN PCT",HAFS-9240,"40,000,000.00",
Department of Health,Department of Health,01/11/2010,CASH FUNDING Revenue Inside Resource Accounting Boundary,POLICY STRATEGY & FINANCE,BARKING AND DAGENHAM PCT,HAFS-9241,"25,000,000.00",
