Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CAPITAL GRANTS,School Resources Group,THE ST MATTHEWS ACADEMY CAPITAL,4000054690,89229.3
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CONTRACT PROGRAMME EXPENDITURE,Children Young People and Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,4000054666,73318.3
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,NATIONAL SCIENCE LEARNING CENTRE,1000374,394319.99
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,NATIONAL SCIENCE LEARNING CENTRE,1000376,300000
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CURRENT GRANTS,Academies Delivery Group,ACADEMY ENTERPRISE TRUST,4000054659,117285
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CURRENT GRANTS,Academies Delivery Group,AYLWARD ACADEMY,4000054663,50000
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CURRENT GRANTS,Curriculum and Behaviour Group,ENTHUSE CHARITABLE TRUST,1000375,500000
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CURRENT GRANTS,Qualifications Strategy and Reform Group,GREATER MERSEYSIDE CONNEXIONS LTD,4000054675,42123
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CURRENT GRANTS,Children Young People and Families Group,NORTH TYNESIDE,4000054682,37500
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,CURRENT GRANTS,Children Young People and Families Group,NORTHAMPTONSHIRE COUNTY COUNCIL,705073,32500
Department for Education,TEACHERS PENSION SCHEME,27/05/2011,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group – TPS,CAPITA TP HSBC,1000623,253924.41
Department for Education,TEACHERS PENSION SCHEME,27/05/2011,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group – TPS,CAPITA TP HSBC,1000625,264021.69
Department for Education,TEACHERS PENSION SCHEME,27/05/2011,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group – TPS,CAPITA TP NATWEST,1000624,17212958.25
Department for Education,TEACHERS PENSION SCHEME,27/05/2011,FUNDING TO PAY TEACHERS PENSIONS,Workforce Group – TPS,CAPITA TP NATWEST,1000626,15819328.7
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,MANAGEMENT CONSULTANCY,Children Young People and Families Group,ENGINE GROUP LTD,4000054674,133199.89
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,PROFESSIONAL FEES,Academies Delivery Group,OWEN EDUCATION LTD,4000054683,98716.99
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,PROFESSIONAL FEES,Education Strategy and Improvement Group,WHITE CONSULTANTS LTD CATALIST,4000054695,34642.88
Department for Education,DEPARTMENT FOR EDUCATION,27/05/2011,RESEARCH & DEVELOPMENT COSTS,"Strategic Analysis, Research and Policy Impact Group",NFER TRADING LIMITED INV T,4000054681,55000
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CAPITAL GRANTS,School Resources Group,HAMMERSMITH ACADEMY TRUST ACCOUNT,4000054897,107494.35
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CAPITAL GRANTS,Children Young People and Families Early Years Extended Schools and Special Needs,LEEDS CITY COUNCIL,1000378,97425
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CAPITAL GRANTS,School Resources Group,NPS SOUTH EAST LTD,4000054905,25381.23
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CONTRACT PROGRAMME EXPENDITURE,Curriculum and Behaviour Group,LEARNING & SKILLS COUNCIL,4000054903,413319
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CONTRACT PROGRAMME EXPENDITURE,Academies Delivery Group,PKF UK LLP,4000054908,32942.4
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,Academies Delivery Group,ARNOLD MIDDLE SCHOOL,4000054883,25000
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BARNSLEY MBC,4000054731,6080050
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BATH & NORTH EAST SOMERSET COUNCIL,4000054732,4362255
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BEDFORD BOROUGH COUNCIL,4000054733,4437961
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BIRMINGHAM CITY COUNCIL,4000054734,37452353
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BLACKBURN WITH DARWEN BOROUGH COUNCIL,4000054735,5148248
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BLACKPOOL BOROUGH COUNCIL,4000054736,4022945
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BOLTON MBC,4000054737,8127709
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BOURNEMOUTH BOROUGH COUNCIL,4000054738,3574599
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BRACKNELL FOREST BOROUGH COUNCIL,4000054739,2914087
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BRIGHTON & HOVE CITY COUNCIL,4000054740,5969412
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BRISTOL CITY COUNCIL,4000054741,9307456
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BUCKINGHAMSHIRE COUNTY COUNCIL,4000054742,13473819
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,BURY MBC,4000054743,5305291
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CALDERDALE MBC,4000054744,6296846
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CAMBRIDGESHIRE COUNTY COUNCIL,4000054745,14409622
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CENTRAL BEDFORDSHIRE COUNCIL,4000054746,6664363
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CHESHIRE EAST COUNCIL,4000054747,8918443
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CHESHIRE WEST & CHESTER COUNCIL,4000054748,8589010
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CITY OF BRADFORD METROPOLITAN DISTRICT COUNCIL,4000054749,16566937
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CITY OF LONDON,4000054750,94257
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CITY OF WESTMINSTER,4000054751,4525664
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CORNWALL COUNCIL,4000054752,12658920
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,COUNCIL OF THE ISLES OF SCILLY,4000054753,120364
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,COVENTRY CITY COUNCIL,4000054754,9298034
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,CUMBRIA COUNTY COUNCIL,4000054755,12049434
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,DARLINGTON BOROUGH COUNCIL,4000054756,2803197
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,DERBY CITY COUNCIL,4000054757,7159577
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,DERBYSHIRE COUNTY COUNCIL,4000054758,19628810
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,DEVON COUNTY COUNCIL,4000054759,16762926
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,DONCASTER MBC,4000054760,8014659
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,DORSET COUNTY COUNCIL,4000054761,9751702
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,DUDLEY MBC,4000054762,9173888
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,DURHAM COUNTY COUNCIL,4000054763,13581090
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,EAST RIDING OF YORKSHIRE,4000054764,8352701
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,EAST SUSSEX COUNTY COUNCIL,4000054765,12574577
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,ESSEX COUNTY COUNCIL,4000054766,35506826
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,GATESHEAD MBC,4000054767,5162181
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,GLOUCESTERSHIRE COUNTY COUNCIL,4000054768,14765830
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,HALTON BOROUGH COUNCIL,4000054769,3813385
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,HAMPSHIRE COUNTY COUNCIL,4000054770,32341064
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,HARTLEPOOL BOROUGH COUNCIL,4000054771,2946890
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,HEREFORDSHIRE COUNCIL,4000054772,4053540
Department for Education,DEPARTMENT FOR EDUCATION,31/05/2011,CURRENT GRANTS,School Resources Group,HERTFORDSHIRE,4000054773,30261477
