Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description
Ministry of Justice,MoJ HQ,10-Jul-14 ,223000-Other Expenditure,LZ600-Transforming Justice,DEPARTMENT FOR WORK & PENSIONS (DWP),4741,"37,600.00 ",MOJ Employment and re-offending pilot re-imbursement
Ministry of Justice,MoJ HQ,09-Jul-14 ,223000-Other Expenditure,LZ600-Transforming Justice,DEPARTMENT FOR WORK & PENSIONS (DWP),4740,"49,200.00 ",MOJ Employment and re-offending pilot re-imbursement
Ministry of Justice,MoJ HQ,17-Jul-14 ,264000-Consultancy,LZ600-Transforming Justice,PA CONSULTING GROUP,1137958,"301,574.68 ",Transitions Managers to provide Rehabilitation Programme with support to deliver the transition from 35 Probation Trusts to a single public sector probation service and 21 Community Rehabilitation Companies by October 2014.
Ministry of Justice,MoJ HQ,17-Jul-14 ,264000-Consultancy,LZ600-Transforming Justice,PA CONSULTING GROUP,1137958,"71,863.56 ",Transitions Service Managers to provide Rehabilitation Programme with support to deliver the transition from 35 Probation Trusts to a single public sector probation service and 21 Community Rehabilitation Companies.
Ministry of Justice,MoJ HQ,07-Jul-14 ,264000-Consultancy,LZ600-Transforming Justice,ERNST & YOUNG LLP,1136787,"45,096.00 ",Work done to date on the Rehab programme. Contract ITT 651 RM2764 - Business and System Readiness
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,46.00 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,25.78 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,25.78 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,25.78 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,25.78 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,25.78 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,25.78 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,128.90 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,25.78 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,11.62 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,11.62 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,11.62 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,11.62 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,11.62 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
Ministry of Justice,MoJ HQ,31-Jul-14 ,265000-IT & Telecommunications,LZ600-Transforming Justice,ATOS IT SERVICES UK LTD,1138932,219.64 ,"Provision of IT equipment, applications and services to the Rehabilitation Programme team"
