Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,21-Jun-13,226000-Court Costs,KY100-Costs from Central Funds,KY10000003,22732,"36,678.60",Payment for a defendant's court order certified by the registrar of the Supreme court.,WC1N 2LS,,
Ministry of Justice,MoJ HQ,26-Jun-13,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3294,"8,633,000.00",Grants to Legal Aid Agency in respect of CLS & Criminal Legal Aid,SW1H 9AJ-FUND,,
Ministry of Justice,MoJ HQ,13-Jun-13,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3240,"9,468,000.00",Grants to Legal Aid Agency in respect of CLS & Criminal Legal Aid,SW1H 9AJ-FUND,,
Ministry of Justice,MoJ HQ,19-Jun-13,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3264,"10,319,000.00",Grants to Legal Aid Agency in respect of CLS & Criminal Legal Aid,SW1H 9AJ-FUND,,
Ministry of Justice,MoJ HQ,13-Jun-13,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3240,"10,690,000.00",Grants to Legal Aid Agency in respect of CLS & Criminal Legal Aid,SW1H 9AJ-FUND,,
Ministry of Justice,MoJ HQ,19-Jun-13,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3264,"14,303,000.00",Grants to Legal Aid Agency in respect of CLS & Criminal Legal Aid,SW1H 9AJ-FUND,,
Ministry of Justice,MoJ HQ,26-Jun-13,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3294,"24,367,000.00",Grants to Legal Aid Agency in respect of CLS & Criminal Legal Aid,SW1H 9AJ-FUND,,
Ministry of Justice,MoJ HQ,06-Jun-13,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3215,"27,785,000.00",Grants to Legal Aid Agency in respect of CLS & Criminal Legal Aid,SW1H 9AJ-FUND,,
Ministry of Justice,MoJ HQ,06-Jun-13,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL AID AGENCY (LAA),3215,"44,613,000.00",Grants to Legal Aid Agency in respect of CLS & Criminal Legal Aid,SW1H 9AJ-FUND,,
Ministry of Justice,MoJ HQ,27-Jun-13,611000-Debtors <1 year - Other Debtors,WW000-Balance Sheet,SOFTCAT LTD,1105057,"47,646.90",REFUND OF DUPLICATE INVOICE ALSO PAID UNDER INV00601698,SL7 1LW,,
Ministry of Justice,MoJ HQ,21-Jun-13,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1104544,"50,082.00",Rates Invoice / Accounting Adjustment,RATES,,
Ministry of Justice,MoJ HQ,21-Jun-13,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,LONDON BOROUGH OF CAMDEN,1104546,"75,614.00",Rates Invoice / Accounting Adjustment,RATES,,
Ministry of Justice,MoJ HQ,21-Jun-13,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1104544,"83,961.00",Rates Invoice / Accounting Adjustment,RATES,,
Ministry of Justice,MoJ HQ,21-Jun-13,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1104544,"89,362.00",Rates Invoice / Accounting Adjustment,RATES,,
Ministry of Justice,MoJ HQ,21-Jun-13,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1104544,"147,300.00",Rates Invoice / Accounting Adjustment,RATES,,
Ministry of Justice,MoJ HQ,21-Jun-13,610400-Debtors <1 year - Prepayments & Accrued Income,WW000-Balance Sheet,CITY OF WESTMINSTER,1104544,"585,272.00",Rates Invoice / Accounting Adjustment,RATES
Ministry of Justice,MoJ HQ,06-Jun-13,265000-IT & Telecommunications,QY200-OU10 Billback,VODAFONE CORPORATE LTD,1103257,"25,560.87",MoJ HQ Vodafone Mobiles - FY 13-14,RG14 5FF
Ministry of Justice,MoJ HQ,06-Jun-13,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1103005,"43,830.73",CCN - 2277-01 - NOP Non-WITO charges  (Feb '13 to Apr '13),WV10 6UH
Ministry of Justice,MoJ HQ,06-Jun-13,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1103005,"45,666.07",CCN - 2277-01 - NOP Non-WITO charges  (Feb '13 to Apr '13),WV10 6UH
Ministry of Justice,MoJ HQ,24-Jun-13,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1104559,"448,357.17",CCN 2277 - NOP WITO Charges,WV10 6UH
Ministry of Justice,MoJ HQ,24-Jun-13,265000-IT & Telecommunications,QY200-OU10 Billback,ATOS IT SERVICES UK LTD,1104559,"468,474.51",CCN 2277 - NOP WITO Charges,WV10 6UH
Ministry of Justice,MoJ HQ,20-Jun-13,223000-Other Expenditure,QY300-Fleet Car Mgmt,ALLSTAR BUSINESS SOLUTIONS LTD,1104239,"26,403.43",MoJ Lease Car Fuel Costs FY 13-14,SN5 6PS
Ministry of Justice,MoJ HQ,24-Jun-13,223000-Other Expenditure,QY300-Fleet Car Mgmt,LEX AUTOLEASE LTD,1104669,"51,884.30",Lex AutoLease - MoJ Lease Car charges FY 13-14,BL9 8RT
Ministry of Justice,MoJ HQ,13-Jun-13,223000-Other Expenditure,QZ600-CPG Other,ALLEN LANE LTD,1103650,"37,312.50",Allen Lane Managed Accounting Service (FY13-14) - Fixed Monthly Fee - May-13-Dec-13 & Variable- Time & Materials,BN11 2BW
Ministry of Justice,MoJ HQ,06-Jun-13,223000-Other Expenditure,QZ600-CPG Other,NATIONAL OFFENDERS MANAGEMENT SERVICE (NOMS),3216,"93,973.68",Reimbursement of payment in respect of MoJ P11D liability for 2011-12,NP20 9BB
Ministry of Justice,MoJ HQ,12-Jun-13,246000-Current Grants,QZ600-CPG Other,UK SUPREME COURT,3239,"300,000.00",Additional UKSC SR period funding as agreement,NP10 8ZF
Ministry of Justice,MoJ HQ,13-Jun-13,223000-Other Expenditure,QZ600-CPG Other,ALLEN LANE LTD,1103650,"733,697.00",Allen Lane Managed Accounting Service (FY13-14) - Fixed Monthly Fee - May-13-Dec-13 & Variable- Time & Materials,BN11 2BW
Ministry of Justice,MoJ HQ,06-Jun-13,223000-Other Expenditure,NZ900-Finance & Corporate Services,THE INSTITUTE FOR FISCAL STUDIES,1103246,"27,355.00",Research into Payment by Results pilot programme,WC1E 7AE
Ministry of Justice,MoJ HQ,17-Jun-13,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,3255,"98,345.00",NSI Financing Charge for Development costs,SW1V 2QX
Ministry of Justice,MoJ HQ,17-Jun-13,262000-SCA Costs,QZ500-Arms Length Bodies (CPG),NATIONAL SAVINGS & INVESTMENTS,3254,"548,674.75",Provision of Court Funds Office service for the 2012/13 Financial Year,SW1V 2QX
