Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number,,
DEFRA,RPA,27/07/2012,IT Outsourced Services,Programmes & Projects,Accenture,3003188429," £401,673.60 ",ICT Managed Services Charges,EC3M 3BD,No,64175,PPS03700 & SPSS0110,ADMIN,,,
DEFRA,RPA,27/07/2012,Supplier Contractors,Strategic Improvement Planning,Accenture,3003188564," £59,126.38 ",ICT Managed Services Charges,EC3M 3BD,No,64349,SIPRLR06,ADMIN,,,
DEFRA,RPA,18/07/2012,Outsourced scanning costs,Managed Document Services,Adare,IS1204582," £33,234.16 ",Cattle Passport Postage costs,HD8 9QQ,No,64148,MDSBCMS1,ADMIN,,,
DEFRA,RPA,27/07/2012,Downstream Access Mailing & Printing,Managed Document Services,Adare,IS1205794," £32,990.40 ",Cattle Passport Postage costs,HD8 9QQ,No,64408,"MDSBCMS1, MDSSPS01, MDSGIS01, MDSFIN01, MDSDSS01, MDSCREG1",ADMIN,,,
DEFRA,RPA,30/07/2012,Downstream Access Mailing,Managed Document Services,Adare,IS1200577," £31,670.26 ",Cattle Passport Postage costs,HD8 9QQ,No,"63854, 64166, 64422, ","MDSSPS01, MDSBCMS1, MDSSPS01, MDSCREG1, MDSGIS01, MDSFIN01,",ADMIN,,,
DEFRA,RPA,22/06/2012,Vehicles - Lease Costs,Various,Arval,1037762," £60,017.38 ",Lease vehicle costs,SN5 6PE,No,various,n/a,ADMIN,,,
DEFRA,RPA,13/07/2012,Contractor Costs,Communications,Badenoch and Clark,4261282," £29,641.22 ",Contractor Costs,W1T 5AE,No,64282,n/a,ADMIN,,,
DEFRA,RPA,26/07/2012,IT Outsourced Services,Service Management,Cable and Wireless,UK13070379/UK10/07," £33,194.98 ",Telecoms Services,RG12 1XL,No,64133,TLMS0160,ADMIN,,,
DEFRA,RPA,26/07/2012,IT Outsourced Services,Service Management,Cable and Wireless,UK13073136/UK10/07," £183,125.77 ",Telecoms Services,RG12 1XL,No,64133,COMS0130,ADMIN,,,
DEFRA,RPA,16/07/2012,IT Licences,Service Management,Computacentre,3804065566," £507,726.94 ",Symantec NetBackup Licences and Support for Period 1st April 2012 to 31st March 2013.,AL10 9TW,No,64353,OFFS0250,ADMIN,,,
DEFRA,RPA,04/07/2012,Workstream 1 Supplier Contractors,Defra Review,Deloitte & Touche,1110815913," £309,824.40 ",Professional Services provided for the Finance Development Programme (FDP),MK9 1FD,No,64373,n/a,ADMIN,,,
DEFRA,RPA,31/07/2012,Supplier Contractors,Programmes & Projects,Deloitte & Touche,2410058645," £218,462.40 ",Professional Services provided for the Future Options Programme (FOP),MK9 1FD,No,64091,FOP01000,ADMIN,,,
DEFRA,RPA,03/07/2012,IT Outsourced Services,Service Management,DSGi Business,11434222," £75,834.00 ",ICT Managed Services Charges,BL9 7BJ,No,64069,OFFS0125,ADMIN,,,
DEFRA,RPA,06/07/2012,Defra Estates -Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,35762," £42,771.13 ",Sustainable Workplace Management - North Gate House June 12,B4 6AJ,No,64261,n/a,ADMIN,,,
DEFRA,RPA,06/07/2012,Defra Estates - Depreciation/Establishment and Service Charges,Sustainable Workplace Management,DTZ,35737," £33,629.84 ",Sustainable Workplace Management - Clyst House May 12,B4 6AJ,No,64261,n/a,ADMIN,,,
DEFRA,RPA,11/07/2012,IT Licences,Service Management,Korec,254286," £34,560.00 ",Omnistar 3 Year Licence,L22 6QB,,64342,OFFS0250,ADMIN,,,
DEFRA,RPA,31/07/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353830583," £51,389.10 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,,
DEFRA,RPA,31/07/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353830984," £65,337.89 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,,
DEFRA,RPA,31/07/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353830986," £32,526.38 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,,
DEFRA,RPA,31/07/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353830987," £105,232.39 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,,
DEFRA,RPA,31/07/2012,Supplier Contractors,Programmes & Projects,Price Waterhouse Coopers,1353830988," £28,462.90 ",Fee for Future Options Programme (FOP) management workstream,E14 9SQ,No,64074,FOP01000,ADMIN,,,
DEFRA,RPA,20/07/2012,Travel,All,Redfern Travel,035603," £58,194.48 ",Travel June 2012,BD1 3AE,Yes,n/a,n/a,ADMIN,,,
DEFRA,RPA,16/07/2012,IT Outsourced Services,Programmes & Projects,Software AG,1109002476," £280,540.80 ",Single Payment Scheme (SPS) Rollover and Enhancements,DE24 8HS,No,64221,CORS0210,ADMIN,,,
DEFRA,RPA,20/06/2012,IT Outsourced Services,Programmes & Projects,Software AG,1109002575," £55,200.00 ",Single Payment Scheme (SPS) Rollover and Enhancements,DE24 8HS,No,64221,CORS0210,ADMIN,,,
DEFRA,RPA,05/07/2012,IT Licences,Programmes & Projects,Trustmarque Solutions,2173030," £111,110.40 ",Licences - Desktop Transaction Project,YO32 9WN,,64099,PPT02000,ADMIN,,,
DEFRA,RPA,05/07/2012,IT Licences,Programmes & Projects,Trustmarque Solutions,2173031," £684,781.68 ",Licences - Microsoft,YO32 9WN,,64341,TRKC0001,ADMIN,,,
