"Spend over Ł25,000 - Publication template",,,,,,,,,,,,,

Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Project Code,Expenditure Type,Contract Number,Supplier Type
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł25,000.00","LSC Secure Enclave CCN2943-02 Build - Mst 4 DR Enclave Build Completion					 -PQ105					",WV10 6UH,E145,Programme,,
Ministry of Justice,MoJ HQ,30-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,VP TREEN & ASSOCIATES,1074247,"Ł25,000.00",2 x HP Proliant ML380 High Performance Servers (with dual fibre HBA) and 1 MSA P2000 Storage Solution with 1.8TB storage. (Budget Item: Replacement of Left hand server stack with 2 x virtual servers,TW2 7PJ,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł25,202.11",CCN 1650-01 LSC (Legal Services Commission) Main Project CCN Fixed Charges,WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE IT,1293,"Ł25,218.94",Home Office IT Test Design & Consultancy Services and the Ministry of Justice Central Test Structure Memorandum of Understanding 2011-2012,NP20 9BB,0,Programme,,
Ministry of Justice,MoJ HQ,03-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,HOME OFFICE IT,1072204,"Ł25,385.64",HOIT Testing Services to deliver the stipulated FITS Programme - FITS Level 2 Test Support activities.,NP20 9BB,0,Programme,,
Ministry of Justice,MoJ HQ,12-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,HOME OFFICE IT,1294,"Ł25,407.43",HOIT - LSC Secure Enclave (MOU /02),NP20 9BB,E145,Programme,,
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł25,500.00","Bulk Printing
",CF31 9AP,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł26,160.20",CCN1486-03 - Renewal of the onsite RCJ presence (Ongoing Charges FY 11-12),WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,223000-Other Expenditure,RE999-CJG - Research & Analysis,NATIONAL CENTRE FOR SOCIAL RESEARCH (NATCEN),1072511,"Ł26,317.20","Evidence and Practice Review: Milestone 1, Evidence and Practice Review: Milestone 2, Evidence and Practice Review: Milestone 3,Evidence and Practice Review: Milestone 4.",EC1V 0AX,0,Admin,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł26,445.60",CCN A-R-3353-01 - DISC Service Improvement Programme - Call-Off Framework (One Off Cost),WV10 6UH,0,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1072482,"Ł26,778.69",01144 MOJ ME 5 year periodic testing,CIS-CM12 0BT,0,Admin,,
Ministry of Justice,MoJ HQ,05-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,M J FERGUSON LTD,1072482,"Ł26,778.69",01144 MOJ ME 5 year periodic testing,CIS-CM12 0BT,0,Admin,,
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072479,"Ł27,290.00", CCN3306-02 - Network Information Security Enhancements (NISE) Project T&M extension,CF31 9AP,E003,Programme,,
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł27,661.84","Wan/Lan Services
",WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"Ł27,665.40",Managed Service - Programme & Project Management Apr-11 to Mar-12,WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,FUJITSU SERVICES LTD,1072383,"Ł27,665.40",Managed Service - Programme & Project Management Apr-11 to Mar-12,WA3 9BD,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,ATOS IT SERVICES UK LTD,1072256,"Ł28,092.61",CCN A-R-3353-01 - DISC Service Improvement Programme - Call-Off Framework (One Off Cost),WV10 6UH,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,STERIA LTD,1072629,"Ł28,112.24","23,000xMimesweeper",M14 0WN,0,Programme
Ministry of Justice,MoJ HQ,05-Apr-12,246000-Current Grants,RB999-JPG - CJRD,DOMESTIC VIOLENCE AND ABUSE SERVICE (SOUTH AND WEST DEVON),1072356,"Ł28,273.48",Payments to voluntary sector organisations to provide specialist support to victims and witnesses of crime Victim & Witness General Fund,TQ12 1LZ,0,Grant
Ministry of Justice,MoJ HQ,05-Apr-12,223000-Other Expenditure,RE999-CJG - Research & Analysis,MARKET & OPINION RESEARCH INTERNATIONAL LTD (MORI),1072487,"Ł28,939.50",Investigative Study to inform the Freedom of Information Act Post-legislative Review (HOS/11/034) - Milestone 3 = On acceptance of Strand 3 dataset and summary report by 27th January 2012,SE1 1FY,0,Admin
Ministry of Justice,MoJ HQ,12-Apr-12,212001-Agency staff,PZ501-MoJ ICT Feeder,CAPITA RESOURCING LTD,1072843,"Ł28,957.50",CIPHERL00374 -Senior IT Programme Director (RC Programme Director),SL6 1DP,0,Admin
Ministry of Justice,MoJ HQ,05-Apr-12,532000-Tangible GBV - Additions,PZ501-MoJ ICT Feeder,KENT POLICE,1072449,"Ł29,532.98",Video Equipment for Virtual Court/Live Link installations at Magistrates Courts in Kent,ME15 9BZ,E004,Programme
Ministry of Justice,MoJ HQ,12-Apr-12,265000-IT & Telecommunications,PZ501-MoJ ICT Feeder,LOGICA UK LTD,1072946,"Ł29,559.00","EDS Hosted Sunset Apps full term ARAMIS MIS FA15
",CF31 9AP,0,Programme
Ministry of Justice,MoJ HQ,26-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1074007,"Ł29,705.08",Archway Tower Dilapidations Negotiation Fee,EH3 9QG,0,Admin
Ministry of Justice,MoJ HQ,26-Apr-12,222001-Maintenance,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1074007,"Ł29,705.08",Archway Tower Dilapidations Negotiation Fee,EH3 9QG,0,Admin
