2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: July 2010,,,,,,,

Department Family,Entity,Date,OGC Master Category,Project Code,Supplier,Transaction Number,Amount
Dept. for Education,QCDA,26/07/2010,Professional Services Learning & Development,General Qualifications Programme,AlphaPlus Consultancy Ltd,PBAC/00129582,"£158,819.00"
Dept. for Education,QCDA,26/07/2010,Professional Services Learning & Development,General Qualifications Programme,AlphaPlus Consultancy Ltd,POCRDT/00000461,"-£32,110.41"
Dept. for Education,QCDA,07/07/2010,Marketing & Media,Diploma Programme,Amor Business Technology Solutions Ltd,PBAC/00129327,"£344,756.29"
Dept. for Education,QCDA,26/07/2010,Marketing & Media,Diploma Programme,Amor Business Technology Solutions Ltd,PBAC/00129606,"£44,717.29"
Dept. for Education,QCDA,26/07/2010,Marketing & Media,Diploma Programme,Amor Business Technology Solutions Ltd,PCREDT/00000791,"-£40,020.00"
Dept. for Education,QCDA,26/07/2010,Marketing & Media,Diploma Programme,Amor Business Technology Solutions Ltd,POCRDT/00000423,"-£25,992.30"
Dept. for Education,QCDA,26/07/2010,ICT,Corporate Support,British Telecommunication Plc Telephone,PBAC/00129571,"£36,158.49"
Dept. for Education,QCDA,07/07/2010,N/A,Corporate Support,Civil Superannuation Vote,PRFT/00001465,"£543,259.01"
Dept. for Education,QCDA,30/07/2010,N/A,Corporate Support,Civil Superannuation Vote,PRFT/00001474,"£416,518.94"
Dept. for Education,QCDA,07/07/2010,Office Solutions,Test Delivery Operations Programme,COI Communications,PRFT/00001466,"£1,148,648.80"
Dept. for Education,QCDA,30/07/2010,Office Solutions,Test Delivery Operations Programme,COI Communications,PRFT/00001475,"£189,588.24"
Dept. for Education,QCDA,14/07/2010,Office Solutions,Test Delivery Operations Programme,COI Communications,PRFT/00001468,"£105,982.92"
Dept. for Education,QCDA,07/07/2010,N/A,Corporate Support,Contributions Agency,PRFT/00001464,"£394,373.19"
Dept. for Education,QCDA,30/07/2010,N/A,Corporate Support,Contributions Agency,PRFT/00001473,"£291,448.46"
