Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,29/01/2016,IT and communication services,JFC,OFFICE OF COMMUNICATIONS (OFCOM),SE1 9HA,96103,Line + telephone rental including commercial charge for use of radio frequencies,"£30,475,000.00"
Ministry of Defence,Ministry of Defence,25/01/2016,Development costs for military equipment,Defence Equipment + Support,BAE SYSTEMS SURFACE SHIPS LIMITED,GU14 6YU,93473,Intangible single use military equipment asset  - in year capital addition,"£16,971,843.62"
Ministry of Defence,Ministry of Defence,12/01/2016,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,90445,Utilities consumed - electricity,"£11,029,155.09"
Ministry of Defence,Ministry of Defence,15/01/2016,Design services and minor equipment purchases,Defence Equipment + Support,BABCOCK DSG LTD,SP11 8HT,91712,Equipment support non-project costs,"£10,660,414.06"
Ministry of Defence,Ministry of Defence,27/01/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,BUNDESKASSE HALLE,,6000010759,Works - estate management,"£9,810,089.86"
Ministry of Defence,Ministry of Defence,27/01/2016,Design services and minor equipment purchases,Defence Equipment + Support,"LEIDOS EUROPE, LIMITED",CB25 9QE,94795,Equipment support non-project costs,"£8,110,433.59"
Ministry of Defence,Ministry of Defence,26/01/2016,Fees for professional services,HO+CS,CSC COMPUTER SCIENCES LIMITED.,GU11 1PZ,94155,Fees for professional services excluding legal fees,"£7,594,365.94"
Ministry of Defence,Ministry of Defence,15/01/2016,Payment of utilities,DEFENCE INFRASTRUCTURE ORGANISATION,CORONA ENERGY RETAIL 4 LIMITED,WD17 1JW,91789,Utilities consumed - gas,"£6,461,703.01"
Ministry of Defence,Ministry of Defence,12/01/2016,Property leases,DEFENCE INFRASTRUCTURE ORGANISATION,RMPA SERVICES PLC,CO2 7ST,90640,Property dwellings private finance initiative - service concession arrangement service charge,"£6,277,905.52"
Ministry of Defence,Ministry of Defence,27/01/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,CARILLIONAMEY (HOUSING PRIME) LIMITED,WV3 0SR,94601,Estate core services charge,"£5,919,442.30"
Ministry of Defence,Ministry of Defence,25/01/2016,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,93648,Estate + facilities management services - accommodation inventory + service,"£5,274,242.11"
Ministry of Defence,Ministry of Defence,26/01/2016,Development costs for military equipment,Defence Equipment + Support,AGUSTAWESTLAND LIMITED,BA20 2YB,94056,Intangible fiscal asset  - in year capital addition,"£5,227,500.00"
Ministry of Defence,Ministry of Defence,25/01/2016,Estate management,DEFENCE INFRASTRUCTURE ORGANISATION,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,93688,Estate core services charge,"£5,098,797.25"
Ministry of Defence,Ministry of Defence,25/01/2016,Purchase of buildings and military equipment ,Defence Equipment + Support,BALFOUR BEATTY GROUP LIMITED,SW1V 1LQ,93476,Fiscal asset under construction - capital in year addition,"£4,965,021.60"
