"Invoices by Value with PO Details   Report Name : DH-AP-010-Invoices by Value  Parameter : GL Date Start : '01/12/2014' , GL Date End : '31/12/2014' , Min Invoice Amount : '25000' , Max Invoice Amount : 'ALL' , Include Recoverable VAT : 'N'                       Date : 05/01/2015 10.41.54 AM",,,,,,,,,,,,,
,,,,,,,,,,,,,
Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/12/2014,Service charge,DG: IGT,CSC COMPUTER SCIENCES LTD,5201392204,"6,989,422.58",Revenue: LSP NME CSC - F/Y 2014/15 Non Lorenzo Service Charge Revenue requirements (committed costs only),PR1 8UQ,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Service charge,DG: IGT,BT GROUP PLC,372309,"3,552,475.00",Revenue: London LSP 14/15,NW9 6LB,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Outsourcing Contract,DG: SFNHS,AIRWAVE SOLUTIONS INTERNATIONAL LTD,0900000137-399,"2,784,134.27",April 14 - March 15 Core Service Charges,SL1 2EJ,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Service charge,DG: IGT,BT GROUP PLC,372300,"2,452,960.41",Revenue: LSP South 14/15,NW9 6LB,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011570,"2,296,235.00",CPA for ESR - FY14/15 Service Charges inc Profit Share,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584172596,"1,762,551.34",October 2014 IMS3 Open Service charges,WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,01/12/2014,Service charge,DG: IGT,EGTON MEDICAL INFORMATION SYSTEMS LTD,IN85580-1,"1,702,400.00",Revenue: Microtest GPSoC - Revenue Charges . System Support Charges. Training Charges. Hosting Service Charges. Utilisation Charges,LS19 7BY,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Service charge,DG: IGT,EGTON MEDICAL INFORMATION SYSTEMS LTD,IN85407-1,"1,676,191.08",Revenue: Microtest GPSoC - Revenue Charges. System Support Charges. Training Charges. Hosting Service Charges. Utilisation Charges,LS19 7BY,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Service charge,DG: IGT,BT GROUP PLC,369415,"1,536,650.45",Revenue: BT Spine - Committed 2014/15,NW9 5BA,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Outsourcing Contract,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584174621,"1,513,599.76",IMS3 Open Service charges,NW1 3HG,LARGE,,,Admin
Department of Health,Department of Health,01/12/2014,Addition Clearing - SW LIC,DG: IGT,CSC COMPUTER SCIENCES LTD,5201388826,"1,270,011.97",Capital: F/Y 2014/15 LSP NME CSC - New Non - Lorenzo Deployment Capital Cash Requirements,PR1 8UQ,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Service charge,DG: IGT,CABLE AND WIRELESS COMMUNICATION (VODAFONE),448820,"1,132,200.00",NHS Mail 2: revenue core contract,RG12 1RW,LARGE,,,Programme
Department of Health,Department of Health,22/12/2014,Service charge,DG: IGT,CABLE AND WIRELESS COMMUNICATION (VODAFONE),449619,"1,132,200.00",NHS Mail 2: revenue core contract,RG12 1RW,LARGE,,,Programme
Department of Health,Department of Health,15/12/2014,Service charge,DG: IGT,BT GROUP PLC,372302,"1,032,587.89",Revenue: LSP South 14/15,NW9 6LB,LARGE,,,Programme
Department of Health,Department of Health,22/12/2014,Service charge,DG: IGT,BT GROUP PLC,372311,"986,586.19",Revenue: London LSP 14/15,NW9 6LB,LARGE,,,Programme
Department of Health,Department of Health,01/12/2014,Outsourcing Contract,DG: RDD,LGC LTD,50364943,"958,709.98",Central Commissioning Function,TW11 0LY,LARGE,,,Programme
Department of Health,Department of Health,08/12/2014,Consultancy/Professional Advice,DG: SCLGCP,PA CONSULTING SERVICES LTD,10106464,"954,225.60",BCF Lot3 - Regional Coordination 7 delivery (London) - Better Care Plan Task Plan Improvement  - Improving Plans (ITT59460),SW1W 9SR,LARGE,,,Programme
Department of Health,Department of Health,12/12/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17667,"4,862,006,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,01/12/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17666,"4,016,695,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,01/12/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-17659,"300,000,000.00",,LS1 4PL,PUBLIC,,,Other
Department of Health,Department of Health,01/12/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-17669,"65,000,000.00",,SP4 0JG,PUBLIC,,,Other
Department of Health,Department of Health,22/12/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,BARTS HEALTH NHS TRUST,HAFS-17689,"25,000,000.00",,E1 8PR,PUBLIC,,,Other
Department of Health,Department of Health,22/12/2014,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,MOORFIELDS EYE HOSPITAL NHS FOUNDATION TRUST,HAFS-17671,"23,750,000.00",,EC1V 2PD,PUBLIC,,,Other
Department of Health,Department of Health,22/12/2014,Additions Other loans,DG: SFNHS,COMMUNITY HEALTH PARTNERSHIPS (CHP),BK TRANSFER22/12/14,"20,000,000.00",,SE1 9BW,PUBLIC,,,Programme
Department of Health,Department of Health,22/12/2014,Additions NHS FTs Working Capital Loans,DG: Holding CT Core,CENTRAL MANCHESTER UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,HAFS-17723,"19,600,000.00",,M13 0JR,PUBLIC,,,Other
Department of Health,Department of Health,15/12/2014,Additions PDC Revenue Support NHS T Temporary,DG: Holding CT Core,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,HAFS-17806,"17,000,000.00",,LE5 4QF,PUBLIC,,,Other
Department of Health,Department of Health,15/12/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-17658,"15,000,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,01/12/2014,Additions FT Financing Facility Loans,DG: Holding CT Core,GUYS AND ST THOMAS NHS FOUNDATION TRUST,HAFS-17706,"13,101,000.00",,SE1 9RT,PUBLIC,,,Other
