Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,01/10/2014,Secondees in invoiced costs,DG: IGT,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12668075,0.00,HSCIC:  Secondment costs from October till March 2014,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/10/2014,Secondees in invoiced costs,DG: IGT,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,12668075,"45,301.25",Secondee costs1st April 2014 to 31st August 2014,WF3 1WE,PUBLIC,,,Admin
Department of Health,Department of Health,01/10/2014,Professional fees,DG: SCLGCP,PGO FOREIGN CURRENCY PAYMENTS,2744001587707984,"165,711.00",,RH10 1UH,PUBLIC,,,Programme
Department of Health,Department of Health,01/10/2014,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4676001-07-OCT-14,"34,837.23",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,01/10/2014,Addition Clearing - IT,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584167838,"32,043.00","Wellington House - Ground Floor, 7th Floor and 7th Flr PM Support and Relocation- ICT Cabling -Ref:WR313-03 (PO:516775)",WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,01/10/2014,Addition Clearing - IT,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584167840,"18,148.80",Wellington House - 1x Video Conferencing Unit - Ground Floor - Ref:WR313-02,WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,01/10/2014,Addition Clearing - IT,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584167840,"56,216.40",Wellington House - 3x Video Conferencing Units - 7th Floor - Ref:WR313-02,WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,01/10/2014,Addition Clearing - IT,DG: GOAD,ATOS IT SOLUTIONS AND SERVICES LTD,5584167840,"10,795.85","Wellington House - Ground Floor, 7th Floor and 7th Flr PM Support and Relocation- ICT Cabling -Ref:WR313-03 (PO:516775)",WS11 0JA,LARGE,,,Admin
Department of Health,Department of Health,01/10/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-17421,"10,000,000.00",,WF3 1WE,PUBLIC,,,Other
Department of Health,Department of Health,01/10/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-17422,"505,000,000.00",,LS1 4PL,PUBLIC,,,Other
Department of Health,Department of Health,01/10/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,HEALTH RESEARCH AUTHORITY,HAFS-17423,"1,000,000.00",,SE1 6LH,PUBLIC,,,Other
Department of Health,Department of Health,01/10/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-17424,"4,000,000.00",,,PUBLIC,,,Other
Department of Health,Department of Health,01/10/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-17425,"5,000,000.00",,SE1 7NT,PUBLIC,,,Other
Department of Health,Department of Health,01/10/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-17426,"10,000,000.00",,NE1 6SN,PUBLIC,,,Other
Department of Health,Department of Health,01/10/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17427,"3,886,317,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,01/10/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-17428,"4,829,192,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,01/10/2014,CASH FUNDING Rev Inside RAB,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-17429,"763,725,000.00",,SP4 0JG,PUBLIC,,,Other
Department of Health,Department of Health,01/10/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011155,"25,105.32",CPA for DH ESR Contract - ESR Monthly Service Charges FY13-14 see DH/McKesson HR and Payroll Contract Ref 2222,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/10/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011156,"33,120.63",CPA for ESR - FY14/15 Service Charges inc Profit Share,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/10/2014,Addition Clearing - IT,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011310,"42,387.48",CPA for ESR Contract - FY14/15 Capital drawdown & Pipeline development,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/10/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011310,"10,739.41",CPA for ESR Contract - FY14/15 Capital drawdown & Pipeline development,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/10/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011313,"70,831.64",CPA for ESR Contract - CCN 126 NHS Payslip Printing & Delivery Charges FY14/15,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/10/2014,Outsourcing Contract,DG: ERD,MCKESSON INFORMATION SOLUTIONS UK LTD,INV011314,"2,296,235.00",CPA for ESR - FY14/15 Service Charges inc Profit Share,CV34 6NZ,LARGE,,,Programme
Department of Health,Department of Health,01/10/2014,Other creditors (ST),DG: Holding CT Core,Britannia Pharmaceuticals Ltd,RETURNED PPRS PAYMENT,"113,000.00",,RG14 1JN,LARGE,,,Other
Department of Health,Department of Health,02/10/2014,Research & development,DG: RDD,SOUTHAMPTON UNIVERSITY OF,44152808,"3,610,203.20",NETS-CC Management,SO17 1BJ,PUBLIC,,,Programme
Department of Health,Department of Health,02/10/2014,Expense clearing GPC (ST),DG: Holding CT Core,BARCLAYCARD BUSINESS,4676001-07-OCT-14,"1,485.17",,TS17 6YG,SME,,,Other
Department of Health,Department of Health,02/10/2014,Rent of Land & Buildings (non-PFI operating lease),DG: GOAD,SAVILLS COMMERCIAL LTD,DS1011-050787OCT-DEC2014,"108,750.00","Blenheim House - Annual Rental FY2014 - 2015 (Part Ground, 1st & 2nd Floors) ",M2 2FE,LARGE,,,Other
Department of Health,Department of Health,02/10/2014,Service charge,DG: GOAD,SAVILLS COMMERCIAL LTD,DS1011-050787OCT-DEC2014,"39,510.10","Blenheim House - Annual Service Charge FY2014 - 2015 (Part Ground, 1st & 2nd Floors) ",M2 2FE,LARGE,,,Other
Department of Health,Department of Health,02/10/2014,Research & development,DG: RDD,LEICESTER UNIVERSITY OF,ERS-526492-93788.,"19,779.00",NIHR Fellowships,LE1 7RH,PUBLIC,,,Programme
