Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,26/10/2015,Purchase of inventory and services ,DEFENCE INFRASTRUCTURE ORGANISATION,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,66892,Cost of other material consumed,Ł148.99
Ministry of Defence,Ministry of Defence,14/10/2015,Estate management,Air Command,ARAMARK LTD,LS16 6QY,63064,Estate + facilities management services - accommodation inventory + service,Ł148.81
Ministry of Defence,Ministry of Defence,08/10/2015,Design services and minor equipment purchases,Land Forces,MARSHALL OF CAMBRIDGE AEROSPACE LIMITED,CB5 8RX,61502,Equipment support non-project costs,Ł147.60
Ministry of Defence,Ministry of Defence,15/10/2015,Food and clothing,Land Forces,ARAMARK LTD,LS16 6QY,63501,Cost of food services,Ł147.42
Ministry of Defence,Ministry of Defence,30/10/2015,Food and clothing,Land Forces,THE ROYAL BANK OF SCOTLAND PLC,EC2M 4RB,10026,Cost of purchasing and repairing clothing,Ł144.96
Ministry of Defence,Ministry of Defence,08/10/2015,Transport hire charges,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000685,Transport other hire charge,Ł144.83
Ministry of Defence,Ministry of Defence,05/10/2015,"Transportation of personnel, freight and travel expenses",Land Forces,RAIL SETTLEMENT PLAN LIMITED,SG1 2YN,60459,Civilian short term detached duty,Ł144.50
Ministry of Defence,Ministry of Defence,20/10/2015,IT and communication services,Navy Command,SOFTWARE BOX LIMITED,YO61 1ET,65187,Computer equipment costing below the capitalisation threshold,Ł143.25
Ministry of Defence,Ministry of Defence,29/10/2015,IT and communication services,Land Forces,SOFTCAT LIMITED,SL7 1TB,68499,Telephone minor equipment below capitalisation threshold,Ł143.14
Ministry of Defence,Ministry of Defence,23/10/2015,IT and communication services,DES Bespoke Trading Entity,SOFTWARE BOX LIMITED,YO61 1ET,66773,Computer equipment costing below the capitalisation threshold,Ł140.94
Ministry of Defence,Ministry of Defence,22/10/2015,Purchase of inventory and services ,Air Command,CENTERPRISE INTERNATIONAL LTD,RG24 8GQ,65916,Cost of other material consumed,Ł140.88
Ministry of Defence,Ministry of Defence,02/10/2015,Purchase of inventory and services ,Land Forces,SOFTWARE BOX LIMITED,YO61 1ET,59974,Cost of other material consumed,Ł139.68
Ministry of Defence,Ministry of Defence,06/10/2015,IT and communication services,DES Bespoke Trading Entity,SOFTWARE BOX LIMITED,YO61 1ET,60832,Computer equipment costing below the capitalisation threshold,Ł139.68
Ministry of Defence,Ministry of Defence,19/10/2015,General services and support,Navy Command,INDUSTRIAL MAINTENANCE SERVICES LIMITED,PO3 5FL,64659,Purchase of defence support equipment below capitalisation threshold of Ł25k.,Ł139.00
Ministry of Defence,Ministry of Defence,30/10/2015,Purchase of inventory and services ,Defence Equipment + Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,68602,Cost of other material consumed,Ł138.36
Ministry of Defence,Ministry of Defence,21/10/2015,IT and communication services,Land Forces,AKHTER COMPUTERS PUBLIC LIMITED COMPANY,CM18 7PN,65262,Computer equipment costing below the capitalisation threshold,Ł138.29
Ministry of Defence,Ministry of Defence,27/10/2015,IT and communication services,Land Forces,CAPITA SECURE INFORMATION SOLUTIONS LIMITED,DL1 9HN,67412,Telephone minor equipment below capitalisation threshold,Ł137.96
Ministry of Defence,Ministry of Defence,29/10/2015,Design services and minor equipment purchases,Defence Equipment + Support,ASPIRE DEFENCE LIMITED,SP9 7QD,68270,Post design services which are not capitalised,Ł136.69
Ministry of Defence,Ministry of Defence,12/10/2015,Purchase of inventory and services ,Defence Equipment + Support,BANNER BUSINESS SERVICES LIMITED,NR3 1PD,62199,Cost of other material consumed,Ł136.22
Ministry of Defence,Ministry of Defence,06/10/2015,Food and clothing,Defence Equipment + Support,YAKUPOGLU A.S.,BD19 3QF,60878,Cost of purchasing and repairing clothing,Ł135.01
Ministry of Defence,Ministry of Defence,29/10/2015,Purchase of inventory and services ,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000777,Cost of other material consumed,Ł134.94
Ministry of Defence,Ministry of Defence,19/10/2015,"Transportation of personnel, freight and travel expenses",Land Forces,SODEXO LTD,M50 0AL,64835,Military short term detached duty,Ł134.35
Ministry of Defence,Ministry of Defence,02/10/2015,Estate management,Land Forces,CARILLIONAMEY LIMITED,WV1 4HY,59687,Estate core services charge,Ł133.80
Ministry of Defence,Ministry of Defence,09/10/2015,Administration,HO+CS,FOREIGN & COMMONWEALTH OFFICE,MK10 1PX,300000693,General administration,Ł133.79
Ministry of Defence,Ministry of Defence,05/10/2015,Spend on Inventory - General,Air Command,CARWOOD MOTOR UNITS LTD,CV3 2RQ,60195,Spend on Inventory - General,Ł133.01
Ministry of Defence,Ministry of Defence,20/10/2015,Food and clothing,Defence Equipment + Support,ELIOR UK PLC,SK11 6ET,65022,Cost of food purchases,Ł130.65
