Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,ACTION FOR CHILDREN,4000064057,23776.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,AUTISM INITIATIVES,4000063228,5839,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Supporting Children and Young People Group 2,BIG LOTTERY FUND,4000064010,21669789,"Capital grant paid to third sector / not for profit organisation.
Specifically for the MyPlace capital programme.",VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BIRTENSHAW HALL SCHOOL,4000063230,4506.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRANTRIDGE SCHOOL,4000063233,5113.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRECKENBROUGH SCHOOL,4000063234,5147.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CALDECOTT FOUNDATION,4000064066,5586.25,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CHAIGLEY SCHOOL,4000063237,5788.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CHAILEY HERITAGE SCHOOL,4000064072,6362.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,DAME HANNAH ROGERS SCHOOL,4000063239,4945,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,DAVID LEWIS SCHOOL,4000064076,5383.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,DAWN HOUSE SCHOOL,4000063591,21463.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,DONCASTER SCHOOL FOR DEAF,4000064082,4573.75,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,DORTON HOUSE SCHOOL,4000063593,4877.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,EXETER ROYAL ACADEMY FOR DEAF EDUCATION,4000063242,7526.8,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,13/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,GRAFHAM GRANGE SPECIAL EDUCATION TRUST,4000063245,5215,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",VCS
Department for Education,DEPARTMENT FOR EDUCATION,25/10/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,HAMILTON LODGE SCHOOL FOR DEAF CHILDREN,4000064090,6227.5,"Capital grant paid to a private sector organisation.
Annual Capital Grant payment to Non-Maintained Special Schools",Public Sector
