Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Category,Sub-Category,Micro-Category,SME?,Sector
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£2,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,07-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023462203,"£1,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£2,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£20,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£20,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£4,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,08-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023521581,"£2,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,06-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023451887,"£12,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,08-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023521581,"£8,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,08-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023521581,"£6,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,08-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023521581,"£4,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,07-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023462203,"£4,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,07-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023462203,-£400,Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£12,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£3,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£44,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£6,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£50,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£7,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,01-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023436475,"£10,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£6,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,01-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023436475,"£1,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£5,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£4,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£4,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£12,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,01-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023436475,"£7,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£6,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£2,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£11,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,01-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023436475,"£4,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£6,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,£800,Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,"£7,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,£400,Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,"£6,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,"£10,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,15-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023606302,"£6,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,15-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023606302,"£5,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,15-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023606302,"£2,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,15-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023606302,"£4,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,12-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023530338,"£9,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,12-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023530338,"£5,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,12-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023530338,-£400,Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,12-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023530338,"£3,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,16-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023611578,"£23,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,16-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023611578,"£5,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,16-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023611578,"£6,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£8,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£4,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£2,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,02-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023442712,"£3,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,21-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023632341,"£11,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£10,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£15,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£23,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£11,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,20-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023621691,"£3,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,21-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023632341,"£4,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,21-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023632341,"£7,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,22-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023695789,"£14,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,20-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023621691,"£2,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,20-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023621691,"£4,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,21-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023632341,"£11,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,20-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023621691,"£1,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,20-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023621691,"£7,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,21-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023632341,"£13,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£37,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£11,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£69,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£72,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,23-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023706813,"£4,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,01-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023436475,"£11,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£4,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£10,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£23,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£5,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,29-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023772211,"£18,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£19,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,01-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023436475,"£19,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,01-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023436475,"£4,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£10,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£25,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£12,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,28-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023767374,"£15,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,01-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023436475,"£10,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,"£22,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,"£25,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,"£1,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,"£5,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,14-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023543926,"£2,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,15-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023606302,"£2,800",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,15-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023606302,"£6,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,15-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023606302,"£15,200",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,15-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023606302,"£5,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,15-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023606302,"£2,000",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,12-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023530338,"£21,600",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,12-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023530338,"£8,400",Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
Department for Work and Pensions,Employment Programmes,12-Dec-11,EP PROVIDER PAYMENT - WORK PROGRAMME,COO,A4E LTD,2023530338,£800,Welfare to Work,Client Facing,Contracted Employment Provision,NO,Private
