2011 CMIR 7 - TRANSPARENCY REPORT,,,,,,,
Month: December 2011,,,,,,,
,,,,,,,
Dept.,Entity,Date,OGC Master Category,Project code,Supplier,Transaction Number, Payment Value 
Dept. for Education,QCDA,14/12/2011,N/A,Corporate Services,Civil Superannuation Vote,PRFT/00001572,98143.59
Dept. for Education,QCDA,21/12/2011,N/A,Corporate Services,Civil Superannuation Vote,PRFT/00001575,58275.89
Dept. for Education,QCDA,14/12/2011,N/A,Corporate Services,Contributions Agency,PRFT/00001571,93062.99
Dept. for Education,QCDA,21/12/2011,N/A,Corporate Services,Contributions Agency,PRFT/00001574,49387.06
Dept. for Education,QCDA,14/12/2011,N/A,Corporate Services,Inland Revenue Only,PRFT/00001570,153124.28
Dept. for Education,QCDA,21/12/2011,N/A,Corporate Services,Inland Revenue Only,PRFT/00001573,115499.63
Dept. for Education,QCDA,21/12/2011,Professional Services Other,Corporate Services,LINKLATERS,PBAC/00135824,44128.96
Dept. for Education,QCDA,14/12/2011,Facilities,Corporate Services,MCD (Coventry) Ltd,PBAC/00135800,396990.30
Dept. for Education,QCDA,14/12/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00135783,140980.82
Dept. for Education,QCDA,21/12/2011,Professional Services Temporary Staff,Corporate Services,PENNA PLC,PBAC/00135816,56188.02
Dept. for Education,QCDA,21/12/2011,Facilities,Corporate Services,SGP Property & Facilities Management Ltd,PBAC/00135825,88964.23
Dept. for Education,QCDA,14/12/2011,ICT,Corporate Services,Steria Services Ltd ,PBAC/00135786,85530.00
,,,,,,,
There was no spend under QCDAe,,,,,,,
