Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description
Cabinet Office,Cabinet Office,01/06/2010,Supplies and Services,PRIME MINISTER'S OFFICE,COI CENTRAL OFFICE OF INFORMATION,3000010418,"64,996.92",News subscription
Cabinet Office,Cabinet Office,01/06/2010,Accomodation and Utilities,PRIME MINISTER'S OFFICE,ECOVERT FM LTD,3000010419,"29,632.28",Building renovation
Cabinet Office,Cabinet Office,02/06/2010,Supplies and Services,PRIME MINISTER'S OFFICE,COI CENTRAL OFFICE OF INFORMATION,3000010439,"32,500.00",News subscription
Cabinet Office,Cabinet Office,02/06/2010,Grants-in-Aid to NDPB's,ERG - OFFICE FOR CIVIL SOCIETY,CAPACITY BUILDERS UK LTD,3000010437,"200,000.00",Grant-in-aid payment to Capacitybuilders
Cabinet Office,Cabinet Office,02/06/2010,Hire of Plant and Machines Memorandum Accounts,IT AND TELECOMS BRANCH,FUJITSU SERVICES LTD,3000010445,"53,783.51",Fujitsu (Flex) Outsourced IT service contract 
Cabinet Office,Buying Solutions,02/06/2010,MOTO Charges RC,Estates Management,HM TREASURY,PINDOH 29729,"124,360.82",Rent
Cabinet Office,Buying Solutions,02/06/2010,General Rates,Estates Management,LIVERPOOL CITY COUNC,PINDOH 29766,"170,775.00",Rates for Royal Liver Building
Cabinet Office,Cabinet Office,07/06/2010,Supplies and Services,ESTATE MANAGEMENT,BARCLAYCARD BANK PLC,3000010492,"77,740.14",Barclay Card lodge charges April 2010
Cabinet Office,Cabinet Office,07/06/2010,Accommodation and Utilities,PRIME MINISTERS OFFICE,ECOVERT FM LTD,3000010494,"37,808.14",Facilities management 
Cabinet Office,Cabinet Office,07/06/2010,IT Costs,PARLIAMENTARY COUNSEL OFFICE,MEKON LTD,3000010500,"65,913.00",Support and Maintenance of frame Marker Drafting of software
Cabinet Office,Buying Solutions,07/06/2010,Peripherals,Network Services,GLOBAL CROSSING,PINMTS 17590,"162,764.37",Government Managed Telecoms Contract
