Department family,Entity,Date,Expense Type,Expense area,Supplier,Transation number,Amount,Narrative
Department for Culture Media and Sport,Department for Culture Media and Sport,13/04/2011,Reimbursement of Agreed Costs,GOE managed programme costs,Advantage West Midlands,0030022042,"40,000.00",Grant Contribution
Department for Culture Media and Sport,Department for Culture Media and Sport,16/11/2011,Reimbursement of Agreed Costs,GOE managed programme costs,Advantage West Midlands,0030024309,"36,572.00",Grant Contribution
Department for Culture Media and Sport,Department for Culture Media and Sport,22/06/2011,Office Accommodation Rent,Estates & Property Services,AMAS Ltd C/O Jones Lang Lasalle,0030022447,"1,205,250.00",Rent
Department for Culture Media and Sport,Department for Culture Media and Sport,23/09/2011,Office Accommodation Rent,Estates & Property Services,AMAS Ltd C/O Jones Lang Lasalle,0030023474,"1,206,750.00",Rent
Department for Culture Media and Sport,Department for Culture Media and Sport,21/12/2011,Office Accommodation Rent,Estates & Property Services,AMAS Ltd C/O Jones Lang Lasalle,0030024344,"1,206,750.00",Rent
Department for Culture Media and Sport,Department for Culture Media and Sport,16/12/2011,Office Accommodation Rent,Estates & Property Services,AMAS Ltd C/O Jones Lang Lasalle,0030024632,"42,532.17",Insurance 
Department for Culture Media and Sport,Department for Culture Media and Sport,20/03/2012,Office Accommodation Rent,Estates & Property Services,AMAS Ltd C/O Jones Lang Lasalle,0030025438,"1,206,750.00",Rent
Department for Culture Media and Sport,Department for Culture Media and Sport,05/08/2011,Temp staff Interim managers,Broadband Delivery UK (Admin),Analysys Mason Ltd,0030023238,"67,920.00",Data Modelling
Department for Culture Media and Sport,Department for Culture Media and Sport,18/05/2011,VAT Recoverable Business Activ,Misc Balance Sheet,Arena Structures,0030022388,"10,563.81",Installation of Media Management
Department for Culture Media and Sport,Department for Culture Media and Sport,18/05/2011,VAT Recoverable Business Activ,Misc Balance Sheet,Arena Structures,0030022389,"16,943.70",VAT re Camera Platforms
Department for Culture Media and Sport,Department for Culture Media and Sport,27/06/2011,VAT Recoverable Business Activ,Misc Balance Sheet,Arena Structures,0030022797,"17,286.18",VAT re Media Village 
Department for Culture Media and Sport,Department for Culture Media and Sport,01/07/2011,VAT Recoverable Business Activ,Misc Balance Sheet,Arena Structures,0030022843,"23,771.42",VAT re Media Stands 
Department for Culture Media and Sport,Department for Culture Media and Sport,18/05/2011,Ceremonial Event Costs,State Ceremonials Prog Costs,Arena Structures,0030022389,"84,718.50",Camera Platforms 
Department for Culture Media and Sport,Department for Culture Media and Sport,01/07/2011,Ceremonial Event Costs,State Ceremonials Prog Costs,Arena Structures,0030022843,"118,857.12",Media Stands
Department for Culture Media and Sport,Department for Culture Media and Sport,30/06/2011,Ceremonials - Other Costs,State Ceremonials Prog Costs,Arena Structures,0030022838,"21,017.30",Media Stands & Waste Management re State Visit 2011
Department for Culture Media and Sport,Department for Culture Media and Sport,20/10/2011,Ceremonials - Other Costs,State Ceremonials Prog Costs,Arena Structures,0030023990,"53,333.33","Hire, Storage of Pavillions re State Visit 2011"
Department for Culture Media and Sport,Department for Culture Media and Sport,14/12/2011,Ceremonials - Other Costs,State Ceremonials Prog Costs,Arena Structures,0030024642,"34,252.50",Hire of Tentage for State Visit 
Department for Culture Media and Sport,Department for Culture Media and Sport,14/12/2011,Ceremonials - Other Costs,State Ceremonials Prog Costs,Arena Structures,0030024643,"79,922.50",Hire of Tentage for State Visit 
Department for Culture Media and Sport,Department for Culture Media and Sport,18/05/2011,Host Management Services,State Ceremonials Prog Costs,Arena Structures,0030022388,"52,819.06","Supply, Install & dismantle Media Management"
Department for Culture Media and Sport,Department for Culture Media and Sport,27/06/2011,Host Management Services,State Ceremonials Prog Costs,Arena Structures,0030022797,"86,430.90",Media Village
