Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,VAT Registration No
Defra,Royal Botanic Gardens Kew,01-Feb-12,Electricity                   ,Estates Kew ENERGY Core -----,EDF Energy Customers plc,MS0202347,40951.22,Electricity supply (Half Hourly) to Kew for financial year 2011-12.,,,,,,
Defra,Royal Botanic Gardens Kew,07-Feb-12,Gas                           ,Estates Kew ENERGY Core -----,CORONA ENERGY RETAIL 4 LIMITED,MS0202369,32699.26,Gas supply (Gas - Natural) to Kew for financial year 2011-12,,,,,,
Defra,Royal Botanic Gardens Kew,07-Feb-12,New works-Pt II-other costs   ,"Estates Kew ENERGY Core  Energy Cons Measures, PH1",Cofely Ltd,MS0202371,229409.00,"Energy conservation measures-enhancement of sub metering network, LED lighting and voltage optimisation of Millenium Seed Bank",,,,,,
Defra,Royal Botanic Gardens Kew,07-Feb-12,Statutory compliance ,Estates Kew Section Core DDA remedial works,Norland Managed Services Ltd,MS0202377,40000.00,Supply and install a Disability Discrimintation Act (DDA) compliant toilet,,,,,,
Defra,Royal Botanic Gardens Kew,07-Feb-12,New works-Pt II-other costs   ,Estates Kew Section Core -----,Turner & Townsend Project Management Ltd,MS0202379,35130.00,Professional Project Support-Extra Person,,,,,,
Defra,Royal Botanic Gardens Kew,07-Feb-12,New works-Pt II-other costs   ,Estates Kew Section Core Provsion of MP PM Services PH2,Turner & Townsend Project Management Ltd,MS0202379,3800.00,Minor Capital budget Project support extension - November to January,,,,,,
Defra,Royal Botanic Gardens Kew,07-Feb-12,Statutory compliance ,Estates Kew Section Core Lightening Protect Rmdial11-12,Norland Managed Services Ltd,MS0202485,49635.50,Essential part 2 works due to lightning strike,,,,,,
Defra,Royal Botanic Gardens Kew,07-Feb-12,New works-Pt II-other costs   ,Estates Kew Section Capital Herbarium CMU Improvemts 11-12,Norland Managed Services Ltd,MS0202487,22652.34,"Herbarium collection management unit, new wall build and associated Mechanical and Electrical alterations",,,,,,
Defra,Royal Botanic Gardens Kew,14-Feb-12,Office and window cleaning,Estates Kew Support Services Capital -----,Design Clean Limited,MS0202619,35106.37,"Provide cleaning for Kew, including window cleans, for the period April 2011-March 2012.",,,,,,
Defra,Royal Botanic Gardens Kew,28-Feb-12,Statutory compliance ,Estates Kew Section Capital Electricity At Work Regs 11-12,Norland Managed Services Ltd,MS0202626,25567.10,Banks Building-fixed wiring works,,,,,,
Defra,Royal Botanic Gardens Kew,14-Feb-12,New works-Pt II-other costs   ,"Estates Kew ENERGY Capital  Energy Cons Measures, PH1",Cofely Ltd,MS0202728,124704.00,"Energy conservation measures-enhancement of sub metering network, LED lighting and voltage optimisation of Millenium Seed Bank",,,,,,
Defra,Royal Botanic Gardens Kew,21-Feb-12,Statutory compliance ,Estates Kew Section Capital Glasshouse Inspections,Norland Managed Services Ltd,MS0202982,25904.00,"Works to replace priority one screening, clothes and motors to various Glasshouses",,,,,,
Defra,Royal Botanic Gardens Kew,21-Feb-12,Statutory compliance ,Estates Kew Section Capital Glasshouse Inspections,Norland Managed Services Ltd,MS0202984,32655.00,Works to replace priority 2 replacement screen motors ,,,,,,
Defra,Royal Botanic Gardens Kew,21-Feb-12,Statutory compliance ,Estates Kew Section Capital Glasshouse Inspections,Norland Managed Services Ltd,MS0202987,30587.00,Replacement screen motors to Lower Nursery,,,,,,
Defra,Royal Botanic Gardens Kew,21-Feb-12,New works-Pt I-prof fees,Estates Capital Projects Section Capital Quarantine House,Unigro Ltd,MS0202995,68715.38,Variation to contract change order No 5 (additional order to Unigro) design and construction of Quarantine House,,,,,,
Defra,Royal Botanic Gardens Kew,21-Feb-12,Planned Maintenance,Estates Kew Section Capital -----,Norland Managed Services Ltd,MS0203005,163161.57,Services of maintenance contractor for the repair and maintenance provisions for Kew and Wakehurst Place for period 01/04/2011-31/03/2012.,,,,,,
Defra,Royal Botanic Gardens Kew,14-Feb-12,Professional Services – Conservation and Sustainability ,Wakehurst Place Gardens Section Capital West Wood Lake Dredging,PHB Contractors Ltd,MS0202763,29620.06,Dredging West Wood Lake,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,Framework Agreement number RM720 - Framework Agreement Title Sprint ii - ICT Products & Services,,,,,,
