Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Expenditure Description,Supplier Type
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Families Group,MARRIAGE CARE,4000058974,"41,744.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,02/08/2011,Current Grants,Families Group,TAVISTOCK CENTRE FOR COUPLE RELATIONSHIPS,4000059000,"65,000.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,03/08/2011,DfE Programme Costs,Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,4000059043,"147,291.10","Current grant to third sector organisation / not for profit organisation. This payment was for the grant to increase the number of looked after children who are adopted, where adoption is in their best interests, and reduce delays in adoption. The project will raise the profile and awareness of adoption and draw to the attention of the public its importance, successes and challenges including through communication of evidence-based messages to the media.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Families Group,CARE FOR THE FAMILY,4000059127,"50,607.97","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Families Group,INTERFACE ASSOCIATES UK LTD,4000059143,"88,846.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Capital Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,OLDHAM MBC,4000059167,"934,000.00",Capital grants paid to Local Authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Families Group,PRISON ADVICE & CARE TRUST,4000059169,"25,240.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,04/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,WEST SUSSEX COUNTY COUNCIL,4000059178,"289,939.00",Current grant for Sure Start payments to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,05/08/2011,ICT,Children Young People and Families Safeguarding Group,CAPGEMINI UK PLC,4000059200,"105,855.60",Costs related to the provision of computer equipment and components (non capital),Commercial
Department for Education,DEPARTMENT FOR EDUCATION,05/08/2011,ICT,Children Young People and Families Improving Information Sharing and Management Group,LOGICA UK LTD,4000059214,"183,627.50",Costs related to the provision of IT costs,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,08/08/2011,Current Grants,Supporting Children and Young People Group 2,BRITISH YOUTH COUNCIL,4000059256,"46,876.00",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,08/08/2011,Professional Services Consultancy,People and Change,CABINET OFFICE,4000059260,"70,961.00",Costs related to advisory shared corporate payroll services,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Directorate Support Group,CARLSON WAGONLIT TRAVEL,4000059328,370.38,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,4000059328,"1,365.37",Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,4000059328,265.61,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000059328,47.38,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000059328,"1,046.25",Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000059328,274.19,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000059328,"1,935.51",Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000059328,312.99,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000059328,367.32,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000059328,820.48,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000059328,98.29,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000059328,"1,157.25",Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000059328,-92.33,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059328,432.84,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059328,466.49,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059328,286.38,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059328,104.71,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059328,0.76,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,4000059328,47.6,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Which Group in CYPFD? ,CARLSON WAGONLIT TRAVEL,4000059328,976.71,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Which Group in CYPFD? ,CARLSON WAGONLIT TRAVEL,4000059328,638.8,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Which Group in CYPFD? ,CARLSON WAGONLIT TRAVEL,4000059328,-12.58,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,4000059328,"1,092.43",Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,Which Group in CYPFD? ,CARLSON WAGONLIT TRAVEL,4000059328,92.41,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,4000059328,137.54,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,4000059328,181.47,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,4000059328,406.57,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Professional Services Consultancy,Families Group,DIGITAL PUBLIC,4000059330,0,"Costs related to advisory services including their fees, travel and expenses",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Professional Services Consultancy,Families Group,DIGITAL PUBLIC,4000059330,"109,164.60","Costs related to advisory services including their fees, travel and expenses",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Current Grants,Supporting Children and Young People Group 2,NATIONAL ASSOCIATION OF CLUBS FOR YOUNG PEOPLE,4000059340,"111,789.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,Current Grants,Families Group,ONE PLUS ONE,4000059343,"66,240.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,09/08/2011,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,PRICE WATERHOUSE COOPERS LLP,4000059347,"337,650.00",Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,10/08/2011,Professional Services Other,Families Group,LOUGHBOROUGH UNIVERSITY,4000059397,"45,229.00",Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,11/08/2011,Current Grants,Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,4000059444,"74,750.00","Current grant to third sector organisation / not for profit organisation. This payment was for the grant to increase the number of looked after children who are adopted, where adoption is in their best interests, and reduce delays in adoption. The project will raise the profile and awareness of adoption and draw to the attention of the public its importance, successes and challenges including through communication of evidence-based messages to the media.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,11/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,BRITISH DYSLEXIA ASSOCIATION,4000059445,"33,749.03",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,11/08/2011,Professional Services Other,Supporting Children and Young People Group 2,CARDIFF UNIVERSITY,4000059449,"33,673.24",Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,11/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,KIDS,4000059458,"72,936.00",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,11/08/2011,Current Grants,Children Young People and Families Supporting Delivery Group,LOCAL GOVERNMENT IMPROVEMENT & DEVELOPMENT,4000059459,"58,892.40",Current grant paid to local authorities,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,12/08/2011,Current Grants,Families Group,ADVISORY CENTRE FOR EDUCATION,4000059487,"44,501.67",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,12/08/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,ATLANTIC DATA LTD,4000059491,"31,872.96",To provide a DfE subsidised application service to process enhanced CRB disclosures for new members of staff (paid and volunteers) in childcare settings registered by Ofsted on the Early Years Register (EYR) or the compulsory part of the General Childcare Register (GCR),Commercial
Department for Education,DEPARTMENT FOR EDUCATION,12/08/2011,Current Grants,Families Group,BARNARDOS,4000059496,"71,647.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,12/08/2011,Current Grants,Children Young People and Families Safeguarding Group,BARNARDOS,4000059496,"22,575.59","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,12/08/2011,Current Grants,Families Group,CATCH 22,4000059505,"76,010.59","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,12/08/2011,Current Grants,Supporting Children and Young People Group 2,MEDIA TRUST,4000059535,"52,012.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,12/08/2011,Current Grants,Children Young People and Families Safeguarding Group,MISSING PEOPLE,4000059539,"53,957.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,12/08/2011,Current Grants,Families Group,ONE PLUS ONE,4000059545,"71,731.64","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,12/08/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,THE MEDIA GROUP TMG TV LTD,4000059562,"243,044.20",To provide a DfE subsidised application service to process enhanced CRB disclosures for new members of staff (paid and volunteers) in childcare settings registered by Ofsted on the Early Years Register (EYR) or the compulsory part of the General Childcare Register (GCR),Commercial
Department for Education,DEPARTMENT FOR EDUCATION,15/08/2011,Capital Grants,Supporting Children and Young People Group 2,BIG LOTTERY FUND,4000059594,"20,838,337.00",Capital grant paid to third sector / not for profit organisation. This payment was for the administration of Myplace which aims to deliver world class youth facilities driven by the active participation of young people and their views and needs. Myplace is funding 63 projects across England totalling approximately £240m.,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,15/08/2011,DfE Programme Costs,Families Group,BRITISH ASSOCIATION FOR ADOPTION & FOSTERING,4000059595,"89,725.28","Current grant to third sector organisation / not for profit organisation. This payment was for the grant to increase the number of looked after children who are adopted, where adoption is in their best interests, and reduce delays in adoption. The project will raise the profile and awareness of adoption and draw to the attention of the public its importance, successes and challenges including through communication of evidence-based messages to the media.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,15/08/2011,Professional Services Other,Children Young People and Families Early Years Extended Schools and Special Needs Group,LANCASTER UNIVERSITY,4000059608,"75,000.00",Costs related to research and evaluation activities including contracted out data collation / gathering exercises when there is no analysis or recommendation,Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,15/08/2011,Professional Services Consultancy,Children Young People and Families Improving Information Sharing and Management Group,PA CONSULTING,4000059614,"62,400.00","Costs related to advisory services including their fees, travel and expenses",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,16/08/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,CAPITA EDUCATION RESOURCING,4000059659,"145,185.40",To provide a DfE subsidised application service to process enhanced CRB disclosures for new members of staff (paid and volunteers) in childcare settings registered by Ofsted on the Early Years Register (EYR) or the compulsory part of the General Childcare Register (GCR),Commercial
Department for Education,DEPARTMENT FOR EDUCATION,16/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,CONTINYOU  Voluntary and Community Sector,4000059661,"33,349.00",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,16/08/2011,Personnel Related,Children Young People and Families Early Years Extended Schools and Special Needs Group,CRIMINAL RECORDS BUREAU,4000059662,"179,828.00",To provide a DfE subsidised application service to process enhanced CRB disclosures for new members of staff (paid and volunteers) in childcare settings registered by Ofsted on the Early Years Register (EYR) or the compulsory part of the General Childcare Register (GCR),Public Sector
Department for Education,DEPARTMENT FOR EDUCATION,16/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NATIONAL CHILDMINDING ASSOC,4000059685,"126,000.00",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,16/08/2011,Current Grants,Children Young People and Families Early Years Extended Schools and Special Needs Group,NATIONAL DAY NURSERIES ASSOCIATION,4000059686,"41,666.67",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,16/08/2011,DfE Programme Costs,Children Young People and Families Early Years Extended Schools and Special Needs Group,ROYAL COLLEGE OF SPEECH & LANGUAGE THERAPISTS,4000059695,"61,512.48",Funding to deliver DfE policies (excluding consultancy) paid to third parties via a service delivery contract,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,16/08/2011,Current Grants,Families Group,YMCA,4000059709,"49,575.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,17/08/2011,Current Grants,Families Group,PARTNERS OF PRISONERS & FAMILIES SUPPORT,4000059743,"25,575.38","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Professional Services Consultancy,Children Young People and Families Improving Information Sharing and Management Group,ATKINS LTD,4000059772,"59,162.40","Costs related to advisory services including their fees, travel and expenses",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Current Grants,Supporting Children and Young People Group 2,BRITISH YOUTH COUNCIL,4000059776,"50,588.00",Current grant to third sector organisation / not for profit organisation,Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,4000059781,460.26,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Families Group,CARLSON WAGONLIT TRAVEL,4000059781,19.02,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000059781,290.44,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000059781,751.13,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Supporting Delivery Group,CARLSON WAGONLIT TRAVEL,4000059781,356.51,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000059781,48.85,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000059781,348,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000059781,204.31,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Supporting Children and Young People Group 1,CARLSON WAGONLIT TRAVEL,4000059781,564.3,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000059781,154.8,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Professional Services Learning and Development,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000059781,95.64,"Costs related to staff training and development including materials, courses",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Professional Services Consultancy,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000059781,115.23,"Costs related to advisory services including their fees, travel and expenses",Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000059781,186.35,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Safeguarding Group,CARLSON WAGONLIT TRAVEL,4000059781,372.7,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059781,50.33,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059781,359.09,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059781,564.74,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059781,111.07,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Children Young People and Families Early Years Extended Schools and Special Needs Group,CARLSON WAGONLIT TRAVEL,4000059781,92.88,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,Which Group in CYPFD? ,CARLSON WAGONLIT TRAVEL,4000059781,591.35,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,4000059781,"1,818.97",Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Personnel Related,People and Change,CARLSON WAGONLIT TRAVEL,4000059781,132.55,Costs related to subsistence and lodging allowances for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,People and Change,CARLSON WAGONLIT TRAVEL,4000059781,-136.25,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Travel and Events,ALB Reform Group,CARLSON WAGONLIT TRAVEL,4000059781,381.51,Costs related to staff travel expenses for official duty,Commercial
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Current Grants,Families Group,NATIONAL ASSOCIATION OF CHILD CONTACT CENTRES,4000059797,"40,018.83","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Current Grants,Supporting Children and Young People Group 2,ROYAL PHILANTHROPIC SOCIETY RAINER,4000059806,"56,285.24","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Current Grants,Families Group,SCHOOL HOME SUPPORT SERVICES UK,4000059807,"40,372.31","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,18/08/2011,Current Grants,Supporting Children and Young People Group 2,V THE NATIONAL YOUNG VOLUNTEERS SERVICE,4000059814,"26,238.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
Department for Education,DEPARTMENT FOR EDUCATION,19/08/2011,Current Grants,Children Young People and Families Safeguarding Group,FATHERHOOD INSTITUTE,4000059999,"41,411.00","Current grant to third sector organisation / not for profit organisation. In particular, for reforming and delivering services for children, young people parents and families.",Voluntary and Community Sector
