Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,PO Line Description,Supplier Site Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type
Department of Health,Department of Health,16/04/2015,Capital policy payments,DG: SCLGCP,DEPARTMENT FOR COMMUNITIES AND LOCAL GOVERNMENT (DCLG),1800021351,"220,000,000.00",Transfer to DCLG for the Disabled Facilities Grant,HP2 4XN,PUBLIC,,,Programme
Department of Health,Department of Health,01/04/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-18358,"5,345,255,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,01/04/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,NHS ENGLAND CBA033,HAFS-18357,"3,346,829,000.00",,LS2 7UE,PUBLIC,,,Other
Department of Health,Department of Health,23/04/2015,Policy Payments,DG: PHD,DEPARTMENT FOR EDUCATION (DFE),350007322,"20,000,000.00",School Sports Premium for period covering the final and third payment according to the MoU for 2013-2015,WA7 2GJ,PUBLIC,,,Programme
Department of Health,Department of Health,15/04/2015,Other programme expenditure,DG: PHD,PGO FOREIGN CURRENCY PAYMENTS,FT/15103/00514,"16,459,726.21",,RH10 1UH,PUBLIC,,,Programme
Department of Health,Department of Health,01/04/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,PUBLIC HEALTH ENGLAND PHE033,HAFS-18361,"763,368,000.00",,SP4 0JG,PUBLIC,,,Other
Department of Health,Department of Health,01/04/2015,ENDPBs Admin Revenue Grant in Aid,DG: Holding CT Core,HEALTH EDUCATION ENGLAND T1510,HAFS-18353,"440,000,000.00",,LS1 4PL,PUBLIC,,,Other
Department of Health,Department of Health,08/04/2015,Policy Payments,DG: IGT,SCOTTISH EXECUTIVE,Q4-PPRS PAYMENTS,"7,525,932.98",Apportionment of Q4 2014 PPRS receipts for Scotland,EH6 6QQ,PUBLIC,,,Programme
Department of Health,Department of Health,01/04/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS LITIGATION AUTHORITY,HAFS-18359,"80,000,000.00",,LS1 4AD,PUBLIC,,,Other
Department of Health,Department of Health,01/04/2015,SpHAs Programme Revenue Parliamentary Funding,DG: Holding CT Core,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-18368,"50,000,000.00",,NE1 6SN,PUBLIC,,,Other
