Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount,Description
Ministry of Justice,MoJ HQ,05/09/2013,212001-Agency staff,NX900-MOJ Shared Services,CAPITA RESOURCING LTD,1109519,"26,082.00",47331 CIPHERL00598 -Programme Commercial & Performance Manager - (RC Programme Director - Above High) - for a maximum of 25.00 days from 30/06/2013 to 03/08/2013 subject to the terms and conditions of contract reference RPUS
Ministry of Justice,MoJ HQ,05/09/2013,212001-Agency staff,NZ900-Finance & Corporate Services,CAPITA RESOURCING LTD,1109519,"31,724.00",9106 CIPHERL00109 -MOJ Transition - CJS Portfolio Manager for a maximum of 253.00 days from 31/03/2013 to 29/03/2014 subject to the terms and conditions
Ministry of Justice,MoJ HQ,26/09/2013,212001-Agency staff,NZ900-Finance & Corporate Services,CAPITA RESOURCING LTD,1111021,"68,228.05",11392 CIPHERL00206 -Senior Commercial Accountant (Senior Project Manager)  - for a maximum of 253.00 days from 31/03/2013 to 29/03/2014 subject to the terms and conditions
Ministry of Justice,MoJ HQ,19/09/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,ABP HOLDINGS,1110430,"478,000.00",Steel House Rent
Ministry of Justice,MoJ HQ,19/09/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,ABP HOLDINGS,1110430,"95,600.00",Steel House Rent
Ministry of Justice,MoJ HQ,19/09/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,CBRE LTD,1110473,"89,501.25",5th Floor Millbank Tower Rent
Ministry of Justice,MoJ HQ,19/09/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1110506,"1,005,189.89",Clive House Rent
Ministry of Justice,MoJ HQ,19/09/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,DTZ DEBENHAM TIE LEUNG,1110506,"455,689.25",Grenadier House Rent
Ministry of Justice,MoJ HQ,19/09/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1110568,"45,431.34",5th Floor The Axis Building (Birmingham) Rent
Ministry of Justice,MoJ HQ,19/09/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,JONES LANG LASALLE LTD,1110568,"49,326.06",4th Floor The Axis Building (Birmingham) Rent
Ministry of Justice,MoJ HQ,19/09/2013,221000-Property Rent and Rates,NZ406-Strategic Estates Feeder,LAND SECURITIES PROPERTIES LTD,1110580,"3,502,908.25",MoJ HQ Property Rents
