Departmental Family,Entity,Date,Expense Type,Expense Area,GL Division Discription,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Site Postcode,Project code,Expenditure Type,Supplier Type,Contract Number
,,01/01/2017,Professional fees,Finance and Group Operations,DD: Procurement Transformation,PINSENT MASONS LLP,6290159," 12,055 ",Professional Financial advice on Project Florence,LS1 5AB,,,LARGE,
,,01/01/2017,Provisions cash payment,Finance and Group Operations,DD: Property,NHS PROPERTY SERVICES LTD,48495971," 128,608 ",Costs relating to Management of NHS direct properties 2015-16,WF3 1WE,,,PUBLIC,
,,01/01/2017,Essential Meds SPG - Additions,Community Care,"DD: Pricing, Prescription and Supply",GENESIS PHARMACEUTICALS LTD,59148," 374,622 ",,,,,SME,
,,01/01/2017,Essential Meds SPG - Additions,Community Care,"DD: Pricing, Prescription and Supply",GENESIS PHARMACEUTICALS LTD,59148, 0 ,,,,,SME,
,,03/01/2017,Contractor/Staff Substitution,Finance and Group Operations,DD: CSIP,CAPITA BUSINESS SERVICES LTD CL1 ONLY,LO10168370," 27,167 ",Steve Spray 01.04.16 - 31.03.17 -  Programme Stakeholder Lead,,,,LARGE,
,,03/01/2017,Building repairs & maintenance,Finance and Group Operations,DD: Holding Richmond House,EMCOR FACILITIES SERVICES LTD,00438820RI," 61,158 ","Richmond House - Emcor FM Variable Building Maintenance Works FY2016/2017 @ £50,000 mthly profile",SO53 3YE,,,LARGE,
,,03/01/2017,Building repairs & maintenance,Finance and Group Operations,DD: Holding Skipton House,EMCOR FACILITIES SERVICES LTD,00438818RI," 44,802 ","Skipton House - FM Variable Building Maintenance Works FY2016/2017 @ £41,666.66 mthly profile",SO53 3YE,,,LARGE,
,,03/01/2017,Building repairs & maintenance,Finance and Group Operations,DD: Holding Wellington House,EMCOR FACILITIES SERVICES LTD,00438819RI," 60,596 ","Wellington House - FM Variable Building Maintenance Works FY2016/2017 @ £25,000 mthly profile",SO53 3YE,,,LARGE,
,,03/01/2017,Additions NHS FTs Capital Investment Loans,Central Technical,DD: NHS FC,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,HAFS-22235," 693,000 ",,S44 5BL,,,PUBLIC,
,,03/01/2017,Additions PDC Capital Support NHS FT Permanent,Central Technical,DD: NHS FC,CUMBRIA PARTNERSHIP NHS FOUNDATION TRUST,HAFS-22233," 500,000 ",,CA1 3SX,,,PUBLIC,
,,03/01/2017,Additions PDC Capital Support NHS FT Permanent,Central Technical,DD: NHS FC,PENNINE CARE NHS FOUNDATION TRUST,HAFS-22234," 205,000 ",,OL6 7SR,,,PUBLIC,
,,03/01/2017,Additions PDC Capital Support NHS T Permanent,Central Technical,DD: NHS FC,BARTS HEALTH NHS TRUST,HAFS-22232," 2,000,000 ",,E1 8PR,,,PUBLIC,
,,03/01/2017,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,CARE QUALITY COMMISSION (CQC) CQC033,HAFS-22219," 8,000,000 ",,,,,PUBLIC,
,,03/01/2017,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-22220," 32,000,000 ",,WF3 1WE,,,PUBLIC,
,,03/01/2017,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,HEALTH EDUCATION ENGLAND T1510,HAFS-22221," 500,000,000 ",,LS1 4PL,,,PUBLIC,
,,03/01/2017,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,HEALTH RESEARCH AUTHORITY,HAFS-22222," 1,100,000 ",,SE1 6LH,,,PUBLIC,
,,03/01/2017,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-22223," 6,000,000 ",,,,,PUBLIC,
,,03/01/2017,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-22224," 8,000,000 ",,SE1 7NT,,,PUBLIC,
,,03/01/2017,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,NHS ENGLAND CBA033,HAFS-22226," 2,044,781,000 ",,LS2 7UE,,,PUBLIC,
,,03/01/2017,ENDPBs Admin Revenue Grant in Aid,Central Technical,DD: NHS FC,NHS ENGLAND CBA033,HAFS-22227," 5,712,497,000 ",,LS2 7UE,,,PUBLIC,
