Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num,,,
DEFRA,DEFRA,29/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,I C F Consulting Services Ltd,30407079,55620.00,PO 374573 INTERIM REPORT STAKEHOLDER WORKSHOPS,EC4M 5SB,,ECM 17314 RE0279,00000000,Expense,,,,
DEFRA,DEFRA,21/07/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5806150712,60469.35,PO 370823 APR 14G 003 04 100 BASED ON T AND LABOUR AND CUSTOMER SIGN OFF PERIOD 03.04.15 TO 24.04.15,GU1 2LD,SME,10040,PTRS1000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Application Services/Applications On-Boarding,Policy Delivery DG,IBM United Kingdom Ltd,5806151070,46967.93,PO 374792 APR 14D 016 INVOICED AT 100 BASED ON SIGNED ACCEPTANCE CERTIFICATE PERIOD 01.06.15 TO 30.06.15,GU1 2LD,SME,10040,02DWDWIE,Expense,,,,
DEFRA,DEFRA,21/07/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5806150714,47050.78,PO 374829 APR 14F 006 PERIOD FROM 01/05/2015-22/05/2015,GU1 2LD,SME,10040,PITF0902,Expense,,,,
DEFRA,DEFRA,29/07/2015,IBM Base Services Control,Chief Operating Officer DG,IBM United Kingdom Ltd,5807151085,5676094.78,PO 378970 CORE DEFRA IT SERVICES,GU1 2LD,SME,10040,00000000,Expense,,,,
DEFRA,DEFRA,21/07/2015,Work package/WPO Implementation,Chief Operating Officer DG,IBM United Kingdom Ltd,5806150711,36214.24,PO 370823 APR 14G-003-05 FROM 03.04.2015 TO 24.04.2015,GU1 2LD,SME,,PTRS1000,Expense,,,,
DEFRA,DEFRA,29/07/2015,Contractor - Management Cover,Chief Operating Officer DG,Indigo Blue Consulting Ltd,1506443,25200.00,PO 378079 JUN 2015,SW1Y 6JP,SME,CAP 392,CAPDBA00,Expense,,,,
DEFRA,DEFRA,21/07/2015,Contractor - Management Cover,Chief Operating Officer DG,Indigo Blue Consulting Ltd,1505397,26100.00,PO 378079 RPA RECHARGE CONTRACTOR MAY 2015 ,SW1Y 6JP,SME,CAP 392,CAPDBA00,Expense,,,,
DEFRA,DEFRA,17/07/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046377,91041.84,PO 376949 BCP REF NO 6676 BILLING JUNE 2015 PROJECTS VALUATION,BS32 4NH,,BCP 6676,B281P014,Asset,,,,
DEFRA,DEFRA,17/07/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046353,44776.74,PO 375286 AND MULTI PO SBWES SWM CONTRACT BILLING FOR COMPLETED BCP WORKS ON DEFRA ESTATE.,BS32 4NH,,10195L,B0610000,Asset,,,,
DEFRA,DEFRA,17/07/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046352,123788.41,PO 373873 AND MULTI PO SBEWS SWM CONTRACT BILLING FOR COMPLETED BCP WORKS ON DEFRA ESTATE.,BS32 4NH,,10040,B0820000,Expense,,,,
DEFRA,DEFRA,17/07/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046354,124359.82,PO 375866 AND MULTI PO SBEWS SWM CONTRACT BILLING COMPLETED BCP WORKS ON DEFRA ESTATE.,BS32 4NH,,10195L,B0800000,Asset,,,,
DEFRA,DEFRA,15/07/2015,Reactive Element of Core IFM fee,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045933,695796.83,PO 378496 REACTIVE MAINTENANCE FUND FRAMEWORK FRW 10321 00 PERIOD 01.06.15 TO 30.06.15,BS32 4NH,,,00000000,Expense,,,,
DEFRA,DEFRA,17/07/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046373,39132.00,PO 376591 BCP REF NO 6591 BILLING JUNE 2015 PROJECTS VALUATION,BS32 4NH,,10226,FMR1415R,Asset,,,,
DEFRA,DEFRA,17/07/2015,Agency Recharge,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046358,58274.96,PO 374310 BMS REPLACEMENT WEYMOUTH JUN 15,BS32 4NH,,21534,B082P003,Asset,,,,
DEFRA,DEFRA,15/07/2015,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045867,2594461.51,PO 378495 CORE CONTRACT FRAMEWORK FRW 10321 00 PERIOD 01.06.15 - 30.06.15,BS32 4NH,,10226,00000000,Expense,,,,
DEFRA,DEFRA,17/07/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046355,119750.45,PO 376518 AND MULTI PO SBEWS SWM CONTRACT BILLING FOR COMPLETED BCP WORKS ON DEFRA ESTATE.,BS32 4NH,,10195L,B0720000,Expense,,,,
DEFRA,DEFRA,17/07/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046368,61332.22,PO 375989 BCP REF NO 6454 BILLING JUNE 2015 PROJECTS VALUATION,BS32 4NH,,10195B,FMR1415R,Asset,,,,
DEFRA,DEFRA,17/07/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046351,113698.13,PO 361965 AND MULTI PO SBEWS SWM CONTRACT BILLING FOR COMPLETED BCP WORKS ON DEFRA ESTATE,BS32 4NH,,10195L,B0870000,Expense,,,,
DEFRA,DEFRA,17/07/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046360,151828.16,PO 373936 BCP REF NO 6079 BILLING JUNE 2015 PROJECTS VALUATION,BS32 4NH,,10195L,B1910000,Expense,,,,
DEFRA,DEFRA,21/07/2015,Estates IFM Pass- Through Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00045863,126983.98,PO 378632 PASS THROUGH BILLING MAY 2015 COSTS,BS32 4NH,,10226,00000000,Expense,,,,
DEFRA,DEFRA,17/07/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046371,68514.90,PO 376045 BCP REF NO 6491 BILLING JUNE 2015 PROJECTS VALUATION,BS32 4NH,,10226,B281P011,Asset,,,,
DEFRA,DEFRA,08/07/2015,Estates IFM Core Maintenance,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FC00004582,-85000.00,PO 369859 CREDIT NOTE FOR INVOICE FI000040627,BS32 4NH,,10321,00000000,Expense,,,,
DEFRA,DEFRA,17/07/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046375,94849.64,PO 376954 BCP REF NO 6651 BILLING JUNE 2015 PROJECTS VALUATION,BS32 4NH,,BCP 6651,SUST1415,Asset,,,,
DEFRA,DEFRA,17/07/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046379,123451.01,PO 377026 BCP REF NO 6696 BILLING JUNE 2015 PROJECTS VALUATION,BS32 4NH,,10226,SUST1415,Asset,,,,
DEFRA,DEFRA,17/07/2015,FM Projects Non Capital Works,Chief Operating Officer DG,Interserve (Facilities Mngmnt) Ltd,FI00046356,52300.04,PO 376908 AND MULTI PO SBEWS SWM CONTRACT BILLING FOR COMPETED BCP WORKS ON DEFRA ESTATE,BS32 4NH,,10195L,B0820000,Expense,,,,
DEFRA,DEFRA,15/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",IPGRI Bioversity International,090715,25035.00,FOREIGN PAYMENT DARWIN INITIATIVE PROJECT 22-017 2015-16 Q2GRANT CLAIM MUTUALLY SUPPORTIVE IMPLEMENTATION OF THE NAGOYA PROTOCOL AND PLANT TREATY,,,,DARWDFID,Expense,,,,
DEFRA,DEFRA,09/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,John Innes Centre,INV014029,36697.77,PO 376343 FIRST STAKEHOLDER MEETING,NR4 7UH,,CH0106,SFFS0006,Expense,,,,
DEFRA,DEFRA,15/07/2015,Grant-in Aid Payments,Policy Delivery DG,Joint Nature Conservation Committee,040615,860000.00,PO 376879 GRANT IN AID PAYMENT FOR JNCC JUL 2015,PE1 1JY,SME,GIA,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Civil service Pension Administration,Chief Operating Officer DG,JSS Pensions Administration,RCPS10519,42788.87,PO 370269 JUNE 2015 PENSIONS HRI,SN2 1FF,,16500,00000000,Expense,,,,
DEFRA,DEFRA,13/07/2015,Other Current Payments E,Policy Delivery DG,JSS Pensions Administration,RCPS10525,121031.55,PO 376876 JUNE 2015 PENSIONS NCC,SN2 1UH,,,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Clearing Construction in Progress (Building Works),Chief Operating Officer DG,Kier Facilities Services Ltd,14110942,63576.55,PO 378766 AECOM  SERIAL NO 1 20.05.15,RG21 4HG,,ECM 18118,B087P004,Asset,,,,
DEFRA,DEFRA,17/07/2015,Advisory Services,Chief Operating Officer DG,Kpmg Llp,5501049036,28000.00,PO 378727 GUIDANCE & SUPPORT FOR IMPAIRMENT METHODOLOGY,E14 5GL,SME,,CAPDBCFM,Expense,,,,
DEFRA,DEFRA,29/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",L T S International Ltd,2600,64245.20,PO 346173 W/S APPLICATION & SUPPORT TO DEC,EH26 0PH,SME,GIA,00000000,Expense,,,,
DEFRA,DEFRA,01/07/2015,Current Grants E,Policy Delivery DG,Lake District National Park Auth,100615,1217648.00,PO 377273 NATIONAL PARK GRANT CLAIM 2015/16 QTR 2,LA9 7RL,SME,,LAKEDIST,Expense,,,,
DEFRA,DEFRA,03/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Lancaster University,8659418,72938.00,PO 364699 2014/15 CLAIM KNOWLEDGE POLICY AND PRACTICE FOR SUSTAINABLE,LA1 4YW,,SCF0302,00000000,Expense,,,,
DEFRA,DEFRA,21/07/2015,Programme Consultancy Costs,Policy Delivery DG,Local Partnerships LLP,41101762,61698.00,PO 378270 WIDP CENTRAL JUNE 2015,SW1P 3HZ,SME,ECM 22131,WFUNDCON,Expense,,,,
DEFRA,DEFRA,23/07/2015,Consultancy Non-Scheme,Chief Operating Officer DG,Local Partnerships LLP,41101758,44626.15,PO 371531 WOSP SUPPORT JUNE 2015,SW1P 3HZ,SME,,00000000,Expense,,,,
DEFRA,DEFRA,23/07/2015,IT Software,Chief Operating Officer DG,M D S Technologies Ltd,4410,162866.42,PO 377778 CHARGES FOR JUN 2015,SN13 9GB,SME,CAP204,CAPDFA08,Expense,,,,
DEFRA,DEFRA,03/07/2015,IT Software,Chief Operating Officer DG,M D S Technologies Ltd,4338,169712.16,PO 377778 PHYSICAL SERVERS AND STORAGE,SN13 9GB,SME,CAP204,CAPDFA08,Expense,,,,
DEFRA,DEFRA,21/07/2015,Grant-in Aid Payments,Policy Delivery DG,Marine Management Organisation,260615,2000000.00,PO 361076 GRANT IN AID PAYMENT TO MMO JULY 2015,NE4 7YH,,Grant,00000000,Expense,,,,
DEFRA,DEFRA,15/07/2015,Current Grants E,Policy Delivery DG,Met Office,I0098093,575000.00,PO 361544 INV FROM 01.07.2015 TO 30.09.2015 FLOOD FORECASTING CENTRE FY 1516,EX1 3PB,,tba,00000000,Expense,,,,
DEFRA,DEFRA,21/07/2015,Other Current Payments E,Policy Delivery DG,Mid Suffolk District Council,2000022519,50000.00,PO 377856 GRANT FUNDING AGREEMENT,IP6 8DL,,EXEMPT,00000000,Expense,,,,
DEFRA,DEFRA,06/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Ministry of Food Agric & Fisheries,250615,26646.98,FOREIGN PAYMENT UK ERA NET CORE ORGANIC II INSTALMENT NO 3,DK-1780,SME,,00000000,Expense,,,,
DEFRA,DEFRA,31/07/2015,Evidence Non R&D,Policy Delivery DG,National Physical Laboratory,125716,90294.02,PO 349005 AQ0640 CHESTERFIELD SET UP COSTS,TW11 0LW,SME,14769,AQNONRDX,Expense,,,,
DEFRA,DEFRA,29/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,National Physical Laboratory,125643,25927.78,PO 353194 QUARTERLY RUN RATE APR 15 JUN 15,TW11 0LW,SME,,AQRDXXXX,Expense,,,,
DEFRA,DEFRA,15/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,National Physical Laboratory,125358,26541.33,PO 344126 AD-HOC JUNE 2015,TW11 0LW,SME,,AQRDXXXX,Expense,,,,
DEFRA,DEFRA,27/07/2015,Inwards Secondments,Chief Operating Officer DG,Natural England,8000023316,31690.49,PO 362685 SECONDMENTS COSTS 01.01.2015 TO 31.03.2015,YO1 7PX,,IGS,CAPDFA10,Expense,,,,
DEFRA,DEFRA,07/07/2015,Grant-in Aid Payments,Policy Delivery DG,Natural England,250615,9000000.00,PO 376763 GRANT IN AID PAYMENT FOR NATURAL ENGLAND JUL 15,YO1 7PX,,DFP,00000000,Expense,,,,
DEFRA,DEFRA,21/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Natural History Museum Trading Co,001201,25113.53,PO 365580 TC00969 CHARACTERISATION & TARGETING OF MEASURES FOR POLLUTED MINE WATERS JULY 2014,SW7 5BD,,WT0970,00000000,Expense,,,,
DEFRA,DEFRA,13/07/2015,Evidence Non R&D,Policy Delivery DG,NERC Proudman Oceanographic Laboratory,7060007532,175000.00,PO 378919 FOR CARRYING OUT MEDIN WORK PROGRAMME 2014-15,SN2 1FF,,ME4162,00000000,Expense,,,,
DEFRA,DEFRA,13/07/2015,Evidence Non R&D,Policy Delivery DG,NERC Proudman Oceanographic Laboratory,7060007716,26000.00,PO 378919 TO CARRY OUT DATA ARCHIVING OF MCZ DATA COLLECTED DURING APRIL 2013 TO MAR 2014,SN2 1FF,,ME4162,00000000,Expense,,,,
DEFRA,DEFRA,01/07/2015,Current Grants E,Policy Delivery DG,New Forest National Park Auth,230615,751790.00,PO 377264 NEW FOREST NATIONAL PARK AUTHORITY - ESTIMATED EXPENDITURE QTR 2 2015/2016,SO41 9ZG,SME,,NEFOREST,Expense,,,,
DEFRA,DEFRA,01/07/2015,Capital LA Grant E,Policy Delivery DG,North Lincolnshire Council,R0019975,332127.77,PO 372878 REPAIRS AND RENEWAL FLOOD GRANT,DN16 1AB,,,00000000,Expense,,,,
DEFRA,DEFRA,15/07/2015,Other Current Payments E,Policy Delivery DG,North Somerset Council,800146598,50000.00,PO 377619 DEFRA FOOD ENTERPRISE ZONE GRANT TIM MTZ,BS23 1UJ,,,00000000,Expense,,,,
DEFRA,DEFRA,01/07/2015,Current Grants E,Policy Delivery DG,North York Moors National Park,230615,1023197.00,PO 377271 NATIONAL PARKS GRANT CLAIM 2015/2016 QTR 2,YO62 5BP,SME,,YORKMOOR,Expense,,,,
DEFRA,DEFRA,01/07/2015,Current Grants E,Policy Delivery DG,Northumberland Nat Park Authority,230615,1029200.00,PO 377270 NATIONAL PARKS GRANT CLAIM 2015/2016 QTR 2,NE46 1BS,SME,,NORTHUMB,Expense,,,,
DEFRA,DEFRA,27/07/2015,Evidence Non R&D,Policy Delivery DG,Office For National Statistics,1030548,76186.40,PO 378670 LIVING COSTS AND FOOD SURVEY FOR 2015/16 QUARTER TWO,NP10 9XG,,,FCAG0006,Expense,,,,
DEFRA,DEFRA,27/07/2015,Evidence Non R&D,Policy Delivery DG,Office For National Statistics,1030547,76186.40,PO 378670 LIVING COSTS AND FOOD SURVEY FOR 2015/16 QUARTER ONE,NP10 9XG,,,FCAG0006,Expense,,,,
DEFRA,DEFRA,01/07/2015,Current Grants E,Policy Delivery DG,Peak District National Park Auth,230615,1750000.00,PO 377269 ESTIMATED EXPENDITURE QTR 2 2015/2016,DE45 1AE,SME,,PEAKDIST,Expense,,,,
DEFRA,DEFRA,15/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",R S P B,1806153285900,32859.00,PO 377403 DARWIN REF NO 22015 CLAIM PERIOD JULY 2015 TO SEPT 2015,SG19 2DL,,21859,DARWDFID,Expense,,,,
DEFRA,DEFRA,31/07/2015,IBM Base Services Control,Chief Operating Officer DG,Rackspace Ltd,540199,26253.77,PO 371976 CLOUD BLOCK STORAGE VOLUME FEES 150 GB OF USAGE FOR 744 HOURS SATA STORAGE VOLUME DC,UB3 4AZ,SME,,CAPDFA08,Expense,,,,
DEFRA,DEFRA,13/07/2015,Redfern Suspense,Central Finance Group,Redfern Travel Ltd,109504,265578.67,DEFRA JUNE 2015 BILL,BD1 3AZ,SME,,00000000,Asset,,,,
DEFRA,DEFRA,29/07/2015,Evidence Non R&D,Policy Delivery DG,Ricardo-A E A Ltd,6160280,45176.50,"PO 377990, MONTHLY INVOICE FOR  19 - 30 JUNE 2015 AURN QAQC CONTRACT",OX11 0QR,,,AQNONRDX,Expense,,,,
DEFRA,DEFRA,23/07/2015,Other Current Payments E,Policy Delivery DG,Ricardo-A E A Ltd,6160427,57133.52,PO 358322 JUNE 2015 MONTHLY FIXED PRICE ITEMS,OX11 0QJ,,,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,Ricardo-A E A Ltd,6160063,39296.50,PO 351104 CORE WORK UNDERTAKEN FOR THE NAEI IN JUNE 2015,OX11 0QR,,AQ0726,AQRDXXXX,Expense,,,,
DEFRA,DEFRA,03/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",Royal Botanic Gardens Kew,2003152588175,25881.75,PO 369945 REF NO - DPLUS016 PERIOD APRIL 2015 TO JUNE 2015 QTR 1 DARWIN GRANT CLAIM FORM,TW9 3AB,,20588/GRANT,DARWPLUS,Expense,,,,
DEFRA,DEFRA,01/07/2015,Grant-in Aid Payments,Policy Delivery DG,Royal Botanic Gardens Kew,KEWGIA041516,2500000.00,PO 376825 PAYMENT OF GRANT IN AID JULY 2015,TW9 3AB,,GIA,00000000,Expense,,,,
DEFRA,DEFRA,27/07/2015,Inwards Secondments,Chief Operating Officer DG,Rural Payments Agency,ARI000514,600653.93,PO 378580 STAFF AND T&S RECHARGE,RG1 1AF,SME,DFP,CAPDBA00,Asset,,,,
DEFRA,DEFRA,27/07/2015,IT Software,Chief Operating Officer DG,Rural Payments Agency,ARI000517,134323.54,PO 376678 E-SPATIAL I-SMART LICENSE RECHARGE JUN 2015,RG1 3BU,SME,CAP354,CAPDFA10,Expense,,,,
DEFRA,DEFRA,13/07/2015,Evidence Non R&D,"Strategy, International and Biosecurity DG",S A M I Consulting Ltd,DEFRA007,42093.75,PO 378720 PROVISION OF HORIZON SCANNING AND FUTURES FUNCTION FOR THE DEFRA NETWORK. MILESTONE 3 31 MAY 2015 SCANNING AND ANALYSIS,RG14 1DY,SME,,HSFUTURE,Expense,,,,
DEFRA,DEFRA,07/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,School of Oriental & African Studies,4879072,-50881.50,PO 364701 PARTIAL CREDIT NOTE FOR REF INVOICE NO 4345842,WC1H 0XG,,SCF0302,00000000,Expense,,,,
DEFRA,DEFRA,17/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,School of Oriental & African Studies,4345842,101763.00,PO 364701 SCF00302 14/15,WC1H 0XG,,SC0302,00000000,Expense,,,,
DEFRA,DEFRA,17/07/2015,Evidence Non R&D,Policy Delivery DG,Sea Mammal Research Unit,RG049201,40586.00,PO 348138 MILESTONE 19 FIELD ACTIVITY AND DATA ANALYSIS JULY 15,KY16 8LB,SME,,00000000,Expense,,,,
DEFRA,DEFRA,31/07/2015,Capital LA Grant E,Policy Delivery DG,Sedgemoor District Council.,EV023262,51940.62,PO 371608 REPAIR AND RENEW GRANT,TA6 3AR,,GRANT,00000000,Expense,,,,
DEFRA,DEFRA,31/07/2015,Contracted Out Services Fixed Charges,Chief Operating Officer DG,Shared Services Connected Ltd,100001240,502888.39,PO 366914 FIXED MONTHLY CHARGE JULY 2015,HP2 7AH,,.ecm_4524,00000000,Expense,,,,
DEFRA,DEFRA,29/07/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Sopra Steria Ltd,100077255,332194.25,PO 378216 T&M LEGACY MAY 2015,HP2 7AH,,,CAPDFA02,Asset,,,,
DEFRA,DEFRA,21/07/2015,Other Current Payments E,Policy Delivery DG,South Downs National Park Authority,050615,50000.00,"PO 376998, LOCAL DEVELOPMENT ORDER FOR FOOD ENTERPRISES ZONE, INVOICE REF- 6000003366",GU29 9SB,,,00000000,Expense,,,,
DEFRA,DEFRA,13/07/2015,Current Grants E,Policy Delivery DG,South Downs National Park Authority,110615,2373883.00,PO 377268 NATIONAL PARKS GRANT QTRLY PROFILE OF EXPENDITURE 2015/16 QTR 2,GU29 9SB,,,SDOWNS01,Expense,,,,
DEFRA,DEFRA,15/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",South Georgia Heritage Trust,220615,170655.00,PO 376174 DARWIN REF NO DPLUS031 CLAIM PERIOD 01 JULY 2015 TO 30 SEPT 2015,DD1 5BT,SME,21670,DARWPLUS,Expense,,,,
DEFRA,DEFRA,03/07/2015,Other Current Payments E,Policy Delivery DG,South Norfolk Council,0701063486,50000.00,"PO 378040, FUNDING AGREEMENT- LOCAL, CONTRACT REF- 22107",NR15 2XE,,22107,00000000,Expense,,,,
DEFRA,DEFRA,31/07/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPC141364,-565071.01,PO 377141 CREDIT NOTE FOR INVOICE OPM028703,B11 2LE,SME,,CAPDFA01,Asset,,,,
DEFRA,DEFRA,29/07/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM028705,665091.51,PO 378217 PTFOCDEL CONSULTANCY,B11 2LE,SME,CAP410,CAPDFA01,Asset,,,,
DEFRA,DEFRA,15/07/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM020204,154819.28,PO 378080 SPRINT 42 DEVELOPMENT COST AND PROGRAMME COST,B11 2LE,SME,CAP 409,CAPDFA01,Asset,,,,
DEFRA,DEFRA,21/07/2015,Clearing Construction in Progress (I.T.),Chief Operating Officer DG,Specialist Computer Centres,OPM020203,270020.78,PO 378080 AA PTBCON01 CAP KAINOS SCC CONTRACT FOR FINANCIAL YEAR 15/16,B11 2LE,SME,CAP 409,CAPDFA01,Asset,,,,
DEFRA,DEFRA,29/07/2015,IT Software,Chief Operating Officer DG,Specialist Computer Centres,OPM029231,262696.38,PO 378625 FULLY BACK ORDERED FOR 1 PASS THROUGH FOC DEL,B11 2LE,SME,CAP081,CAPDFA01,Expense,,,,
DEFRA,DEFRA,21/07/2015,IT Maintenance,Chief Operating Officer DG,Specialist Computer Centres,OPM025154,156691.00,PO 378262 ANNUAL SUPPORT MAINTENANCE,B11 2LE,SME,,CAPDFA07,Expense,,,,
DEFRA,DEFRA,21/07/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",St DLO - LEI,7215220095,68515.04,FOREIGN PAYMENT INVOICE,2585 DB,,,00000000,Expense,,,,
DEFRA,DEFRA,03/07/2015,Capital LA Grant E,Policy Delivery DG,Surrey County Council,9500090851,315371.34,PO 371702 REPAIR AND RENEW GRANT CLAIM,KT1 2DN,,GRANT,00000000,Expense,,,,
DEFRA,DEFRA,03/07/2015,Capital LA Grant E,Policy Delivery DG,Tewkesbury Borough Council,DEBT103792,122261.80,PO 371762 FLOOD RECOVERY REPAIR AND RENEW GRANT Q4,GL20 5TT,,GRANT,00000000,Expense,,,,
DEFRA,DEFRA,17/07/2015,Current Grants E,"Strategy, International and Biosecurity DG",The Born Free Foundation Ltd,250615,36799.68,PO 376090 IWT REF XXIWT007 CLAIM PERIOD 01.07.2015 TO 30.09.2015,RH12 4QP,SME,,IWTXXXXX,Expense,,,,
DEFRA,DEFRA,27/07/2015,Other Current Payments E,Policy Delivery DG,The Coal Authority,CA126309,395079.58,PO 377301 WHEAL JANE OPERATIONS JULY 15 SEPT 15,NG18 4RG,SME,17479,00000000,Expense,,,,
DEFRA,DEFRA,27/07/2015,Other Current Payments E,Policy Delivery DG,The Coal Authority,CA126310,534090.00,PO 377916 QTR 2 2015/2016 FORECAST REVENUE SPEND,NG18 4RG,SME,FUNDING,00000000,Expense,,,,
DEFRA,DEFRA,07/07/2015,Grant-in Aid Payments,Policy Delivery DG,The National Forest Co,180615,716083.00,"PO 377478, NFC GRANT IN AID CLAIM JULY - SEP 2015",DE12 6BA,SME,,00000000,Expense,,,,
DEFRA,DEFRA,28/07/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-560392-52686,35008.83,SE2940 - Molecular epidemiology of foot-and-mouth disease virus - The Pirbright Institute  Jul 15,GU24 0NF,,SE2940,00000000,Expense,,,,
DEFRA,DEFRA,28/07/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-560464-52690,133134.82,SE2815 - Developing improved methods to quantify transmission of foot-and-mouth disease virus - Pirbright Institute - Aug 15,GU24 0NF,,SE2815,00000000,Expense,,,,
DEFRA,DEFRA,28/07/2015,Other Current Payments (Evidence R&D),"Strategy, International and Biosecurity DG",The Pirbright Institute,ERS-560431-52688,76051.67,SE1128 - Planned R&D in support of FMD diagnostic capability - The Pirbright Institute -  Jul 15,GU24 0NF,,,00000000,Expense,,,,
DEFRA,DEFRA,21/07/2015,Other Current Payments E,Policy Delivery DG,The Planning Inspectorate,1800001237,241128.00,PO 378179  COMMON LAND STAFF COSTS,HP2 4XN,,FUNDING,00000000,Expense,,,,
DEFRA,DEFRA,28/07/2015,Evidence Non R&D,Policy Delivery DG,The Sir Alister Hardy Foundation For Ocean Science,ERS-560062-52633,26666.66,ME5308:The Continuous Plankton Recorder Survey: Monitoring Marine Biodiversity and Environmental Change in the World's Oceans FY 15/16,PL1 2PB,SME,ME 5308,00000000,Expense,,,,
DEFRA,DEFRA,27/07/2015,Treasury Solicitors,Chief Operating Officer DG,Treasury Solicitors Department,A2160,1970250.00,PO 377853 LEGAL FIXED FEE CHARGES FOR PROFESSIONAL WORK FROM 01 JUL 15-30 SEP 15,WC2B 4TS,,,00000000,Expense,,,,
DEFRA,DEFRA,27/07/2015,Treasury Solicitors,Chief Operating Officer DG,Treasury Solicitors Department,A2161,63000.00,PO 377853 Q2 PROSECUTION SERVICES PROFESSIONAL WORK FROM 01 JUL 15-30 SEP 15,WC2B 4TS,,EXEMPT,00000000,Expense,,,,
DEFRA,DEFRA,31/07/2015,Other Current Payments (Evidence R&D),Policy Delivery DG,UK Water Industry Research Ltd,S529,32890.00,PO 355891 ANNUAL FEE FOR 2015/16,SW1H 9BT,SME,Exempt,00000000,Expense,,,,
DEFRA,DEFRA,23/07/2015,International Subscriptions (Foreign Payments),Policy Delivery DG,United Nations,220715,185082.28,FOREIGN PAYMENT REF LRA-E908-ECM/EMEP CONTRIBUTION FROM THE UK & NI TO UNECE FOR 2015 TO WARDS THE EMEP TRUST FUND,00100,SME,,00000000,Expense,,,,
DEFRA,DEFRA,30/07/2015,Other Current Payments (GB),Policy Delivery DG,United Nations Environment Prog,140515,28501.80,"FOREIGN PAYMENT- FUND 9140 UK. GOVERNMENT OF THE UK PAYMENT 2015.AGREEMENT ON THE CONSERVATION OF SMALL CETACEANS OF THE BALTIC, NORTH EAST ATLANTIC, IRISH AND NORTH SEAS (ASCOBANS)",00100,,,00000000,Expense,,,,
