Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description ,Supplier Postcode,Supplier Type,Expenditure Type
Cabinet Office,CABINET OFFICE,02/01/2014,INSIGNIA COSTS,HONOURS AND DIGNITIES,TREASURER TO THE QUEEN,3000043232,67422,Central Chancery charges for administration of Honours,SW1A 1AA,Government Department,Programme
Cabinet Office,CABINET OFFICE,03/01/2014,STAFF TRAVEL ,PMO FACILITIES MANAGEMENT,GCDA,3000043259,26098,Government cars,SW8 5AX,Government Department,Admin
Cabinet Office,CABINET OFFICE,03/01/2014,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,RADLEY YELDAR LTD,3000043235,28240,GREAT Campaign ,EC2A 2PB,SME,Programme
Cabinet Office,CABINET OFFICE,03/01/2014,CONSULTANTS VAT RECOVERABLE,MUTUALS,FIELD FISHER WATERHOUSE LLP,3000043242,30247.27,Support provided under the Mutuals Support Programme to support aspiring public service mutuals,EC3N 2AA,Large,Programme
Cabinet Office,CABINET OFFICE,03/01/2014,STAFF TRAVEL,PRIVATE OFFICE GROUP,DEPARTMENT FOR TRANSPORT,3000043244,31371.98,Government cars,SA7 0EA,Government Department,Admin
Cabinet Office,CABINET OFFICE,03/01/2014,PENSIONER PAYROLL CONTRACTOR,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000043262,91020,MyCSP Administration Charges,LS2 7UA,Large,Admin
Cabinet Office,CABINET OFFICE,06/01/2014,TELECOM RENTALS,PMO ICTS,BT,3000043275,31487.16,Telephony services,SK14LW,large,Admin
Cabinet Office,CABINET OFFICE,07/01/2014,CONTRACTORS & STAFF SUBSTITUTIONS,ERG COMMERCIAL REVIEW,CAPITA RESOURCING LTD,3000043290,86940,"Support including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice",SL61DP,Large,Admin
Cabinet Office,CABINET OFFICE,07/01/2014,NON PRIME UTILITIES,FEM MISC,BOUYGUES E&S FM UK LTD,3000043289,92587.06,Facilities Management Services,BN11HG,Large,Admin
Cabinet Office,CABINET OFFICE,41647,CAPITAL GRANTS PRIV SEC - CDEL,COMMUNITY FIRST,COMMUNITY DEVELOPMENT FOUNDATION,3000043309,3546810,Neighbourhood Matched Fund Grant ,ERS EC1V2PT,Large,Grants
Cabinet Office,CABINET OFFICE,09/01/2014,OTHER IS IT COSTS VAT RECOV,GDS OFFICE OF CHIEF TECHNOLOGY OFFICER,CORPORATE DOCUMENT SERVICES LTD,3000043347,29073,GOV.UK software development ,LS2 7LY,Large,Programme
Cabinet Office,CABINET OFFICE,09/01/2014,CONSULTANTS VAT RECOVERABLE,DEVOLUTION TEAM,ENGINE PARTNERS UK LLP,3000043364,30605.18,Communications support,W1W 7RT,SME,Admin
Cabinet Office,CABINET OFFICE,09/01/2014,TELECOM RENTALS,TELEPHONE SERVICES,VODAFONE LTD,3000043351,30723.1,Mobile telephony services,WA81NN,Large,Admin
Cabinet Office,CABINET OFFICE,09/01/2014,ADDITIONS IT HARDWARE,PUBLIC SERVICES NETWORK,BRITISH TELECOMMUNICATIONS PLC,3000043341,59812.8,Production of a risk assessment relating to Public Service Network Resilience.,SK14LW,large,Programme
Cabinet Office,Government Procurement Service,09/01/2014,Special Projects Review - Commercial Reform,Commercial Reform,Pricewaterhouse Coopers LLP,PINDOH 37751,61967,Cross-Government Review of Major Contracts,EC1A 4AB,Large,Admin
Cabinet Office,CABINET OFFICE,09/01/2014,CONTRACTORS & STAFF SUBSTITUTIONS,PUBLIC SERVICES NETWORK,CAPITA RESOURCING LTD,3000043326,62762.11,"Support for Public Service Network including development of technical standards, project management for the delivery of key services, stakeholder engagement and commercial advice.",SL61DP,Large,Programme
Cabinet Office,Government Procurement Service,09/01/2014,Special Projects Review - Commercial Reform,Commercial Reform,Pricewaterhouse Coopers LLP,PINDOH 37749,84631.51,Cross-Government Review of Major Contracts,EC1A 4AB,Large,Admin
Cabinet Office,CABINET OFFICE,09/01/2014,ADDITIONS -AUC IT FEES NON VAT REC,ERTP ERO DIGITAL,SPECIALIST COMPUTER CENTRE PLC,3000043348,102392.64,Delivery of Digital capability to support the business change from household to individual electoral registration through the government framework ,B112LE,Large,Programme
Cabinet Office,Government Procurement Service,09/01/2014,Special Projects Review - Commercial Reform,Commercial Reform,Pricewaterhouse Coopers LLP,PINDOH 37744,109804.97,Cross-Government Review of Major Contracts,EC1A 4AB,Large,Admin
Cabinet Office,Government Procurement Service,09/01/2014,Special Projects Review - Commercial Reform,Commercial Reform,Pricewaterhouse Coopers LLP,PINDOH 37752,113056.11,Cross-Government Review of Major Contracts,EC1A 4AB,Large,Admin
Cabinet Office,Government Procurement Service,09/01/2014,Special Projects Review - Commercial Reform,Commercial Reform,Pricewaterhouse Coopers LLP,PINDOH 37743,120888.88,Cross-Government Review of Major Contracts,EC1A 4AB,Large,Admin
Cabinet Office,Government Procurement Service,09/01/2014,Special Projects Review - Commercial Reform,Commercial Reform,Pricewaterhouse Coopers LLP,PINDOH 37746,145869.64,Cross-Government Review of Major Contracts,EC1A 4AB,Large,Admin
