Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number, Amount ,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Number
DEFRA,EA,13/09/2012,Clinical and Medical,AN Eastern-AEM - Norfolk and Suffolk,Oil & Hazardous Environment Services Ltd,1111360,"£42,367.20","River Delph Incident, Development and Monitoring of Hydrogen peroxide at Welney Bridge 2326 Aug 2012.",RG40 2AZ,,,REAN001328,Project,
DEFRA,EA,11/09/2012,Clinical and Medical,NLS Operations Starcross,Metlab Supplies Ltd,1108256,"£39,280.51",Supply of consumables to National Laboratory Service Starcross Organics team ,CH5 2QP,,30198780,,Administration,
DEFRA,EA,06/09/2012,Construction,AN Nthn FCRM Ops W&N,P & R Plant Lincolnshire Ltd,1109163,"£27,000.00",Weed cutting Long Reach Excavator East and West Glens,PE12 8NG,,30246240,FRA01S216,Project,
DEFRA,EA,06/09/2012,Construction,MI Capital WiP,UK Flood Barriers Ltd,1108137,"£34,648.40",Flood Resistance Measures on individual properties (Southam),WR9 0NX,,30295946,IMMI001274,Project,
DEFRA,EA,11/09/2012,Construction,SW Capital WiP,May Gurney Ltd,1110802,"£56,867.14",South west minor construction works to vegetation screen,EX5 1EW,,30190789,IMSW001713,Project,
DEFRA,EA,05/09/2012,Construction,SE SSD - AEM Monitoring,J Breheny Contractors Ltd,1096882,"£29,533.68",Minor works final bill - Hydrometry and Telemetry; Minor Works Contractors Framework; Breheny ,IP6 8NH,,30134424,,Project,
DEFRA,EA,05/09/2012,Construction,SE Capital WiP,WES Ltd,1097883,"£72,576.00","Water Treatment (Hydrogen Peroxide Dosing) Facility, Hackney Marshes, East London; River Lee Water Treatment Plant, Hackney Marshes, East London",RG24 8PP,,,IMSE100117,Project,
DEFRA,EA,05/09/2012,Construction,NW South-Ops Delivery,Boulting Technology,1105391,"£25,674.83","Frequent maintenance for South Area mechanical and electrical, instrumentation, control and automation assets 2012-13",WA1 1RG,,30270233,RENW000941,Project,
DEFRA,EA,11/09/2012,Construction,NW South-Ops Delivery,Boulting Technology,1105926,"£26,663.46","Frequent maintenance for North Area mechanical and electrical, instrumentation, control and automation assets 2012-13",WA1 1RG,,30270233,RENW000939,Project,
DEFRA,EA,18/09/2012,Construction,WA Capital WiP,JU Bowen Construction Ltd,1106085,"£106,464.11","Bala Weir Y fish pass, application No 3 for work carried out to 24 August 2012",SY16 2DR,,40018012,IMWA000971,Project,
DEFRA,EA,20/09/2012,Construction,MI Capital WiP,G F Tomlinson Civil Engineering Ltd,1106419,"£111,808.74",Works under Midlands minor works framework - Marlcliff Flood Alleviation Scheme construction contract,WR3 8LX,,30224315,IMMI001187,Project,
DEFRA,EA,06/09/2012,Construction,AN Eastern-Ops Delivery (Essex),Deangate Ltd,1106520,"£51,261.96",Floodgrouting works at Lovedowns sea wall.,CO5 7PT,,30231740,FRA04S062,Project,
DEFRA,EA,11/09/2012,Construction,WA Capital WiP,JU Bowen Construction Ltd,1106851,"£75,372.05",Rossett weir fish pass.  Application No 4  work carried out to end of August 2012,SY16 2DR,,40018012,IMWA000838,Project,
DEFRA,EA,18/09/2012,Construction,WA South West-Ops Delivery,Spencer Environmental Care Associates Ltd,1107041,"£36,467.27",Reed cutting works at Caldicot and Wentlooge,SA44 5NW,,40026198,FRA19S057 | FRA19S082 | FRA19S094 | FRA19S055 | FRA19S056 | FRA19S058,Project,
DEFRA,EA,11/09/2012,Construction,SE Capital WiP,J Breheny Contractors Ltd,1107217,"£170,401.93",Minor works Lower Lee repairs,IP6 8NH,,30343170,IMTH000898,Project,
DEFRA,EA,11/09/2012,Construction,WA Capital WiP | WA South East-AEM - Monitoring & Fisheries,Spencer Environmental Care Associates Ltd,1107295,"£54,054.00",Shoal material collection and disposal at Derwen Aggregates Recycling Facility,SA44 5NW,,40026198,IMWA001193 | REWA000020,Project,
DEFRA,EA,04/09/2012,Construction,SE West Thames - Waterways Ops Mgr 1,Total Environmental Services Ltd,1107652,"£37,623.60",Sanitary station Mapledurham Lock,BD19 6BW,,,WWTH000523,Project,
DEFRA,EA,05/09/2012,Construction,SW Capital WiP,UK Flood Barriers Ltd,1108139,"£38,425.20","Individual property protection East Devon - Marsh Green, Coombelake, Broadhembury",WR9 0NX,,30295946,IMSW001957,Project,
DEFRA,EA,04/09/2012,Construction,SE Capital WiP,Jackson Civil Engineering Ltd,1108742,"£26,010.29",South East minor works framework - Hollington Stream Gauging Station Construction Contract,IP1 5LT,,30343174,IMSO000958,Project,
DEFRA,EA,06/09/2012,Construction,AN Capital WiP,VSL Systems UK Ltd,1108759,"£72,957.12",Ipswich ground anchor testing,LU1 5AT,,,IMAN002340,Project,
DEFRA,EA,11/09/2012,Construction,SE Capital WiP,J Breheny Contractors Ltd,1109171,"£128,744.32",River Wey weirs motorisation  phase 2 works up to 27.07.12,IP6 8NH,,,IMTH001346,Project,
DEFRA,EA,04/09/2012,Construction,MI Capital WiP,Birch Brothers Kidderminster Ltd,1109258,"£27,403.20",Minor works at Arrow mill weir (Midlands),DY13 9QB,,30224314,IMMI001227,Project,
DEFRA,EA,06/09/2012,Construction,WA Capital WiP,Dyer & Butler Ltd,1110678,"£124,055.44",Upper and Lower Railway Terrace fish pass improvements,SA1 2NX,,40018495,IMWA001079,Project,
DEFRA,EA,04/09/2012,Construction,SE North East Thames - Ops Delivery,J Breheny Contractors Ltd,1110833,"£60,746.69",Channel access improvements phase 2 (South East Minor works),IP6 8NH,,30343170,RETH000404,Project,
DEFRA,EA,11/09/2012,Construction,AN Central-Ops Delivery,Jackson Civil Engineering Ltd,1110972,"£33,745.01",Ouse Washes desilting/bankworks 2012,IP1 5LT,,30184783,FRA02S017,Project,
DEFRA,EA,04/09/2012,Construction,WA Capital WiP,Dyer & Butler Ltd,1111598,"£77,580.50",Construction works Marcroft Weir valuation,SA1 2NX,,40018495,IMWA000997,Project,
DEFRA,EA,04/09/2012,Construction,WA Capital WiP,Dyer & Butler Ltd,1111600,"£32,215.03",Brynmenyn Weir valuation ,SA1 2NX,,40018495,IMWA000996,Project,
