Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Postcode ,Supplier Type,Contract Number,Project Code,Expenditure Type
Ministry of Justice,MoJ HQ,19-Jul-12,246000-Current Grants,RG999-CFLAP Accumulator,MONEY ADVICE TRUST,1079590,"£25,000.00","""Grant payment to support the work in the field of advice services.  Funding for 2012-13. """,EC4V 2AU,,,0,Grant
Ministry of Justice,MoJ HQ,19-Jul-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6554,"£11,711,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,12-Jul-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6550,"£11,769,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,12-Jul-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6550,"£11,831,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,26-Jul-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6555,"£13,218,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,19-Jul-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6554,"£14,389,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,26-Jul-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6555,"£14,482,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,05-Jul-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6548,"£28,306,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,SME,,0,Programme
Ministry of Justice,MoJ HQ,05-Jul-12,311100-Legal Aid,KY300-Legal Services Strategy,LEGAL SERVICES COMMISSION,6548,"£46,294,000.00",Grants to Legal Services Commission in respect of CLS & Criminal Legal Aid,SW1H 9AJ-CHAPS,,,0,Programme
Ministry of Justice,MoJ HQ,16-Jul-12,245000-Grants in Aid to NDPBs,KY340-Access to Justice Delivery,CRIMINAL CASES REVIEW COMMISSION#KY14611608,6552,,Grant-in-aid requirement for Arm's Length Body,B1 1TT,,,0,Grant
Ministry of Justice,MoJ HQ,04-Jul-12,245000-Grants in Aid to NDPBs,MD600-Information Directorate,INFORMATION COMMISSIONER'S OFFICE#MD10511597,1078315,,Grant-in-aid requirement for Arm's Length Body,SK9 5AF,,,0,Grant
Ministry of Justice,MoJ HQ,19-Jul-12,266000-Judicial Costs,MF600-Directorate of Judicial Offices,CALDER CONFERENCES LTD,1079467,"£25,695.33",Venue Hire relating to training events for Judiciary,LS16 6RF,SME,,0,Programme
Ministry of Justice,MoJ HQ,12-Jul-12,246000-Current Grants,RB999-JPG - CJRD,DOMESTIC VIOLENCE AND ABUSE SERVICE (SOUTH AND WEST DEVON),1078935,"£28,273.49",Payment of grant to voluntary sector organisations to provide specialist support from Victim & Witness General Fund,TQ12 1LZ,,,0,Grant
Ministry of Justice,MoJ HQ,12-Jul-12,246000-Current Grants,RB999-JPG - CJRD,LIGHTHOUSE WOMEN'S AID LTD TRADING AS IPSWICH WOMEN'S AID,1079035,"£29,903.50",Payment of grant to voluntary sector organisations to provide specialist support from Victim & Witness General Fund,IP1 1HE,SME,,0,Grant
Ministry of Justice,MoJ HQ,12-Jul-12,246000-Current Grants,RB999-JPG - CJRD,IPSWICH AND SUFFOLK COUNCIL FOR RACIAL EQUALITY,1079000,"£31,450.00",Payment of grant to voluntary sector organisations to provide specialist support from Victim & Witness General Fund,IP1 3EP,SME,,0,Grant
Ministry of Justice,MoJ HQ,12-Jul-12,246000-Current Grants,RB999-JPG - CJRD,NSPCC,1079074,"£48,407.47",Payment of grant to voluntary sector organisations to provide specialist support from Victim & Witness General Fund,EC2A 3NH,SME,,0,Grant
Ministry of Justice,MoJ HQ,12-Jul-12,246000-Current Grants,RB999-JPG - CJRD,THE SALVATION ARMY,1079198,"£500,000.00","RB311 - The Salvation Army acts as prime contractor, commissioning services on behalf of Govt for victims of trafficking. The contract is valued at £2m per annum, with payments of £500k per quarter starting on 1 October 2011.",SE1 6BN,,,0,Grant
Ministry of Justice,MoJ HQ,12-Jul-12,246000-Current Grants,RB999-JPG - CJRD,VICTIM SUPPORT,1079211,"£9,500,000.00",Payment of grant to voluntary sector organisations - Core Victim Support Grant,W1W 6JL,,,0,Grant
Ministry of Justice,MoJ HQ,12-Jul-12,246000-Current Grants,RB999-JPG - CJRD,DEVON RAPE CRISIS SERVICE LTD#RB31110215,1079079,,Payment of grant to voluntary sector organisations to provide specialist support from Victim & Witness Rape Support Fund,EX1 9TG,,,0,Grant
