Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/03/2015,ADDITIONSAUC F/H NON RES BLDGS,CABINET OFFICE ESTATE AGREED BY FD - DEL PROGRAMME,BOUYGUES E&S FM UK LTD,3000057917,104764.80,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/03/2015,CONSULTANTS VAT RECOVERABLE,ERG MAJOR PROJECTS TEAM,DELOITTE MCS LTD,3000057902,114902.36,Research support costs for procurement planning exercise ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/03/2015,ALL OTHER TRAINING AND DVEVELOPMENT NON VAT RECOVERABLE,FAST STREAM COSTS CS RESOURCING,HMRC,3000057904,252731.40,Fast stream programme costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/03/2015,OTHER IS IT COSTS VAT RECOV,CCS RESILIENT TELECOMMUNICATIONS,ORDNANCE SURVEY,3000057918,411233.09,Resilience Direct Development of Mapping,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/03/2015,OTHER IS IT COSTS VAT RECOV,FLEX,HM TREASURY,3000057913,3047190.32,IT costs - Flex contract,,,,,,,,,,
Cabinet Office,CABINET OFFICE,02/03/2015,RESOURCE GRANTS PRIVATE SECTOR,COMMUNITY FIRST,COMMUNITY DEVELOPMENT FOUNDATION,3000057938,3470750.00,Neighbourhood Matched Fund ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,04/03/2015,RESOURCE GRANTS PRIVATE SECTOR,OPEN DATA PROGRAMME,OPEN ADDRESSES LTD,1001199,382800.00,Delivery of exploration and discovery phase of open data project ,,,,,,,,,,
Cabinet Office,Crown Commercial Service,06/03/2015,Bravo Licence Costs,Enablement Projects,BravoSolution UK Ltd,PINORD 485,41650.00,Licences for spend analytics,,,,,,,,,,
Cabinet Office,Crown Commercial Service,06/03/2015,Maintenance & Repairs - IT,Enablement Projects,IBM UNITED KINGDOM LTD,PINORD 486,42564.00,eSourcing system licences ,,,,,,,,,,
Cabinet Office,Crown Commercial Service,06/03/2015,Maintenance & Repairs - IT,Enablement Projects,IBM UNITED KINGDOM LTD,PINORD 490,42564.00,eSourcing system licences ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GDS BUS DEV CONSULTANT AND STAFF COSTS,SKYSCAPE CLOUD SERVICES LTD,3000057940,147602.34,Hosting Service for GOV.UK,,,,,,,,,,
Cabinet Office,CABINET OFFICE,06/03/2015,STAFF RELATED COSTS,SME CONTRACT MANAGMENT LEAD,HM REVENUE & CUSTOMS,3000520,454548.00,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,LEEDS CITY COUNCIL,3000057949,40000.00,One Public Estate Grant to Birmingham City Council,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/03/2015,SOFTWARE LEASE/LICENSE,ERTP ERO DIGITAL,DEMOCRACY COUNTS,3000057944,47970.00,Individual Electoral Registration change requests costs to the Electoral Management System,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,CITIZENS UK,3000057947,50000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,MENCAP,3000057943,80000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,UK YOUTH,3000057946,90000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,MANCHESTER CITY COUNCIL,3000057948,100000.00,One Public Estate Grant to Manchester City Council,,,,,,,,,,
Cabinet Office,CABINET OFFICE,11/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,HOMELESS LINK,3000057951,100000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,Crown Commercial Service,12/03/2015,Legal Fees,Legal Services,Treasury Solicitors,PINORD 545,29264.33,Legal services ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/03/2015,FM CONTRACT VARIABLE,GPU RESIDUAL ESTATE ADMIN,MCFLETCH LTD,3000057955,30007.50,Estate services ,,,,,,,,,,
Cabinet Office,Crown Commercial Service,12/03/2015,Bravo Licence Costs,Enablement Projects,BravoSolution UK Ltd,PINORD 543,41650.00,Licences for spend analytics,,,,,,,,,,
Cabinet Office,Crown Commercial Service,12/03/2015,Legal Fees,Legal Services,Treasury Solicitors,PINORD 544,47235.20,Legal services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,12/03/2015,SOFTWARE LEASE/LICENSE,ERTP ERO DIGITAL,HALAROSE LTD,3000057956,96676.80,Individual Electoral Registration change requests costs to the Electoral Management System,,,,,,,,,,
Cabinet Office,Crown Commercial Service,12/03/2015,Legal Fees,Legal Services,Treasury Solicitors,PINORD 556,282900.64,Legal services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,OFFICE FOR CIVIL SOCIETY,RETHINK RECRUITMENT SOLUTIONS LTD,3000057957,27432.00,Transformation and Production Management Support,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/2015,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,COLQUHOUN INFORMATION TECHNOLOGY LTD TRADING AS CALBA,3000057962,29070.00,IT support for GDS projects ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/2015,STAFF TRAINING,CERT,CODENOMICON,2000597,40300.00,Cyber resilience services and analysis tools ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ERTP ERO CUSTOMER REGISTRATION,GLASGOW CITY COUNCIL,3000057958,41089.86,Funding for Electoral Registration Officers to address concerns around electoral integrity and promote confidence in the polls,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,ACTIVE CITIZENS FE,3000057964,60000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/2015,STAFF TRAINING,CERT,ESCAL INSTITUTE OF ADVANCED TECHNOLOGIES INC,2000595,101239.17,Cyber security training ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/2015,OTHER IS IT COSTS VAT RECOV,ERTP ERO DIGITAL,DUMFRIES & GALLOWAY,3000057961,160000.00,Individual Electoral Registration costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,13/03/2015,OTHER IS IT COSTS VAT RECOV,ISA 2 Prog,BANK OF ENGLAND,1001206,333333.33,Cyber Security Banking Guide,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/03/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,KAINOS SOFTWARE LTD,3000057965,35500.00,Individual Electoral Registration Live Service development costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/03/2015,CONSULTANTS VAT RECOVERABLE,MUTUALS,KPMG,3000057968,52800.00,Support provided under the Delivering Differently Programme for Walsall Council,,,,,,,,,,
Cabinet Office,CABINET OFFICE,16/03/2015,OTHER IS IT COSTS VAT RECOV,GDS ID ASSURANCE,SKYSCAPE CLOUD SERVICES LTD,3000057966,72169.49,Cost of identities under the Identity Provider Call-Off Contract,,,,,,,,,,
Cabinet Office,Crown Commercial Service,18/03/2015,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINORD 642,33294.57,Whitehall heating systems management,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,KAINOS SOFTWARE LTD,3000057977,35500.00,Individual Electoral Registration Live Service development costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/2015,OTHER IS IT COSTS VAT RECOV,ERTP ERO DIGITAL,CENTRAL SCOTLAND VALUATION JOINT BOARD,3000057973,36660.12,Individual Electoral Registration costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/2015,SUB-CONTRACTED TRAINING COURSE,ERTP ERO DELIVERY,IDOX SOFTWARE LTD,3000057980,39081.92,Election Management Systems training for Individual Electoral Registration ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,BIRMINGHAM CITY COUNCIL,3000057971,40000.00,One Public Estate Grant to Leeds City Council,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,GPU POLICY AND STRATEGY,LONDON BOROUGH OF CROYDON,3000057972,40000.00,One Public Estate Grant to London Borough of Croydon,,,,,,,,,,
Cabinet Office,Crown Commercial Service,18/03/2015,WSDS Maintenance & Repairs,Whitehall Standby Dist Systems,Cofely,PINORD 640,42218.92,Whitehall heating systems management,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/2015,OTHER IS IT COSTS VAT RECOV,ERTP IER LIVE SERVICE,FCO SERVICES,3000057974,80610.00,Individual Electoral Registration Live Service running costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,OPERATION BLACK VOTE,1001210,85000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,18/03/2015,RESOURCE GRANTS PRIVATE SECTOR,TECHNICAL ASSISTANCE,SOCIAL INVESTMENT BUSINESS,3000057978,1418911.00,Support to build the capacity of social ventures so they are better equipped to access to social investment and compete for and deliver public service contracts,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,CHESHIRE EAST BOROUGH COUNCIL,3000058174,25222.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,CHILDCARE VOUCHERS,HR REWARD AND EMPLOYEE RELATIONS TEAM,ACCOR TA EDENRED,1001214,27734.77,Childcare vouchers,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,CARMARTHENSHIRE COUNTY COUNCIL,3000058188,31186.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS PRIVATE SECTOR,CHARITABLE GIVING,INSTITUTE OF FUNDRAISING,3000058191,31750.00,Grant to promote payroll giving through Payroll Giving Awards and Payroll Giving Quality Mark,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,ROTHERHAM METROPOLITAN BOROUGH COUNCIL,3000058167,34586.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election and Individual Electoral Registration costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,WYCOMBE DISTRICT COUNCIL,3000058189,35641.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,NORTHUMBERLAND COUNTY COUNCIL,3000058168,41078.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,COVENTRY CITY COUNCIL,3000058173,41350.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,CITY & COUNCIL OF SWANSEA,3000058182,42208.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,WAKEFIELD DISTRICT COUNCIL,3000058179,45463.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,CORNWALL COUNCIL,3000058161,83740.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,NATIONAL UNION OF STUDENTS OF THE UK,1001211,380000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,RESOURCE GRANTS PRIVATE SECTOR,CENTRE FOR SOCIAL ACTION,SOCIAL INVESTMENT BUSINESS,1001213,1458438.21,"Grant for the Centre for Social Action to identify and accelerate the development and spread of high impact social action initiatives. Social action is about people coming together to help improve their lives and solve the problems that are important in their communities. It can include volunteering, giving money, community action or simple everyday neighbourly acts",,,,,,,,,,
Cabinet Office,CABINET OFFICE,20/03/2015,PENSIONS PAYROLL CONTRACTOR - FIXED FEE,SME CONTRACT MANAGMENT LEAD,MYCSP LTD,3000058157,2944547.41,Civil Service pension administration services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,CO IT SYSTEMS,CAPITA BUSINESS SERVICES LTD,3000058194,26153.53,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000058194,28367.94,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,CAPITA BUSINESS SERVICES LTD,3000058194,29402.05,Individual Electoral Registration costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG ASSURANCE REVIEWS,CAPITA BUSINESS SERVICES LTD,3000058194,32153.37,Assurance Reviewers for major project reviews,,,,,,,,,,
Cabinet Office,CABINET OFFICE,23/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG CROWN HOSTING,CAPITA BUSINESS SERVICES LTD,3000058194,42194.46,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/03/2015,RESEARCH AND DEVELOPMENT (VAT RECOVERABLE),COF ELECTIONS DIVISION,LAW COMMISSION,3000058201,31250.00,Funding of the Law Commission's Review of Electoral Law ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/03/2015,STAFF RELATED COSTS,HR CAPABILITY AND TALENT,HM REVENUE & CUSTOMS,3000526,34782.00,Civil Service Fast Steam Costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,24/03/2015,OTHER IS IT COSTS VAT RECOV,CERT,JIVE SOFTWARE INC,2000607,85025.00,Software Licences and Support,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,COACHING AND MENTORING,FAST STREAM COSTS CS RESOURCING,SAID BUSINESS SCHOOL,3000058661,25000.00,Fast stream programme costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,PUBLICITY ADVERTISING MEDIA,GREAT CAMPAIGN PROGRAMME,UK TRADE & INVESTMENT,3000058223,25000.00,GREAT Campaign,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,DATA SHARING,INVOLVE,3000058587,25000.00,Support for Open Policy Making Process on Data to gain insight and views from external stakeholders ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,NON PRIME PROPERTY COSTS,GPU RESIDUAL ESTATE ADMIN,CBGA ROBSON LLP,3000058496,25219.20,Rent for accommodation ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,CERT,CGI IT UK LTD,3000058419,25989.00,IT Development for CERT UK,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,SUB-CONTRACTED TRAINING COURSE,ERTP ERO DELIVERY,HALAROSE LTD,3000058570,26208.00,Election Management Systems training for Individual Electoral Registration ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CALL CHARGES,ICT SERVICES,VODAFONE LTD,3000058271,26590.59,Telecomms charges,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,NON PRIME UTILITIES,PMO FACILITIES MANAGEMENT,BOUYGUES E&S FM UK LTD,3000058692,27472.32,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,BRACKNELL FOREST BOROUGH COUNCIL,3000058428,27930.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,FM CONTRACT VARIABLE,FEM MISC,HM TREASURY,3000058487,28100.42,Facilities Management Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,CENTRE FOR SOCIAL ACTION,THE BEHAVIOURAL INSIGHTS TEAM,3000058525,28125.00,Evaluation of Youth Social Action Fund,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,CO IT SYSTEMS,VIGLEN LTD,3000058326,28285.95,Core Network Equipment costs ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,MANAGEMENT CONFERENCES,MANAGEMENT AND CENTRAL SUPPORT,DODS PARLIAMENTARY COMMUNICATION LTD,3000058454,28500.00,Civil Service Live costs ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG MAJOR PROJECTS TEAM,CAPITA BUSINESS SERVICES LTD,3000058641,29204.49,Assurance Reviewers for major project reviews,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,LORD LIEUTENANT OF WEST YORKSHIRE,3000058633,29583.75,First quarter advance expense payment to Her Majesty's Lord Lieutenancy,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS PRIVATE SECTOR,ERTP ERO CUSTOMER REGISTRATION,VINSPIRED,3000058414,30000.00,Funding to support activities to Maximise the Electoral Register,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,TELECOM SECURITY SERVICES,CCS RESILIENT TELECOMMUNICATIONS,MINISTRY OF DEFENCE,3000058452,30962.49,High Integrity Telecoms System Project Costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,ROYAL MAIL SERVICE PENSIONS,GOVERNMENT ACTUARYS DEPARTMENT GAD,3000058506,31010.21,Actuarial services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,STATIONERY/ PUBLICATIONS/IT CONSUMABLES,CABINET OFFICE REPROGRAPHICS (EX GCDA),NRG GROUP UK LTD,3000058274,31811.62,Reprographic Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,ALL OTHER TRAINING AND DEVELOPMENT VAT RECOVERABLE,ISA 2 Prog,QA LTD,3000058571,31875.00,Government Cyber Security Apprenticeships pilot for annual training of 5 people ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,GPU POLICY AND STRATEGY ADMIN,CAPITA BUSINESS SERVICES LTD,3000058641,32822.48,Interim staff costs ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,GDS Enabling Strategy,CLOUDREACH LTD,3000058612,33150.00,Business analysis services provided to Enabling Strategy,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,ADDITIONSAUC F/H NON RES BLDGS,MODERNISATION PROGRAMME DS 13/14,BOUYGUES E&S FM UK LTD,3000058692,34076.58,Estate Services,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,DOVER DISTRICT COUNCIL,3000058460,34506.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election and Individual Electoral Registration costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONTRACTORS & STAFF SUBSTITUTIONS,ERG NEXT GENERATION SHARED SERVICES,CAPITA BUSINESS SERVICES LTD,3000058674,35329.88,Interim IT Specialists ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,BEDFORD BOROUGH COUNCIL,3000058492,35520.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,GRANT FUND MANAGEMENT,CENTRE FOR SOCIAL ACTION,SOCIAL INVESTMENT BUSINESS,3000058597,36639.60,Management of Centre for Social Action grant funds ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,CONSULTANTS VAT RECOVERABLE,YOUTH POLICY,SOCIAL ENTERPRISE SUPPORT CENTRE,3000058404,36800.00,Delivering Differently for Young People programme costs,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,RESOURCE GRANTS LOCAL AUTHORIT,ELECTORAL REGISTRATION TRANSFORMATION PROGRAMME,BRIGHTON & HOVE CITY COUNCIL,3000058287,37103.00,Funding to support the completeness and accuracy of the Electoral Register ahead of the General Election,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,OTHER IS IT COSTS VAT RECOV,GDS TRANSFORMATION,KAINOS SOFTWARE LTD,3000058599,37620.00,IT support for GDS projects ,,,,,,,,,,
Cabinet Office,CABINET OFFICE,25/03/2015,LORD LIEUTENANTS EXPENSES,LORD LIEUTENANTS,WEST MIDLANDS LIEUTENANCY,3000058634,39160.25,First quarter advance expense payment to Her Majesty's Lord Lieutenancy,,,,,,,,,,
