Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,Amount,VAT Registration Number
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Arts bodies,Arts Council of England,50000084,"58,000,000.00",ACE GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant to Public Broadcasting Corporation,Home Broadcasting:Grant to BBC,British Broadcasting Corporation,50000059,"35,674,750.00",BBC GIA APR 2012-PT1
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA British Film Institute,British Film Institute,50000081,"3,019,615.00",BFI GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,Churches Conservation Trust,50000047,"500,000.00",CCT GIA APRIL 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Geffrye Museum,50000082,"143,584.00",GM GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,IT Consumables,GOE Admin Costs,Govt Communications Bureau,30025891,"51,943.37",NETWORK/HARDWARE PROVISION
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Horniman Museum,50000083,"320,000.00",HM GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Imperial War Museum,50000051,"2,026,251.00",IWM GIA APRIL 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Mus Libs Archives x-sector,Museums Libraries and Archives Council,50000058,"113,000.00",MLA CORE GIA APR 12
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Architecture+Heritage,National Heritage Memorial Fund,50000080,"5,000,000.00",NHMF GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Museums & Galleries Merseyside,50000053,"1,815,060.00",NML GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,National Portrait Gallery,50000069,"606,417.00",NPG GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Natural History Museum,50000054,"3,813,000.00",NHM GIA APR 12
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Subsidy to PC,OFCOM,OFCOM,30025822,"73,907.00",Q1 MARCH EX POST COMPETITION
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Capital Grants to PCs,OFCOM,OFCOM,30025823,"4,512,000.00",Q1 MARCH SPECTRUM MANAGENT
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Olympic Delivery Authority,Olympic Delivery Authority (Citi Tfr),50000064,"63,200,000.00",ODA GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Libraries bodies,Public Lending Right,50000066,"47,192.00",PLR GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA S4C Welsh Fourth Channel,S4C-Sianel Pedwar Cymru,50000074,"7,000,000.00",S4C GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Science Museum Group,50000055,"3,647,250.00",NMSI GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,Sir John Soane's Museum,50000067,"93,141.00",SJSM GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport England,50000078,"19,000,000.00",SE GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Sports bodies,Sport Ground Safety Authority,50000045,"98,000.00",SGSA GIA APR 2012
Department for Culture Media and Sport,Department for Culture Media and Sport,02/04/2012,Grant-in-Aid (DCMS NDPBs),GIA Museums & Galleries,The Royal Armouries,50000056,"897,000.00",RA GIA APR 12
