Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,DEFRA,01/12/2016,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,FINANCIAL TRANSACTIONS,CAPITA BUSINESS SERVICES LTD,1003009911,73089.19,FEES & EXPENSES INCLUDED WITHIN PERIOD ENDING : 19/11/2016,SL6 1DP,SUPPLIER,,0,Expense, GB618184140
DEFRA,DEFRA,01/12/2016,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CURRENT PAYMENTS,ANIMAL HEALTH: PUBLIC HEALTH,SOUTH WESTERN B P S (UK) LTD,1003009884,58328.15,CUST NO ZDEF0010,DL1 9HN,SUPPLIER(1),17731,0,Expense,134179516
DEFRA,DEFRA,01/12/2016,EXP - PURCHASE OF GOODS/SERV - ICT OUTSOURC & MAINT/SUPP - APPLICATION SUPPORT,CROSS GOVT INTEGRATION,IBM UNITED KINGDOM LTD,1003009917,39650.64,"APR 14G-006-11, PERIOD FROM 30/09/2016 TO 28/10/2016",GU1 2LD,SUPPLIER,10040,DEA12070,Expense,
DEFRA,DEFRA,02/12/2016,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,ENVIRONMENT AGENCY,30000065,130000000,GRANT IN AID PAYMENT,BS1 5AH,SUPPLIER,,0,Expense,662 4901 34
DEFRA,DEFRA,02/12/2016,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,NATURAL ENGLAND,30000064,10000000,NE01122016GIA,YO1 7PX,SUPPLIER,,0,Expense,551065074
DEFRA,DEFRA,02/12/2016,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,ENVIRONMENT AGENCY,30000065,10000000,GRANT IN AID PAYMENT,BS1 5AH,SUPPLIER,,0,Expense,662 4901 34
DEFRA,DEFRA,02/12/2016,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,ROYAL BOTANIC GARDENS KEW,10000494,2000000,RBG-KEW01122016GIA,TW9 3AB,NDPB,,0,Expense,
DEFRA,DEFRA,05/12/2016,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,MARINE MANAGEMENT ORGANISATION,10000499,300000,MMO01122016GIA,NE4 7YH,NDPB,,0,Expense,990 8229 84
DEFRA,DEFRA,05/12/2016,EXP - PURCHASE OF G&S - ICT OUTSOURCING & MAINT/SUPPORT - COMPUTER & IT SERVICES,NON IBM IT SERVICES,NATURAL ENGLAND,2003000356,78942.7,REIMBURSEMENT TO NE OF TIBCO LICENCES,YO1 7PX,SUPPLIER,DFP,DEA10321,Expense,551065074
DEFRA,DEFRA,05/12/2016,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CURRENT PAYMENTS,TB,LAND BASED LEARNING LTD,1003010068,49000,"CONTRACT FOR THE BOVINE TB BIOSECURITY, REF- 23008",NN2 7AL,SUPPLIER,23008,DEA10195,Expense,251623329
DEFRA,DEFRA,05/12/2016,EXP - PURCHASE OF GOODS/SERVICES - OTHER - CURRENT PAYMENTS,ANIMAL DISEASE CONTROL,BAT CONSERVATION TRUST,1003010048,25188,CONTRACT EXTENSION 1/4/16 TO 31/3/17,SE11 5RD,CUSTOMER,16926,0,Expense,877 1587 73
DEFRA,DEFRA,06/12/2016,EXP - CURRENT GRANTS TO CENTRAL GOVERNMENT,FLS - OFFICIAL DEVELOPMENT ASSISTANCE,DEPARTMENT OF ENERGY AND CLIMATE CHANGE,2003000360,1925000,HADLEY CENTRE RECHARGES APR-SEP16,SW1A 2HD,OGD,IGS,0,Expense,888848925
DEFRA,DEFRA,06/12/2016,EXP - CURRENT GRANTS TO CENTRAL GOVERNMENT,FLS - OFFICIAL DEVELOPMENT ASSISTANCE,DEPARTMENT OF ENERGY AND CLIMATE CHANGE,2003000360,962500,DECC014- HADLEY CENTER RECHARGES FOR ICP,SW1A 2HD,OGD,IGS,0,Expense,888848925
DEFRA,DEFRA,06/12/2016,EXP - GRANT-IN-AID TO ARMS LENGTH BODIES,CORPORATE FINANCE,JOINT NATURE CONSERVATION COMMITTEE,10000500,780000,JNCC01122016GIA,PE1 1JY,NDPB,,0,Expense,
