Department family,Entity,Date,Expense type,Expense area,Supplier,Transaction number,Amount ,VAT registration number
DEFRA,Environment Agency,04-May-10,Audit Services,Finance Service Centre,National Audit Office,841546,"90,000.00",417632457
DEFRA,Environment Agency,11-May-10,Audit Services,NLS Central Functions,LGC Ltd,850005,"50,345.89",674056721
DEFRA,Environment Agency,11-May-10,Audit Services,NLS Support Nottingham,LGC Ltd,850005,"50,345.89",674056721
DEFRA,Environment Agency,25-May-10,Building Management,AN Regional Facilities,Peterborough City Council,834677,"189,979.74",121533513
DEFRA,Environment Agency,25-May-10,Building Management,AN Regional Facilities,Peterborough City Council,834672,"58,335.77",121533513
DEFRA,Environment Agency,13-May-10,Building Management,FM Operating Unit - Central and South East,DEFRA,851123,"26,908.18",888800181
DEFRA,Environment Agency,25-May-10,Building Management,FM Operating Unit - Central and South West,Solihull Metropolitan Borough Council,832276,"113,850.00",111979171
DEFRA,Environment Agency,25-May-10,Building Management,MI Regional Facilities,Solihull Metropolitan Borough Council,832273,"157,361.54",111979171
DEFRA,Environment Agency,18-May-10,Building Management,Nat Trading and Reg Services,Siemens IT Solutions & Services Ltd,852635,"25,057.17",479985260
DEFRA,Environment Agency,25-May-10,Building Management,NE Facilities,Leeds City Council,832470,"178,020.00",171459162
DEFRA,Environment Agency,25-May-10,Building Management,NE Facilities,Leeds City Council,832483,"117,486.64",171459162
DEFRA,Environment Agency,25-May-10,Building Management,NE Facilities,Leeds City Council,831672,"34,362.00",171459162
DEFRA,Environment Agency,25-May-10,Building Management,NLS Support Leeds,Leeds City Council,832477,"109,684.45",171459162
DEFRA,Environment Agency,25-May-10,Building Management,NW Regional Facilities,Warrington Borough Council,832166,"204,385.14",152847160
DEFRA,Environment Agency,25-May-10,Building Management,NW Regional Facilities,Warrington Borough Council,832169,"198,694.52",152847160
DEFRA,Environment Agency,25-May-10,Building Management,SO Regional Facilities,Worthing Borough Council,832153,"152,644.55",193624349
DEFRA,Environment Agency,18-May-10,Building Management,TH South East-Tidal Defence Mgr,Port of London Authority,852641,"80,001.87",243633669
DEFRA,Environment Agency,25-May-10,Building Repair & Maintenance,Bristol 2010,Westmark Cabot Ltd,856629,"378,059.06",227179454
DEFRA,Environment Agency,04-May-10,Building Repair & Maintenance,MI Regional Facilities,Integrated Water Services Ltd,844613,"38,491.06",834846794
DEFRA,Environment Agency,11-May-10,Building Repair & Maintenance,NE Capital WiP,Lumsden & Carroll Construction Ltd,848184,"58,915.22",177995292
