Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Supplier Post Code,Transaction Number,Payment Description,Total
Ministry of Defence,Ministry of Defence,18/03/2014,Rent and rates,DEFENCE INFRASTRUCTURE,ANNINGTON RECEIVABLES LTD,W1U 1DR,317738,Rent UK married quarters - operating lease payments,"40,211,109.15"
Ministry of Defence,Ministry of Defence,18/03/2014,Property leases,DEFENCE INFRASTRUCTURE,ASPIRE DEFENCE LIMITED,SP9 7QD,317748,Property dwellings private finance initiative - service concession arrangement service charge,"23,318,990.59"
Ministry of Defence,Ministry of Defence,24/03/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE,DAVITT JONES BOULD LTD,TA1 4EB,320003,Fiscal asset under construction - capital in year addition,"21,387,750.00"
Ministry of Defence,Ministry of Defence,14/03/2014,Estate management,DEFENCE INFRASTRUCTURE,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,316693,Estate core services charge,"10,621,016.34"
Ministry of Defence,Ministry of Defence,21/03/2014,Estate management,DEFENCE INFRASTRUCTURE,CARILLIONENTERPRISE LIMITED,B75 7RL,319386,Estate core services charge,"9,722,511.21"
Ministry of Defence,Ministry of Defence,24/03/2014,Grants to NDPBs,DEFENCE INFRASTRUCTURE,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,319992,Grant in aid to the council of reserve forces and cadet associations,"9,556,038.00"
Ministry of Defence,Ministry of Defence,13/03/2014,Property leases,DEFENCE INFRASTRUCTURE,MODUS SERVICES LIMITED,SW1A 2HB,316253,Property non dwellings private finance initiative - service concession arrangement service charge,"7,056,960.54"
Ministry of Defence,Ministry of Defence,13/03/2014,Estate management,DEFENCE INFRASTRUCTURE,BABCOCK DYNCORP LIMITED,PE28 2EA,315988,Estate core services charge,"6,867,709.43"
Ministry of Defence,Ministry of Defence,27/03/2014,IT and communication services,Defence Equipment + Support,MICROSOFT LTD,(blank),322043,Information technology services,"6,317,850.00"
Ministry of Defence,Ministry of Defence,27/03/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE,DEBUT SERVICES LIMITED,B75 7RL,321779,Fiscal asset under construction - capital in year addition,"6,174,906.43"
Ministry of Defence,Ministry of Defence,26/03/2014,Estate management,DEFENCE INFRASTRUCTURE,LANDMARC SUPPORT SERVICES LIMITED,SP3 4RS,321325,Estate core services charge,"6,032,505.33"
Ministry of Defence,Ministry of Defence,11/03/2014,Payment of utilities,DEFENCE INFRASTRUCTURE,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,315035,Utilities consumed - electricity,"6,025,634.56"
Ministry of Defence,Ministry of Defence,14/03/2014,Property leases,DEFENCE INFRASTRUCTURE,RMPA SERVICES PLC,CO2 7ST,317042,Property dwellings private finance initiative - service concession arrangement service charge,"5,965,742.13"
Ministry of Defence,Ministry of Defence,21/03/2014,Estate management,DEFENCE INFRASTRUCTURE,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,319571,Estate core services charge,"5,754,131.73"
Ministry of Defence,Ministry of Defence,14/03/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE,DEBUT SERVICES (SOUTH WEST)LIMITED,BA1 5AB,316693,Fiscal asset under construction - capital in year addition,"5,517,998.70"
Ministry of Defence,Ministry of Defence,13/03/2014,Estate management,DEFENCE INFRASTRUCTURE,BABCOCK DYNCORP LIMITED,PE28 2EA,315988,Works - estate management,"5,505,159.75"
Ministry of Defence,Ministry of Defence,05/03/2014,Fees for professional services,Land Forces,CAPITA BUSINESS SERVICES LTD,DL1 9HN,312371,Fees for professional services excluding legal fees,"5,326,480.74"
Ministry of Defence,Ministry of Defence,11/03/2014,Estate management,Land Forces,HOLDFAST TRAINING SERVICES LTD,ME4 4UG,315080,Estate + facilities management services - accommodation inventory + service,"5,318,476.49"
Ministry of Defence,Ministry of Defence,28/03/2014,Estate management,DEFENCE INFRASTRUCTURE,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,322873,Estate core services charge,"5,058,361.36"
Ministry of Defence,Ministry of Defence,26/03/2014,Design services and minor equipment purchases,Defence Equipment + Support,BAE SYSTEMS INTEGRATED SYSTEM TECHNOLOGIES LIMITED,CM1 1QW,321110,Equipment support non-project costs,"5,003,727.40"
Ministry of Defence,Ministry of Defence,10/03/2014,Payment of utilities,DEFENCE INFRASTRUCTURE,EDF ENERGY CUSTOMERS PLC,PL3 5XQ,314522,Utilities consumed - electricity,"4,034,623.98"
Ministry of Defence,Ministry of Defence,10/03/2014,Estate management,DEFENCE INFRASTRUCTURE,MODERN HOUSING SOLUTIONS (PRIME)LIMITED,PE28 4QG,314657,Estate core services charge,"3,872,458.65"
Ministry of Defence,Ministry of Defence,24/03/2014,Purchase of buildings and military equipment ,DEFENCE INFRASTRUCTURE,COUNCIL OF RESERVE FORCES' AND CADETS' ASSOCIATIONS,EC2A 4EY,319992,Fiscal asset under construction - capital in year addition,"3,843,042.11"
Ministry of Defence,Ministry of Defence,14/03/2014,Property leases,DEFENCE INFRASTRUCTURE,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,316841,Property non dwellings private finance initiative - service concession arrangement service charge,"3,659,387.45"
Ministry of Defence,Ministry of Defence,27/03/2014,Rental of plant and machinery,Defence Equipment + Support,ALC (SPC) LIMITED,OX25 2LD,321645,Plant + machinery private finance initiative - service concession arrangements service charge,"3,571,247.64"
Ministry of Defence,Ministry of Defence,07/03/2014,Property leases,DEFENCE INFRASTRUCTURE,SEVERN TRENT SERVICES DEFENCE LIMITED,B37 7YG,314235,Property non dwellings private finance initiative - service concession arrangement service charge,"3,565,023.63"
Ministry of Defence,Ministry of Defence,12/03/2014,Property leases,DEFENCE INFRASTRUCTURE,KELDA WATER SERVICES (ESTATES) LIMITED,S75 3JR,315643,Property non dwellings private finance initiative - service concession arrangement service charge,"3,457,543.17"
