Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/01/2013,Publicity & advertising,External Relations,M AND C SAATCHI UK LTD,LARGE,W1F 9EE,101414,55470.00 ,"M&C Be Food Smart Fees, Jan 13",Programme,
Department of Health,Department of Health,01/01/2013,Expense clearing GPC (ST),CENTRAL TECHNICAL,BARCLAYCARD BUSINESS,SME,TS17 6YG,3102001-07-JAN-13,47378.67 ,,Other,
Department of Health,Department of Health,01/01/2013,Outsourcing Contract,Public Health,SOLUTIONS STRATEGY RESEARCH FACILITATION LTD,SME,NN12 8EQ,400,-38280.00 ,Genomics research - public & stakeholder consultation. ,Programme,
Department of Health,Department of Health,01/01/2013,Outsourcing Contract,Goverance Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201303344,44993.41 ,CSC Labour charges for Discovery Phase work,Admin,
Department of Health,Department of Health,01/01/2013,Outsourcing Contract,Goverance Operations & Assurance,CSC COMPUTER SCIENCES LTD,LARGE,PR1 8UQ,5201303344,5003.22 ,Expenses - to complete the work for this WAF,Admin,
Department of Health,Department of Health,01/01/2013,Printing,Goverance Operations & Assurance,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900098377,23719.90 ,Xerox - Reprographics  - Management Fees 2012 - 2013,Admin,
Department of Health,Department of Health,01/01/2013,Printing,Goverance Operations & Assurance,XEROX BUSINESS SERVICES,LARGE,UB8 1HS,900098377,5451.99 ,Xerox Reprographics charges to account for charges to the end of financial year 2013 (PO493875),Admin,
Department of Health,Department of Health,02/01/2013,Research & development,Research & Development,RAND EUROPE CIC,SME,CB4 1YG,13056/09107-15,26033.00 ,Other PRP Research,Programme,
Department of Health,Department of Health,02/01/2013,Other programme expenditure,Social Care,DEVON AND CORNWALL CONSTABULARY,PUBLIC,EX2 7HQ,6017606,70000.00 ,Devon & Cornwall Police - Police Early Adopter Wave 1 Year 2 funding - Development of potential commissioning models to inform the diversion work programme,Programme,
Department of Health,Department of Health,02/01/2013,Other programme expenditure,Social Care,DEVON AND CORNWALL CONSTABULARY,PUBLIC,EX2 7HQ,6017606,67000.00 ,Services provided by Ivan Tretheway to the national early adopters projectl commissioning models to inform the diversion work programme,Programme,
Department of Health,Department of Health,02/01/2013,Policy Payments,Public Health,MINISTRY OF DEFENCE (MOD),PUBLIC,L2 3YL,7290940,203858.90 ,Ministry of Defence UK Personell Teritiary Care provided by Germany Health care costs,Programme,
Department of Health,Department of Health,02/01/2013,Outsourcing Contract,Public Health,NHS SUPPLY CHAIN,PUBLIC,DE55 4QJ,9043000009,2905228.00 ,NHS Supply Chain - SFVS Distributor funding 2012/13,Programme,
Department of Health,Department of Health,02/01/2013,CFH Cash,CENTRAL TECHNICAL,NHS CONNECTING FOR HEALTH,PUBLIC,LS1 4HY,FUNDING JANUARY 2013,10000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ISLE OF WIGHT NHS PCT,PUBLIC,PO30 5TG,HAFS-14857,12000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,ISLINGTON PCT,PUBLIC,NW1 2LT,HAFS-14858,41000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KENSINGTON AND CHELSEA PCT,PUBLIC,W10 6DZ,HAFS-14859,25000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KINGSTON PCT,PUBLIC,KT5 9AL,HAFS-14860,21000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KIRKLEES PCT,PUBLIC,WF3 1WE,HAFS-14861,49000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,KNOWSLEY PCT,PUBLIC,L33 7XW,HAFS-14862,25563000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LAMBETH PCT,PUBLIC,WF3 1WE,HAFS-14863,50000000.00 ,,Other,
Department of Health,Department of Health,02/01/2013,CASH FUNDING Rev Inside RAB,CENTRAL TECHNICAL,LEEDS PCT,PUBLIC,WF3 1WE,HAFS-14864,100865000.00 ,,Other,
