Organisation,,Partnerships for Schools,,,,,,
Submitted By,,,,,,,,
Spend Tolerance,,"£25,000",,,,,,
Month,,01.11.2010 to 30.11.2010,,,,,,
Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount Including VAT,VAT Registration Number
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,288977,133027.43,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,288979,135252.25,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,288985,88407,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,288993,50451.09,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,288997,170335.48,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,289003,127930.47,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7,289005,63103.26,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,KINGS COLLEGE CAPITAL ACCOUNT,289013,53911.75,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,ST MARYS CHURCH PRIMARY SCHOOL 2-NORTHAMPTON COUNTY COUNCIL,289015,40185,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,GURU NANAK SIKH VA SCHOOL,289019,309109.26,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,DURHAM COUNTY COUNCIL,289021,1862121.5,
DfE,PfS,01/11/2010,Capital Grant,Schools Capital and Revenue Grants,LINCOLNSHIRE COUNTY COUNCIL,289023,43938,
DfE,PfS,01/11/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,289025,81615.05,
DfE,PfS,01/11/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,CARDINAL HEENAN SCHOOL SERVICES LTD JARVIS,289027,55179.69,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,289266,59636.24,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,289276,65457.65,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,289278,69642.88,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,289284,34914.04,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,PETERBOROUGH DIOCESEN BOARD OF FINANCE (PROPERTY ACCOUNT),289288,101917.94,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,289290,598066.99,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,ST PETER ROMAN CATHOLIC SCHOOL FUND NO 2 ACCOUNT,289292,44456.18,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,GOVERNORS OF GREAT YARMOUTH VA HIGH SCHOOL,289296,176169.76,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,CHELMSFORD DIOCESAN BOARD OF FINANCE,289298,28854.97,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,PORTSMOUTH ROMAN CATHOLIC DIOCESE TRUSTEES REGISTERED SCHOOLS CONDITION SCHEME NO 2 ACCOUNT,289300,92425.5,
DfE,PfS,02/11/2010,Capital Grant,Schools Capital and Revenue Grants,NOTRE DAME ROMAN CATHOLIC SCHOOL FUND ACCOUNT,289308,25000,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,ROCHESTER DIOCESAN BOARD OF EDUCATION,289430,39883.37,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,WORCESTER DIOCESE BOARD FOR EDUCATION GENERAL,289434,34613.72,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,289438,122877.78,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,LONDON DIOCESAN BOARD FOR SCHOOLS ACCOUNT,289440,136398.95,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE,289444,86542.86,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,LIVERPOOL ARCHDIOCESIAN SCHOOL REPAIR ACCOUNT,289448,241124.67,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,289450,30395.91,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWARK DIOCESAN BOARD OF EDUCATION NO.4 ACCOUNT,289452,136381.26,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,289454,29060.01,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,SALFORD ROMAN CATHOLIC DIOCESE DEVOLVED FORMULA CAPITAL 1 ACCOUNT,289456,51030.18,
DfE,PfS,04/11/2010,Capital Grant,Schools Capital and Revenue Grants,PEDMORE CE SCHOOL,289460,42477.05,
DfE,PfS,04/11/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,289502,177597.43,
DfE,PfS,04/11/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,ROMAN CATHOLIC DIOCESE HEXHAM AND NEWCASTLE - ST JOSEPHS,289504,48517.82,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,289618,28863.68,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,OXFORD DIOCESAN COUNCIL OF EDUCATION,289620,44772.79,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,CANTERBURY DIOCESAN BOARD OF EDUCATION,289622,220095,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DIOCESAN EDUCATION COMMITTEE NEWCASTLE,289626,44596.34,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,ELY DIOCESAN BOARD OF EDUCATION BARCHEST,289632,46916.16,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,YORK DIOCESAN BOARD OF FINANCE,289634,188143.21,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,289642,148802.71,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,289644,41426.9,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,THE LATYMER SCHOOL,289648,30931.88,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7,289652,31916.98,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,DURHAM DIOCESAN BOARD OF FINANCE SCHOOLS BUILDINGS SERVICES,289660,105614.44,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,EDUCATIONAL DEVELOPMENT LTD - SCHOOLS ACCOUNT,289662,43090.96,
DfE,PfS,05/11/2010,Capital Grant,Schools Capital and Revenue Grants,ST HELENS METROPOLITAN BOROUGH COUNCIL,289666,70157.93,
DfE,PfS,05/11/2010,VA Schools PFI Payments,Schools Capital and Revenue Grants,STOKE/BIRMINGHAM DIOCESE SCHOOLS PRIVATE FINANCE INITIATIVE ACCOUNT,289668,277992.85,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,289776,26105.43,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,SOUTHWELL DIOCESAN EDUCATION COMMITTEE NEWCASTLE,289778,39001.27,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,NORWICH DIOCESAN BOARD OF FINANCE LIMITED,289784,198437.16,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,ROMAN CATHOLIC ARCHDIOCESE OF SOUTHWARK,289786,131801.64,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,BLACKBURN DIOCESAN BOARD OF EDUCATION BARCHESTER,289788,85305.64,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,EXETER DIOCESAN BOARD OF FINANCE CHURCH,289790,63000,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,GUILDFORD DIOCESAN BOARD OF FINANCE SCHO,289794,136426.2,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,BIRMINGHAM ROMAN CATHOLIC DIOCESAN TRUSTEES REGISTERED DEVOLVED,289798,62294.63,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,THE LATYMER SCHOOL,289800,37308.6,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 5,289802,152372.38,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,LANCASTER SCHOOL BUILDING FUND ACCOUNT,289804,114807.75,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,SHREWSBURY DIOCESAN SCHOOLS ACCOUNT,289806,25877.93,
DfE,PfS,08/11/2010,Capital Grant,Schools Capital and Revenue Grants,ST PHILIP HOWARD ROMAN CATHOLIC HIGH SCHOOL FUND ACCOUNT,289808,263792.84,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,MANCHESTER DIOCESAN BOARD OF EDUCATION,290619,25871.74,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,LINCOLN DIOCESEN TRUSTESS BOARD OF FINANCE LTD,290621,45000,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,SALISBURY DIOCESAN BOARD OF EDUCATION,290625,107898.98,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,TRUSTEES OF THE DIOCESE OF LEEDS,290627,85054.97,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,DERBY DIOCESAN COUNCIL OF EDUCATION,290629,30334.3,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,CHICHESTER DIOCESAN BOARD OF FINANCE 11,290631,32915.62,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,LICHFIELD DIOCESAN EDUCATION COUNCIL BARCHESTER,290633,121417.08,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,LEICESTER DIOCESAN BOARD OF EDUCATION,290641,25700.19,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,CLIFTON CATHOLIC DIOCESAN TRUSTEES REGISTERED,290643,392057.77,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,WAKEFIELD DIOCESAN COUNCIL OF EDUCATION,290649,46847.09,
DfE,PfS,10/11/2010,Capital Grant,Schools Capital and Revenue Grants,ARCHDIOCESE OF LIVERPOOL SCHOOL CAPITAL ACCOUNT NO 7,290657,63789.64,
