EXAMPLES OF GPC EXPENDITURE,,,,
,,,,
Merchant Category Group/Code narrative,Examples of Expenditure,,,
,,,,
"Bars, restaurants and nightclubs",·         Small hotels provided by our Hotel provider are classed under this heading ,,,
,"·         Meals/subsistence while on detached duty, military operations and training exercises ",,,
Fireplace,·         Repairs to ovens in kitchens,,,
Gifts/cards/novelty shops and video amusement game supply,·         Trainee visits to the Royal Armouries as part of their training to see the history of weaponry and guns.,,,
,"·         Video Games, puzzles etc for rest and recuperation for personnel serving in Afghanistan",,,
"Hobby, Toys and games","·         For schools educating Service children overseas, models of military equipment for presentations to schools",,,
Florists,·         Wreaths for Military personnel killed while in Service ,,,
,"·         Upkeep of the Defence estate, particularly military establishments",,,
Music shops and Bands/Orchestras,·         Musical instruments purchased for the various military bands and the Royal School of Music,,,
Dry cleaning,"·         The procurement, rental and maintenance of washing machines  ",,,
,·         The provision of laundry facilities for Military personnel,,,
Jewellery,·         Maintenance of clocking-in machines at MOD establishments,,,
,·         New location signs,,,
,·         The provision of dog tags for military personnel ,,,
,·         Warrant card holders for the MOD Police,,,
,·         Kilt pins for school uniforms,,,
,·         CCTV/Alarm systems,,,
Gym equipment,·         The purchase of physical training equipment for military gyms and schools,,,
Arts and Craft Shops,·         Insignia for military band instruments,,,
,·         Mock up models for military visits to schools ,,,
,·         Military recruitment banners,,,
Cinema trips,·         Hire of venues by the Army Presentation team ,,,
,·         Leisure activity as part of the training for new junior soldiers,,,
Tourist attractions and exhibits,·         Acquaint visits for potential recruits to the Royal Navy,,,
,·         Costs related to the annual Navy Day,,,
,·         Adventure training courses including hire of facilities and instruction,,,
,·         Hire of coaches,,,
Cosmetics,·         Demineralised water for radar systems,,,
,·         Air fresheners for waiting areas and toilets in Military Careers Offices,,,
Leisure Activities/Recreation services,"·         Payment to local radio companies for ""advertising space"" by the Military Recruiting Teams",,,
,·         Payment for a Mountain Rescue Winter Climbing Training Courses for the Search and Rescue Teams,,,
,·         Coach hire for pre deployment training,,,
,·         Diving courses for Army divers,,,
Theatrical Producers,·         Ferry bookings,,,
,·         Venues for MOD Recruiting Teams and Presentation Teams,,,
,·         Army Officer training as part of cultural awareness,,,
Bowling Alleys,·         Leisure activities/team building for junior soldiers as part of their Army training programme,,,
Health and Beauty Spas,·         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category,,,
Shoe Stores,·         Specialist boots on health grounds for Military staff,,,
Pet stores/Food & Supply,·         Food and Supplies for the Defence Animal Centre and MOD Police and guard dogs,,,
Books and Periodicals,·         Books and publications for our libraries and schools that are not available on contract e.g. second hand books ,,,
Beauty and Barber shops,·         Specialist Medical and trauma training,,,
Speciality Cleaning/Polishing,"·         Industrial leak and spill management, industrial safety and plant maintenance products",,,
Tailor/Seamstress/Alters,"·         Ceremonial clothing e.g. Trooping the Colour, Queens Birthday parade",,,
,·         Mounting  of military medals on uniforms,,,
Children/Infants wear stores,·         Some retailers in this category also supply adult clothing/products ,,,
,·         Specialist clothing requiring motifs e.g. t-shirts for the Red Arrows,,,
,·         Equipment for battle field tests,,,
,·         Items for our schools and sponsorship of sports clothing for local schools with military logos,,,
Mens/Womens Clothing Stores,·         Specialist Outdoor Clothing e.g. adventure training clothing,,,
,·         Purchase of items of uniform from specialist Suppliers,,,
Advertising Services,"·         Payment to local radio companies and Newspapers for ""advertising space"" by the Military Recruiting Teams   ",,,
,·         Sign making Services,,,
,·         Exhibition displays,,,
Commercial Photo/Art/Graph,·         Safety Sign making Services,,,
Management/Consult/Public Relations Services,·         Specialist training providers,,,
,·         Payments to Professional Bodies,,,
Civic/Social/Fraternal Associations,·         Payments to Professional Bodies,,,
,·         Payments to Local Councils,,,
Statutory Bodies - Fines,·         Payments to the Police for advanced driving courses,,,
Cable/Pay TV Services,·         Sky installations for MOD establishments and ships,,,
Boat Dealers,·         Repairs to ships and boats,,,
,·         Purchase of specialist paint for ships,,,
Dentists/Orthodontists,·         Dental equipment for Military staff dental check ups,,,
General Retail – Women’s Access/Speciality,·         Waterproof Clothing and products for Adventure training ,,,
,·         Waterproof Clothing for Search and Rescue teams ,,,
Timeshare,·         Temporary accommodation (short term holiday home let) for Service Families awaiting Service Accommodation ,,,
Pkg Stores/Beer/Wine/Liquor,·         The purchase of alcohol for cooking purposes at the Defence School of Catering for trainee chefs.,,,
,·         The provision and payment of Catering courses,,,
Member Clubs/Sport/Rec/Golf,·         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category,,,
,·         Military training courses,,,
,·         Adventure training courses including hire of facilities and instruction,,,
Detective/Protective Agency,·         CCTV Equipment,,,
,·         Threat Detection Equipment,,,
Variety Stores,·         Specialist boots on health grounds for Military staff,,,
,·         Security Equipment,,,
,·         Survival Equipment,,,
,·         Calor Gas Supplies,,,
,·         Pressure Washers/Steam Cleaners,,,
Public Golf Courses,·         Some of the hotels booked by our Hotel provider for staff on detached duty fall into this category,,,
Art Dealers and Galleries,·         Digital images/photographs and the copyright to use those digital images/photographs in Departmental publications/presentations,,,
Stamp and Coin stores,"·         The manufacture and payment for coins for ""gifting"" purposes",,,
,,,,
,,,,
MODGPC142356,07-Apr-16,Professional Services              , ARCHITECTURAL/ENG/SURVEY,693.5
MODGPC142357,28-Apr-16,Miscellaneous, CHARITABLE/SOC SERVICE ORGS,3028.5
MODGPC142358,28-Apr-16,Miscellaneous, CHARITABLE/SOC SERVICE ORGS,1058.5
MODGPC142359,28-Apr-16,Miscellaneous, CHARITABLE/SOC SERVICE ORGS,6752
MODGPC142360,28-Apr-16,Equipment And Furniture, TOOL HIRE,681.6
MODGPC142361,28-Apr-16,Equipment And Furniture, TOOL HIRE,681.6
MODGPC142362,28-Apr-16,Business Services, BUSINESS SERVICES - DEFAULT,561
MODGPC142363,28-Apr-16,Business Services, BUSINESS SERVICES - DEFAULT,1084.12
MODGPC142364,28-Apr-16,Miscellaneous, OTHER DIRECT MARKETERS,613.03
MODGPC142365,28-Apr-16,Auto/Vehicle Rentals, ENTERPRISE RENT-A-CAR,4874.58
MODGPC142366,28-Apr-16,Auto/Vehicle Rentals, ENTERPRISE RENT-A-CAR,2827.19
MODGPC142367,28-Apr-16,Auto/Vehicle Rentals, ENTERPRISE RENT-A-CAR,3108.96
MODGPC142368,28-Apr-16,Auto/Vehicle Rentals, ENTERPRISE RENT-A-CAR,3494.28
MODGPC142369,28-Apr-16,Equipment And Furniture, HOUSEHOLD APPLIANCE STORES,3069
