Department Family,Entity,Date,EXPENSE TYPE,Expense Area,Supplier,Transaction Number,Transation Description,Amount
HM Treasury,HM Treasury,02-Jan-2013,CORPORATE CENTRE,UKFI MANAGEMENT FEE,UK FINANCIAL INVESTMENTS LTD,102799,UKFI MANAGEMENT FEE - JANUARY 2013,150000
HM Treasury,HM Treasury,03-Jan-2013,FINANCIAL MANAGMENT REPORTING,Project OSCAR (inc DPI),IBM UK,102667,PROJECT OSCAR - MILESTONE 11B - DECEMBER 2012,62262.42
HM Treasury,HM Treasury,03-Jan-2013,FINANCIAL MANAGMENT REPORTING,Project OSCAR (inc DPI),IBM UK,102629,PROJECT OSCAR - MILESTONE 14 - DECEMBER 2012,64918.8
HM Treasury,HM Treasury,03-Jan-2013,BUSINESS AND INTERNATIONAL TAX,Equitable Life,TOWERS WATSON,102631,ACTURIAL SUPPORT TO HM TREASURY IN RESPECT OF THE EQUITABLE LIFE PAYMENT SCHEME - NOVEMBER 2012,120282.15
HM Treasury,DMO,07-Jan-2013,DEBT MANAGEMENT OFFICE,Rmu,LONDON STOCK EXCHANGE,102742,QUARTERLY LISTING FEES FOR UK GOVERNMENT BONDS,150000
HM Treasury,HM Treasury,08-Jan-2013,CORPORATE CENTRE,Hmt Suspense,GLOBAL CROSSING UK TELECOMMUNICATIONS LTD,100021,TELEPHONE & SERVICE COSTS ,41175.02
HM Treasury,HM Treasury,09-Jan-2013,INTERNATIONAL AND UK,IUK,CANADA LIFE LIMITED,102827,TUPE EMPLOYEE CONTRACTUAL INSURANCE BENEFITS,26188.03
HM Treasury,DMO,09-Jan-2013,DEBT MANAGEMENT OFFICE,Consolidated Projects,KELWAY UK LTD,102565,APPLICATION FOR MONITORING AND AUDIT OF SOFTWARE USAGE,69970.03
HM Treasury,HM Treasury,11-Jan-2013,CORPORATE CENTRE,Estates,EDF ENERGY,102725,ELECTRICITY - DECEMBER 2012,43359.62
HM Treasury,HM Treasury,11-Jan-2013,CORPORATE CENTRE,HR Central Services,FIDELITI LIMITED,102732,CHILDCARE VOUCHERS - JANUARY 2013 TO MARCH 2013,46908.59
HM Treasury,HM Treasury,11-Jan-2013,CORPORATE CENTRE,Knowledge & Information Management,IRON MOUNTAIN,101941,CHARGES FOR RECORDS MANAGEMENT,67764
HM Treasury,HM Treasury,11-Jan-2013,CORPORATE CENTRE,Knowledge & Information Management,IRON MOUNTAIN,102605,CHARGES FOR RECORDS MANAGEMENT,88093
HM Treasury,DMO,11-Jan-2013,DEBT MANAGEMENT OFFICE,Business Delivery,REUTERS LIMITED,102872,MARKET DATA SYSTEMS AND SERVICES - 1 JANUARY 2012 TO 31 MARCH 2012,93958.16
HM Treasury,DMO,14-Jan-2013,DEBT MANAGEMENT OFFICE,Business Delivery,CAPITA SECURE INFORMATION SYSTEMS LIMITED,102888,LEASE OF WORKPLACE RECOVERY SITE  - 1 JANUARY 2013 TO 31 DECEMBER 2013,146590.8
HM Treasury,HM Treasury,14-Jan-2013,CORPORATE CENTRE,FLEX Services,FUJITSU SERVICES LIMITED,102656,HMT CONFIDENTIAL FLEX SERVICE CHARGES - JULY 2012,678403.15
HM Treasury,HM Treasury,14-Jan-2013,CORPORATE CENTRE,Hmt Suspense,ROYAL MINT,102823,UK CIRCULATING METAL AND MANUFACTURING COSTS - DECEMBER 2012,3973919.29
