Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Supplier Type,Supplier Site Postcode,Transaction Number, Amount ,Vat Registration Num,PO Line Description,Expenditure Type,Contract Number
Department of Health,Department of Health,01/09/2011,"SFVS - product & distribution cost, during September 2011",Health Improvement and Protection,PFD (CARLISLE) LTD,,,15159," 40,655.00 ",,,,
Department of Health,Department of Health,30/09/2011,"SFVS - product & distribution cost, during September 2011",Health Improvement and Protection,Total Produce Plc,,,B11090130933," 49,994.00 ",,,,
Department of Health,Department of Health,30/09/2011,"SFVS - product & distribution cost, during September 2011",Health Improvement and Protection,Total Produce Plc,,,B11090130865," 44,294.00 ",,,,
Department of Health,Department of Health,30/09/2011,"SFVS - product & distribution cost, during September 2011",Health Improvement and Protection,Total Produce Plc,,,B11090130801," 30,299.00 ",,,,
Department of Health,Department of Health,30/09/2011,"SFVS - product & distribution cost, during September 2011",Health Improvement and Protection,Fresh Direct (UK) Ltd,,,28515604," 89,840.00 ",,,,
Department of Health,Department of Health,30/09/2011,"SFVS - product & distribution cost, during September 2011",Health Improvement and Protection,Fresh Direct (UK) Ltd,,,28515605," 37,719.00 ",,,,
Department of Health,Department of Health,30/09/2011,"SFVS - product & distribution cost, during September 2011",Health Improvement and Protection,Fresh Direct (UK) Ltd,,,28515608," 26,744.00 ",,,,
Department of Health,Department of Health,01/10/2011,"SFVS - product & distribution cost, during October 2011",Health Improvement and Protection,PFD (CARLISLE) LTD,,,15173," 32,690.00 ",,,,
Department of Health,Department of Health,24/10/2011,"SFVS - product & distribution cost, during September 2011",Health Improvement and Protection,West Country Fruit Sales Ltd,,,sepinvcorn," 38,459.00 ",,,,
Department of Health,Department of Health,28/10/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,G.W.Price Ltd,,,752246," 46,755.00 ",,,,
Department of Health,Department of Health,28/10/2011,"SFVS - product & distribution cost, during Octoberr 2011",Health Improvement and Protection,G.W.Price Ltd,,,752241," 40,741.00 ",,,,
