Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/01/2015,Recoveries Account - Other payables,Corporate Payments,DEPARTMENT FOR CULTURE MEDIA AND SPORT,31351,4875.00,Default-Recoveries Account - Other payables,NP10 8BA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,COMPANIES HOUSE,49988,609.10,F&C Devolved Admin-Central Telecommunications Services,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/01/2015,Leadership & People Management,Enterprise & Skills Group - Better Regulation Executive (BRE),LANGUAGE SERVICES DIRECT LTD,55718,2.80,E&S Devolved Admin-Leadership & People Management,SE1 1HJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/01/2015,Leadership & People Management,Enterprise & Skills Group - Better Regulation Executive (BRE),LANGUAGE SERVICES DIRECT LTD,55718,189.00,E&S Devolved Admin-Leadership & People Management,SE1 1HJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/01/2015,Leadership & People Management,Enterprise & Skills Group - Better Regulation Executive (BRE),LANGUAGE SERVICES DIRECT LTD,55718,554.40,E&S Devolved Admin-Leadership & People Management,SE1 1HJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",13/01/2015,Learning and Dev - CS Skills,Enterprise & Skills Group - Better Regulation Executive (BRE),LANGUAGE SERVICES DIRECT LTD,55718,16.70,E&S Devolved Admin-Learning and Dev - CS Skills,SE1 1HJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,COMPANIES HOUSE,56715,649.28,F&C Devolved Admin-Central Telecommunications Services,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",27/01/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,COMPANIES HOUSE,56724,634.80,F&C Devolved Admin-Central Telecommunications Services,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/01/2015,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,57849,2232.43,Abbey Orchard Street-Electricity,PL3 5YL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",06/01/2015,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,57849,1.48,F&C Devolved Admin-Electricity,PL3 5YL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/01/2015,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,PARITY PROFESSIONALS LTD,58564,4440.00,F&C Devolved Admin-Central Telecommunications Services,EC2A 3DR,VENDOR,,,
